date,close,open,high,low,volume,diff
03-24-17,2.641,2.647,2.65,2.617,-,-0.19%
03-23-17,2.646,2.639,2.655,2.616,-,0.30%
03-22-17,2.638,2.61,2.642,2.588,-,1.07%
03-21-17,2.61,2.642,2.642,2.598,-,-1.69%
03-20-17,2.655,2.679,2.679,2.645,0.37K,-0.90%
03-17-17,2.679,2.66,2.683,2.648,0.30K,0.49%
03-16-17,2.666,2.675,2.683,2.662,0.40K,0.76%
03-15-17,2.646,2.652,2.666,2.641,0.32K,0.84%
03-14-17,2.624,2.611,2.635,2.6,0.38K,0.31%
03-13-17,2.616,2.59,2.627,2.588,0.39K,1.12%
03-10-17,2.587,2.567,2.599,2.567,0.64K,0.66%
03-09-17,2.57,2.576,2.583,2.55,0.83K,-0.85%
03-08-17,2.592,2.606,2.623,2.583,0.89K,-0.69%
03-07-17,2.61,2.655,2.655,2.596,1.73K,-1.25%
03-06-17,2.643,2.689,2.689,2.639,0.84K,-1.64%
03-03-17,2.687,2.678,2.698,2.67,0.63K,0.30%
03-02-17,2.679,2.724,2.729,2.673,0.78K,-1.76%
03-01-17,2.727,2.705,2.755,2.703,1.18K,0.85%
02-28-17,2.704,2.683,2.711,2.669,1.74K,0.60%
02-27-17,2.688,2.673,2.691,2.652,14.42K,0.30%
02-24-17,2.68,2.661,2.682,2.661,0.09K,1.40%
02-23-17,2.643,2.722,2.722,2.642,0.16K,-3.26%
02-22-17,2.732,2.72,2.729,2.72,0.17K,-0.47%
02-21-17,2.745,2.736,2.75,2.736,0.23K,-0.18%
02-20-17,2.75,2.71,2.752,2.7,-,1.48%
02-19-17,2.71,2.706,2.714,2.701,-,0.18%
02-17-17,2.705,2.685,2.703,2.682,0.27K,-0.41%
02-16-17,2.716,2.705,2.717,2.701,0.41K,-0.73%
02-15-17,2.736,2.72,2.739,2.72,1.09K,0.18%
02-14-17,2.731,2.756,2.76,2.737,0.71K,-1.97%
02-13-17,2.786,2.778,2.822,2.77,-,0.25%
02-12-17,2.779,2.778,2.793,2.773,-,0.62%
02-10-17,2.762,2.677,2.77,2.664,0.38K,4.03%
02-09-17,2.655,2.67,2.675,2.641,-,-0.19%
02-08-17,2.66,2.674,2.674,2.671,0.33K,1.29%
02-07-17,2.626,2.634,2.642,2.63,0.68K,-0.76%
02-06-17,2.646,2.615,2.627,2.615,0.26K,1.38%
02-03-17,2.61,2.646,2.646,2.607,0.43K,-2.54%
02-02-17,2.678,2.714,2.714,2.665,0.53K,-0.96%
02-01-17,2.704,2.718,2.718,2.703,0.69K,-0.62%
01-31-17,2.721,2.658,2.72,2.658,0.60K,2.80%
01-30-17,2.647,2.681,2.682,2.636,0.77K,-1.23%
01-27-17,2.68,2.671,2.671,2.658,0.24K,0.53%
01-26-17,2.666,2.699,2.699,2.66,0.32K,-1.37%
01-25-17,2.703,2.696,2.708,2.696,0.21K,0.11%
01-24-17,2.7,2.679,2.702,2.679,1.13K,2.31%
01-23-17,2.639,2.639,2.639,2.635,0.24K,0.84%
01-20-17,2.617,2.61,2.62,2.593,0.79K,0.58%
01-19-17,2.602,2.606,2.606,2.595,0.19K,-0.23%
01-18-17,2.608,2.618,2.618,2.602,0.42K,-0.31%
01-17-17,2.616,2.675,2.675,2.602,0.29K,-1.73%
01-16-17,2.662,2.705,2.707,2.654,-,-1.59%
01-15-17,2.705,2.702,2.712,2.697,-,0.93%
01-13-17,2.68,2.642,2.679,2.641,0.23K,0.75%
01-12-17,2.66,2.597,2.66,2.597,0.22K,2.27%
01-11-17,2.601,2.604,2.604,2.591,0.42K,-0.08%
01-10-17,2.603,2.562,2.614,2.562,0.61K,2.89%
01-09-17,2.53,2.534,2.542,2.515,0.24K,-0.32%
01-06-17,2.538,2.518,2.535,2.505,0.34K,0.32%
01-05-17,2.53,2.554,2.572,2.527,0.31K,-0.71%
01-04-17,2.548,2.497,2.55,2.497,0.74K,2.70%
01-03-17,2.481,2.527,2.527,2.48,0.59K,-1.27%
01-02-17,2.513,2.509,2.517,2.509,-,0.60%
12-30-16,2.498,2.493,2.506,2.493,0.51K,0.77%
12-29-16,2.479,2.498,2.509,2.479,0.66K,-0.64%
12-28-16,2.495,2.522,2.522,2.494,0.29K,-0.52%
12-27-16,2.508,2.45,2.513,2.45,0.30K,2.20%
12-26-16,2.454,2.464,2.467,2.448,-,-0.77%
12-23-16,2.473,2.496,2.501,2.472,0.44K,-0.84%
12-22-16,2.494,2.49,2.503,2.455,0.43K,0.12%
12-21-16,2.491,2.51,2.51,2.49,0.23K,-0.32%
12-20-16,2.499,2.494,2.498,2.481,0.60K,0.08%
12-19-16,2.497,2.546,2.553,2.475,0.38K,-2.50%
12-16-16,2.561,2.58,2.583,2.539,0.63K,-1.35%
12-15-16,2.596,2.595,2.602,2.575,0.46K,-0.15%
12-14-16,2.6,2.587,2.635,2.567,0.74K,0.27%
12-13-16,2.593,2.592,2.623,2.561,0.77K,-0.77%
12-12-16,2.613,2.674,2.674,2.599,0.61K,-1.10%
12-09-16,2.642,2.64,2.655,2.627,0.55K,0.84%
12-08-16,2.62,2.63,2.661,2.61,0.69K,-0.64%
12-07-16,2.637,2.66,2.693,2.622,0.86K,-1.31%
12-06-16,2.672,2.675,2.688,2.643,1.02K,-0.63%
12-05-16,2.689,2.61,2.701,2.61,0.53K,2.83%
12-02-16,2.615,2.618,2.624,2.587,0.77K,-0.61%
12-01-16,2.631,2.626,2.656,2.603,0.97K,0.34%
11-30-16,2.622,2.588,2.643,2.54,2.02K,1.04%
11-29-16,2.595,2.651,2.662,2.574,15.88K,-2.30%
11-28-16,2.656,2.663,2.722,2.659,0.26K,-0.41%
11-25-16,2.667,2.655,2.663,2.646,0.27K,0.34%
11-24-16,2.658,2.615,2.699,2.614,-,2.00%
11-23-16,2.606,2.531,2.608,2.531,0.41K,2.52%
11-22-16,2.542,2.558,2.558,2.535,0.25K,1.15%
11-21-16,2.513,2.518,2.524,2.501,0.29K,1.99%
11-18-16,2.464,2.455,2.483,2.453,0.32K,-0.92%
11-17-16,2.487,2.47,2.49,2.462,0.31K,0.89%
11-16-16,2.465,2.5,2.5,2.445,0.17K,-1.48%
11-15-16,2.502,2.561,2.561,2.462,0.20K,-0.64%
11-14-16,2.518,2.563,2.568,2.509,0.26K,0.48%
11-11-16,2.506,2.615,2.718,2.506,0.44K,-1.73%
11-10-16,2.55,2.562,2.564,2.518,0.24K,3.70%
11-09-16,2.459,2.437,2.454,2.437,0.22K,3.36%
11-08-16,2.379,2.3,2.376,2.291,0.29K,3.12%
11-07-16,2.307,2.289,2.309,2.281,0.27K,2.03%
11-04-16,2.261,2.248,2.262,2.248,0.36K,0.76%
11-03-16,2.244,2.216,2.245,2.215,0.28K,0.81%
11-02-16,2.226,2.224,2.228,2.212,0.33K,0.09%
11-01-16,2.224,2.205,2.227,2.2,0.38K,1.09%
10-31-16,2.2,2.189,2.206,2.189,0.31K,0.55%
10-28-16,2.188,2.164,2.193,2.164,0.42K,1.02%
10-27-16,2.166,2.155,2.167,2.152,0.23K,1.26%
10-26-16,2.139,2.133,2.138,2.132,0.24K,0.33%
10-25-16,2.132,2.115,2.139,2.115,0.42K,2.16%
10-24-16,2.087,2.089,2.089,2.088,0.25K,0.19%
10-21-16,2.083,2.091,2.091,2.084,0.18K,-0.38%
10-20-16,2.091,2.08,2.091,2.08,0.19K,-0.29%
10-19-16,2.097,2.098,2.1,2.083,0.28K,-0.05%
10-18-16,2.098,2.108,2.108,2.098,0.34K,-0.05%
10-17-16,2.099,2.099,2.105,2.096,0.28K,-0.19%
10-14-16,2.103,2.119,2.12,2.096,0.19K,-0.57%
10-13-16,2.115,2.153,2.153,2.114,0.42K,-2.53%
10-12-16,2.17,2.176,2.183,2.168,0.19K,-0.41%
10-11-16,2.179,2.191,2.191,2.17,0.48K,-0.55%
10-10-16,2.191,2.172,2.193,2.172,0.36K,1.62%
10-07-16,2.156,2.167,2.167,2.156,0.26K,0.37%
10-06-16,2.148,2.147,2.149,2.14,0.22K,-0.37%
10-05-16,2.156,2.155,2.17,2.155,0.34K,-0.14%
10-04-16,2.159,2.165,2.179,2.159,0.34K,-1.10%
10-03-16,2.183,2.187,2.187,2.166,0.67K,-0.86%
