date,close,open,high,low,volume,diff
03-24-17,1.5052,1.4952,1.5072,1.4863,-,0.99%
03-23-17,1.4905,1.4998,1.5083,1.4865,-,-0.62%
03-22-17,1.4998,1.5009,1.5063,1.4766,-,-0.23%
03-21-17,1.5033,1.515,1.536,1.4972,-,-0.71%
03-20-17,1.5141,1.5117,1.5263,1.4926,35.68K,0.37%
03-17-17,1.5085,1.5046,1.5168,1.4979,35.55K,0.28%
03-16-17,1.5043,1.5133,1.5299,1.5006,49.86K,-0.54%
03-15-17,1.5124,1.5118,1.5213,1.5016,48.28K,1.37%
03-14-17,1.4919,1.5002,1.5126,1.4784,49.59K,-0.58%
03-13-17,1.5006,1.5116,1.5165,1.4943,54.43K,-0.20%
03-10-17,1.5036,1.5355,1.5459,1.5001,66.21K,-1.69%
03-09-17,1.5295,1.5533,1.5714,1.5148,83.58K,-1.75%
03-08-17,1.5567,1.6176,1.6247,1.5502,89.26K,-3.54%
03-07-17,1.6139,1.6095,1.6384,1.6019,77.59K,0.59%
03-06-17,1.6045,1.5916,1.6141,1.5796,57.53K,0.68%
03-03-17,1.5936,1.575,1.5965,1.5741,56.82K,0.92%
03-02-17,1.5791,1.6267,1.634,1.578,89.49K,-2.77%
03-01-17,1.6241,1.6399,1.6595,1.6221,71.16K,0.20%
02-28-17,1.6208,1.6425,1.6434,1.5924,9.32K,-1.16%
02-27-17,1.6399,1.64,1.6651,1.6375,23.36K,-0.03%
02-24-17,1.6404,1.6533,1.6548,1.6293,25.23K,-0.98%
02-23-17,1.6567,1.6375,1.6819,1.6371,30.09K,1.66%
02-22-17,1.6296,1.6432,1.6526,1.6068,39.71K,-0.79%
02-21-17,1.6425,1.6417,1.675,1.6365,40.84K,-0.12%
02-20-17,1.6444,1.6376,1.6546,1.6361,-,0.42%
02-19-17,1.6375,1.6412,1.6421,1.6372,-,0.07%
02-17-17,1.6364,1.627,1.6379,1.611,42.98K,0.45%
02-16-17,1.6291,1.6305,1.6485,1.6127,53.44K,-0.09%
02-15-17,1.6305,1.632,1.6467,1.6201,56.97K,-0.47%
02-14-17,1.6382,1.6264,1.6559,1.6238,53.34K,0.67%
02-13-17,1.6273,1.6661,1.6724,1.6189,69.23K,-2.32%
02-10-17,1.6659,1.6402,1.6758,1.638,56.34K,1.49%
02-09-17,1.6415,1.636,1.6624,1.6345,59.10K,0.34%
02-08-17,1.636,1.6124,1.65,1.6028,67.09K,0.86%
02-07-17,1.6221,1.6405,1.6414,1.608,61.45K,-0.80%
02-06-17,1.6352,1.6724,1.6798,1.6316,59.78K,-1.80%
02-03-17,1.6651,1.6586,1.6746,1.6421,61.22K,0.81%
02-02-17,1.6518,1.6709,1.6938,1.6491,63.84K,-1.33%
02-01-17,1.674,1.6307,1.675,1.6247,75.09K,3.87%
01-31-17,1.6117,1.605,1.6428,1.6,7.75K,0.31%
01-30-17,1.6067,1.6189,1.6288,1.6046,19.99K,-0.75%
01-27-17,1.6189,1.648,1.649,1.5981,23.59K,-1.34%
01-26-17,1.6409,1.6166,1.6525,1.612,20.36K,1.83%
01-25-17,1.6114,1.631,1.6361,1.6018,24.99K,-1.83%
01-24-17,1.6415,1.6303,1.6461,1.6262,26.06K,0.92%
01-23-17,1.6265,1.6361,1.6493,1.6205,31.90K,-1.18%
01-20-17,1.6459,1.6197,1.6647,1.6161,42.08K,1.71%
01-19-17,1.6183,1.6199,1.6352,1.6129,45.32K,0.57%
01-18-17,1.6092,1.6486,1.6588,1.6044,55.90K,-2.39%
01-17-17,1.6486,1.6526,1.6957,1.6456,70.59K,-0.84%
01-16-17,1.6626,1.6565,1.6648,1.6455,-,0.37%
01-15-17,1.6564,1.6572,1.6584,1.6546,-,0.30%
01-13-17,1.6514,1.6758,1.6796,1.6478,56.66K,-1.44%
01-12-17,1.6756,1.6577,1.6905,1.6523,67.20K,1.40%
01-11-17,1.6524,1.6106,1.6723,1.6064,75.91K,2.54%
01-10-17,1.6114,1.6379,1.6506,1.608,67.58K,-1.60%
01-09-17,1.6376,1.7011,1.7031,1.6338,67.73K,-3.85%
01-06-17,1.7032,1.6971,1.7146,1.6777,55.55K,0.53%
01-05-17,1.6942,1.6897,1.7055,1.6702,58.59K,0.07%
01-04-17,1.693,1.68,1.6986,1.665,52.73K,0.97%
01-03-17,1.6767,1.7313,1.7647,1.6721,70.19K,-3.07%
01-02-17,1.7298,1.729,1.7328,1.7287,-,1.50%
12-30-16,1.7043,1.7048,1.7137,1.6937,-,0.04%
12-29-16,1.7037,1.699,1.717,1.6965,17.81K,0.26%
12-28-16,1.6993,1.7,1.7156,1.695,20.64K,-0.01%
12-27-16,1.6994,1.6727,1.7109,1.6575,27.56K,0.91%
12-26-16,1.684,1.6833,1.6921,1.6831,-,1.27%
12-23-16,1.6628,1.6584,1.6765,1.6428,19.22K,0.12%
12-22-16,1.6608,1.6411,1.6675,1.6244,35.98K,1.26%
12-21-16,1.6401,1.6775,1.6799,1.6363,37.51K,-1.72%
12-20-16,1.6688,1.6691,1.681,1.6595,38.33K,-0.01%
12-19-16,1.669,1.6763,1.6872,1.6598,40.20K,-0.20%
12-16-16,1.6723,1.6502,1.6816,1.6354,44.83K,1.85%
