date,close,open,high,low,volume,diff
03-24-17,17.78,17.608,17.8,17.547,-,1.01%
03-23-17,17.602,17.525,17.7,17.525,-,0.43%
03-22-17,17.527,17.553,17.61,17.46,-,-0.32%
03-21-17,17.583,17.445,17.62,17.34,-,0.83%
03-20-17,17.438,17.425,17.475,17.365,29.24K,0.06%
03-19-17,17.428,17.415,17.43,17.398,-,0.09%
03-17-17,17.413,17.34,17.425,17.23,39.67K,0.48%
03-16-17,17.33,17.345,17.585,17.255,77.18K,2.41%
03-15-17,16.923,16.89,17.37,16.825,72.91K,0.00%
03-14-17,16.923,16.985,17.065,16.875,48.42K,-0.29%
03-13-17,16.972,17.05,17.16,16.965,49.02K,-0.26%
03-12-17,17.017,17.05,17.062,17,-,0.56%
03-10-17,16.923,16.98,17.105,16.855,75.85K,-0.66%
03-09-17,17.036,17.255,17.31,16.955,67.23K,-1.51%
03-08-17,17.298,17.52,17.57,17.24,59.44K,-1.36%
03-07-17,17.536,17.8,17.82,17.495,55.27K,-1.33%
03-06-17,17.773,17.99,17.995,17.735,49.10K,-1.13%
03-05-17,17.977,17.98,17.98,17.938,-,1.34%
03-03-17,17.74,17.8,18.01,17.66,81.26K,-0.05%
03-02-17,17.748,18.465,18.48,17.705,98.44K,-4.01%
03-01-17,18.489,18.36,18.51,18.27,77.48K,0.11%
02-28-17,18.469,18.315,18.51,18.28,63.46K,0.28%
02-27-17,18.417,18.42,18.54,18.265,70.99K,0.16%
02-26-17,18.388,18.42,18.43,18.383,-,-0.10%
02-24-17,18.406,18.225,18.46,18.21,59.07K,1.22%
02-23-17,18.185,18.07,18.28,17.995,57.59K,0.90%
02-22-17,18.022,18.025,18.115,17.975,30.30K,-0.29%
02-21-17,18.074,18.06,18.145,17.885,45.45K,0.17%
02-20-17,18.043,18.002,18.06,17.91,-,0.23%
02-19-17,18.002,17.99,18.027,17.98,-,-0.56%
02-17-17,18.103,18.17,18.17,18.035,18.55K,-0.24%
02-16-17,18.146,18.045,18.21,18.005,19.43K,0.63%
02-15-17,18.033,18.02,18.05,17.825,25.84K,0.42%
02-14-17,17.958,17.885,18.16,17.8,15.50K,0.39%
02-13-17,17.888,18,18.07,17.82,11.47K,-0.25%
02-12-17,17.932,17.913,17.947,17.913,-,-0.37%
02-10-17,17.999,17.72,18.08,17.62,19.66K,1.07%
02-09-17,17.808,17.85,17.9,17.685,17.46K,0.19%
02-08-17,17.774,17.755,17.94,17.7,10.45K,-0.29%
02-07-17,17.825,17.815,17.86,17.635,8.93K,0.36%
02-06-17,17.761,17.57,17.825,17.55,2.34K,1.57%
02-05-17,17.487,17.52,17.545,17.468,-,-0.34%
02-03-17,17.479,17.485,17.54,17.26,65.77K,0.29%
02-02-17,17.429,17.565,17.745,17.415,63.07K,-0.12%
02-01-17,17.45,17.57,17.665,17.36,66.31K,-0.53%
01-31-17,17.543,17.13,17.635,17.105,73.62K,2.28%
01-30-17,17.152,17.17,17.295,17.08,57.16K,-0.38%
01-29-17,17.218,17.18,17.233,17.17,-,0.48%
01-27-17,17.136,16.8,17.26,16.635,64.59K,1.70%
01-26-17,16.85,17.01,17.05,16.68,53.18K,-0.77%
01-25-17,16.98,17.11,17.13,16.78,63.42K,-1.19%
01-24-17,17.185,17.25,17.31,17.025,51.74K,-0.01%
01-23-17,17.186,17.12,17.285,17.075,51.76K,0.02%
01-22-17,17.182,17.127,17.2,17.127,-,0.88%
01-20-17,17.032,17.025,17.195,16.84,64.63K,0.18%
01-19-17,17.002,17.075,17.125,16.745,79.09K,-1.57%
01-18-17,17.274,17.23,17.36,17.06,59.04K,0.73%
01-17-17,17.148,16.845,17.245,16.805,89.80K,1.88%
01-16-17,16.832,16.898,16.947,16.812,-,-0.39%
01-15-17,16.898,16.852,16.938,16.843,-,0.79%
01-13-17,16.765,16.805,16.855,16.61,60.84K,-0.36%
01-12-17,16.825,16.77,17.02,16.755,63.04K,-0.02%
01-11-17,16.828,16.84,16.905,16.56,82.62K,-0.12%
01-10-17,16.848,16.615,16.955,16.575,69.88K,0.99%
01-09-17,16.683,16.52,16.735,16.455,46.50K,0.76%
01-08-17,16.557,16.513,16.557,16.498,-,0.23%
01-06-17,16.519,16.635,16.715,16.26,68.14K,-0.71%
01-05-17,16.637,16.495,16.76,16.455,67.64K,0.51%
01-04-17,16.552,16.345,16.57,16.3,52.45K,0.87%
01-03-17,16.409,15.97,16.55,15.935,81.14K,2.46%
01-02-17,16.015,15.985,16.027,15.968,-,0.16%
12-30-16,15.989,16.225,16.345,15.88,44.62K,-1.41%
12-29-16,16.218,16.08,16.31,16.04,41.88K,1.12%
12-28-16,16.038,16.01,16.14,15.865,33.57K,0.31%
12-27-16,15.989,15.805,16.105,15.755,31.24K,1.04%
12-26-16,15.825,15.828,15.867,15.817,-,0.42%
12-23-16,15.759,15.855,15.9,15.735,25.17K,-0.71%
12-22-16,15.871,16,16.085,15.815,42.78K,-0.68%
12-21-16,15.979,16.15,16.24,15.95,44.95K,-0.86%
12-20-16,16.117,16.015,16.165,15.675,58.27K,0.17%
