date,close,open,high,low,volume,diff
04-07-17,52.24,51.7,52.94,51.49,-,1.04%
04-06-17,51.7,50.8,51.82,50.77,473.02K,1.08%
04-05-17,51.15,51.18,51.88,50.74,651.40K,0.24%
04-04-17,51.03,50.24,51.3,49.88,532.05K,1.57%
04-03-17,50.24,50.69,50.83,50.12,440.72K,-0.71%
03-31-17,50.6,50.32,50.85,49.9,527.61K,0.50%
03-30-17,50.35,49.6,50.47,49.27,580.67K,1.70%
03-29-17,49.51,48.47,49.63,48.38,548.62K,2.36%
03-28-17,48.37,47.89,48.74,47.8,502.38K,1.34%
03-27-17,47.73,48.12,48.28,47.08,466.18K,-0.50%
03-24-17,47.97,47.67,48.2,47.54,421.03K,0.57%
03-23-17,47.7,48.15,48.48,47.58,499.88K,-0.71%
03-22-17,48.04,48.16,48.32,47.01,680.85K,1.48%
03-21-17,47.34,47.93,48.73,47.23,28.08K,-1.82%
03-20-17,48.22,48.7,48.74,47.84,142.26K,-1.15%
03-17-17,48.78,48.79,49.2,48.6,172.34K,0.06%
03-16-17,48.75,49.01,49.62,48.45,516.85K,-0.23%
03-15-17,48.86,48.76,49.04,48.16,655.79K,2.39%
03-14-17,47.72,48.45,48.79,47.09,857.71K,-1.40%
03-13-17,48.4,48.45,48.68,47.9,601.36K,-0.19%
03-10-17,48.49,49.61,50.11,48.31,796.96K,-1.60%
03-09-17,49.28,50.22,50.84,48.59,1.07M,-1.99%
03-08-17,50.28,52.79,52.92,50.05,963.39K,-5.38%
03-07-17,53.14,53.17,53.8,52.71,494.68K,-0.11%
03-06-17,53.2,53.19,53.56,52.76,503.69K,-0.24%
03-03-17,53.33,52.58,53.39,52.55,436.36K,1.37%
03-02-17,52.61,53.69,53.8,52.54,638.39K,-2.27%
03-01-17,53.83,53.95,54.44,53.63,491.29K,-0.33%
02-28-17,54.01,54.04,54.23,53.18,593.91K,-0.07%
02-27-17,54.05,54.02,54.61,53.94,394.38K,0.11%
02-24-17,53.99,54.33,54.51,53.76,395.26K,-0.84%
02-23-17,54.45,53.91,54.94,53.87,529.88K,1.60%
02-22-17,53.59,54.26,54.6,53.35,499.48K,-0.87%
02-21-17,54.06,53.48,54.68,53.35,44.05K,0.17%
02-20-17,53.97,53.78,54.24,53.73,-,0.33%
02-19-17,53.79,53.86,53.96,53.78,-,0.73%
02-17-17,53.4,53.47,53.52,52.88,195.35K,0.07%
02-16-17,53.36,53.01,53.59,52.68,343.36K,0.47%
02-15-17,53.11,53,53.51,52.73,463.64K,-0.17%
02-14-17,53.2,52.91,53.72,52.86,493.02K,0.51%
02-13-17,52.93,53.8,53.95,52.77,586.03K,-1.73%
02-10-17,53.86,53.15,54.13,52.9,596.45K,1.62%
02-09-17,53,52.37,53.21,52.37,610.20K,1.26%
02-08-17,52.34,51.64,52.67,51.22,767.38K,0.33%
02-07-17,52.17,53.14,53.24,51.63,624.06K,-1.58%
02-06-17,53.01,53.81,54.13,52.91,425.09K,-1.52%
02-03-17,53.83,53.68,54.22,53.4,462.62K,0.54%
02-02-17,53.54,53.57,54.34,53.35,492.55K,-0.63%
02-01-17,53.88,52.76,53.91,52.64,577.24K,2.03%
01-31-17,52.81,52.6,53.56,52.24,586.68K,0.34%
01-30-17,52.63,53.15,53.46,52.41,486.31K,-1.02%
01-27-17,53.17,53.74,54.08,52.58,495.56K,-1.13%
01-26-17,53.78,52.96,54.06,52.79,578.07K,1.95%
01-25-17,52.75,52.95,53.47,52.56,589.71K,-0.81%
01-24-17,53.18,52.86,53.56,52.67,520.29K,0.82%
01-23-17,52.75,53.33,53.47,52.21,455.33K,0.63%
01-20-17,52.42,51.45,52.9,51.39,-,2.04%
01-19-17,51.37,51.39,51.87,51.02,122.59K,0.57%
01-18-17,51.08,52.52,52.79,50.91,236.24K,-2.67%
01-17-17,52.48,52.55,53.52,52.12,606.02K,-0.08%
01-16-17,52.52,52.46,52.72,52.13,-,0.13%
01-15-17,52.45,52.53,52.56,52.39,-,0.15%
01-13-17,52.37,53.05,53.17,52.27,477.99K,-1.21%
01-12-17,53.01,52.37,53.5,52.12,660.70K,1.45%
01-11-17,52.25,50.81,52.78,50.75,815.85K,2.81%
01-10-17,50.82,51.83,52.37,50.71,632.57K,-2.19%
01-09-17,51.96,53.75,53.83,51.76,564.89K,-3.76%
01-06-17,53.99,53.73,54.32,53.32,528.33K,0.43%
01-05-17,53.76,53.39,54.12,52.79,517.36K,0.94%
01-04-17,53.26,52.49,53.43,52.15,512.64K,1.78%
01-03-17,52.33,54.2,55.24,52.11,727.79K,-3.15%
01-02-17,54.03,54.09,54.18,54.01,-,0.58%
12-30-16,53.72,53.87,54.09,53.41,271.09K,-0.09%
12-29-16,53.77,53.66,54.21,53.46,360.19K,-0.54%
12-28-16,54.06,53.93,54.37,53.56,322.54K,0.30%
12-27-16,53.9,53.29,54.1,53.03,277.31K,1.33%
12-26-16,53.19,53.33,53.34,53.14,-,0.32%
12-23-16,53.02,52.68,53.28,52.26,285.17K,0.13%
12-22-16,52.95,52.52,53.19,52.08,393.49K,0.88%
12-21-16,52.49,53.56,53.79,52.32,471.99K,0.50%
12-20-16,52.23,52.11,52.7,51.85,26.17K,0.21%
12-19-16,52.12,52.15,52.52,51.51,129.99K,0.42%
12-16-16,51.9,51.1,52.08,50.5,252.57K,1.96%
12-15-16,50.9,50.79,51.48,49.95,551.76K,-0.27%
12-14-16,51.04,52.45,52.78,50.67,677.96K,-3.66%
12-13-16,52.98,52.51,53.41,52.35,638.40K,0.28%
12-12-16,52.83,52.58,54.51,52.18,847.03K,2.58%
12-09-16,51.5,50.92,51.66,50.86,652.04K,1.30%
12-08-16,50.84,49.88,50.98,49.61,780.06K,2.15%
12-07-16,49.77,50.93,51.2,49.72,816.88K,-2.28%
12-06-16,50.93,50.97,51.6,50.28,642.75K,-1.66%
12-05-16,51.79,51.46,52.42,50.93,600.78K,0.21%
12-02-16,51.68,51.01,51.73,50.18,667.10K,1.21%
12-01-16,51.06,49.07,51.8,48.98,974.81K,3.28%
11-30-16,49.44,45.24,49.9,45.22,1.31M,9.31%
11-29-16,45.23,46.88,46.98,44.82,732.82K,-3.93%
11-28-16,47.08,45.43,47.65,45.14,734.38K,2.21%
11-25-16,46.06,47.97,48.26,45.88,465.98K,-4.00%
11-24-16,47.98,48.03,48.26,47.8,-,0.04%
11-23-16,47.96,47.94,48.43,47.4,556.86K,-0.15%
11-22-16,48.03,48.37,49.2,47.17,826.21K,1.14%
11-21-16,47.49,45.83,47.8,45.77,34.92K,3.94%
11-18-16,45.69,44.93,45.77,44.55,155.65K,0.59%
11-17-16,45.42,45.37,46.58,44.88,284.87K,-0.33%
11-16-16,45.57,45.77,46.41,45.03,658.17K,-0.52%
11-15-16,45.81,43.76,46.09,43.55,706.18K,5.75%
11-14-16,43.32,43.2,43.81,42.2,704.77K,-0.21%
11-11-16,43.41,44.35,44.63,43.03,631.14K,-2.80%
11-10-16,44.66,45.31,45.64,44.25,686.34K,-1.35%
11-09-16,45.27,44.82,45.95,43.07,946.51K,0.64%
11-08-16,44.98,44.97,45.39,44.41,669.64K,0.20%
11-07-16,44.89,44.45,45.01,44.11,605.73K,1.86%
11-04-16,44.07,44.63,44.87,43.57,736.69K,-1.32%
11-03-16,44.66,45.48,45.9,44.37,540.44K,-1.50%
11-02-16,45.34,46.32,46.47,44.96,674.32K,-2.85%
11-01-16,46.67,46.77,47.35,46.2,834.99K,-0.41%
10-31-16,46.86,48.25,48.74,46.63,649.24K,-3.78%
10-28-16,48.7,49.61,49.81,48.42,550.08K,-2.05%
10-27-16,49.72,49.22,50.06,49,543.17K,1.10%
10-26-16,49.18,49.31,50.1,48.87,679.32K,-1.56%
10-25-16,49.96,50.49,50.93,49.27,553.78K,-1.11%
10-24-16,50.52,50.85,50.98,49.62,623.40K,-0.65%
10-21-16,50.85,50.66,51.02,50.21,551.30K,0.83%
10-20-16,50.43,51.4,51.58,50.25,24.86K,-2.27%
10-19-16,51.6,50.77,51.93,50.69,132.43K,2.60%
10-18-16,50.29,50.04,50.78,49.76,192.80K,0.70%
10-17-16,49.94,50.23,50.58,49.47,418.72K,-0.81%
10-14-16,50.35,50.58,51.14,49.9,519.43K,-0.18%
10-13-16,50.44,50,50.59,49.36,740.68K,0.52%
10-12-16,50.18,50.84,51.17,49.89,533.88K,-1.20%
10-11-16,50.79,51.1,51.54,50.39,765.61K,-1.09%
10-10-16,51.35,49.57,51.6,49.15,686.07K,3.09%
10-07-16,49.81,50.59,50.74,49.4,618.81K,-1.25%
10-06-16,50.44,49.65,50.63,49.33,547.92K,1.22%
10-05-16,49.83,49.26,49.97,49.1,520.07K,2.34%
10-04-16,48.69,48.65,49.26,48.26,513.71K,-0.25%
10-03-16,48.81,48.04,49.02,47.78,458.02K,1.18%
09-30-16,48.24,47.76,48.3,47.04,496.52K,0.86%
09-29-16,47.83,47.2,48.32,46.6,702.65K,1.66%
09-28-16,47.05,44.96,47.45,44.35,1.01M,5.33%
09-27-16,44.67,45.62,45.96,44.19,630.76K,-2.74%
09-26-16,45.93,44.62,46.2,44.43,527.12K,3.26%
