date,close,open,high,low,diff
04-07-17,853.37,852.8,858.75,849.82,-0.04%
04-06-17,853.67,852.89,856.48,850.7,-0.05%
04-05-17,854.11,850.15,856.48,848.3,0.35%
04-04-17,851.13,848.37,852.04,846.84,0.17%
04-03-17,849.69,851.27,853.4,845.14,-0.34%
03-31-17,852.61,853.84,858.12,850.92,-0.25%
03-30-17,854.72,851.4,858.2,850.05,0.26%
03-29-17,852.5,851.39,855.5,849.07,0.03%
03-28-17,852.27,845.72,852.84,843.41,0.67%
03-27-17,846.6,849.94,853.61,842.62,-0.61%
03-24-17,851.8,855.39,858.75,847.81,-0.53%
03-23-17,856.38,856.97,861.04,852.5,-0.16%
03-22-17,857.79,862.62,864.26,855.88,-0.69%
03-21-17,863.72,860.63,865.79,859.15,0.26%
03-20-17,861.52,868.9,872.19,858.34,-0.94%
03-17-17,869.7,865.82,872.84,863.37,0.35%
03-16-17,866.65,869.05,873.33,862.01,-0.40%
03-15-17,870.11,868.39,876.26,864.18,0.09%
03-14-17,869.32,867.97,871.6,864.98,0.03%
03-13-17,869.09,865.62,871.7,863.47,0.31%
03-10-17,866.43,869.78,873.54,864.51,-0.49%
03-09-17,870.71,868.34,871.94,866.73,0.14%
03-08-17,869.51,871.91,874.79,867.13,-0.41%
03-07-17,873.13,874.38,880,870.75,-0.27%
03-06-17,875.49,872.65,879.18,871.15,0.03%
03-03-17,875.24,870.45,876.24,867.65,0.45%
03-02-17,871.33,874.25,877.29,866.98,-0.47%
03-01-17,875.41,870.02,878.07,867.52,0.47%
02-28-17,871.32,869.62,872.43,862.14,0.07%
02-27-17,870.67,865.48,873.33,865.26,0.36%
02-24-17,867.54,873.18,875.25,865.22,-0.77%
02-23-17,874.24,875.86,878.91,869.7,-0.31%
02-22-17,876.98,876.17,881.76,873.16,-0.03%
02-21-17,877.28,879.56,883.4,875.29,-0.39%
02-20-17,880.68,880.62,884.28,877.45,-0.24%
02-17-17,882.82,877.42,884.82,876.39,0.48%
02-16-17,878.6,874.3,882.54,872.68,0.38%
02-15-17,875.3,871.62,879,870.83,0.28%
02-14-17,872.85,877.38,883.01,868.34,-0.62%
02-13-17,878.32,879.24,885.67,876.64,-0.20%
02-10-17,880.12,876.78,883.16,874.86,0.28%
02-09-17,877.65,874.63,878.99,869.94,0.25%
02-08-17,875.46,870.96,876.92,869.32,0.42%
02-07-17,871.84,867.99,879.59,864.96,0.29%
02-06-17,869.35,871.89,876.23,863.51,-0.62%
02-03-17,874.78,875.04,880.05,870.68,-0.15%
