date,close,open,high,low,volume,diff
04-07-17,101.12,100.64,101.19,100.4,-,0.55%
04-06-17,100.57,100.37,100.67,100.28,18.13K,0.13%
04-05-17,100.44,100.42,100.99,100.31,26.55K,0.01%
04-04-17,100.43,100.34,100.61,100.3,15.96K,0.02%
04-03-17,100.41,100.41,100.56,100.23,19.24K,0.19%
03-31-17,100.22,100.34,100.5,100.11,25.57K,-0.06%
03-30-17,100.28,99.85,100.47,99.8,28.86K,0.44%
03-29-17,99.84,99.56,99.97,99.5,25.95K,0.29%
03-28-17,99.55,99.06,99.62,98.92,26.36K,0.59%
03-27-17,98.97,99.33,99.33,98.67,31.75K,-0.47%
03-24-17,99.44,99.57,99.81,99.36,22.92K,-0.12%
03-23-17,99.56,99.58,99.67,99.44,23.58K,0.09%
03-22-17,99.47,99.5,99.72,99.34,30.15K,-0.14%
03-21-17,99.61,100.17,100.18,99.46,33.89K,-0.62%
03-20-17,100.23,100.11,100.27,99.83,19.26K,0.12%
03-17-17,100.11,100.06,100.28,99.97,23.35K,-0.08%
03-16-17,100.19,100.34,100.58,100.05,36.55K,-0.39%
03-15-17,100.58,101.57,101.59,100.32,47.71K,-0.97%
03-14-17,101.57,101.28,101.66,101.22,22.53K,0.26%
03-13-17,101.31,101.28,101.4,101.03,1.62K,0.06%
03-10-17,101.25,101.94,101.98,101.18,18.21K,-0.59%
03-09-17,101.85,102.15,102.25,101.7,31.01K,-0.23%
03-08-17,102.08,101.76,102.19,101.7,51.02K,0.27%
03-07-17,101.81,101.74,101.91,101.52,20.65K,0.17%
03-06-17,101.64,101.44,101.74,101.22,38.66K,0.09%
03-03-17,101.55,102.08,102.17,101.33,61.01K,-0.64%
03-02-17,102.2,101.81,102.27,101.79,30.51K,0.41%
03-01-17,101.78,101.47,101.98,101.22,54.89K,0.64%
02-28-17,101.13,101.2,101.38,100.78,31.15K,0.00%
02-27-17,101.13,101.16,101.28,100.68,24.66K,0.04%
02-24-17,101.09,101.04,101.15,100.64,35.99K,0.04%
02-23-17,101.05,101.35,101.44,100.86,32.82K,-0.14%
02-22-17,101.19,101.36,101.72,101.16,38.97K,-0.17%
02-21-17,101.36,101.08,101.61,101.08,28.83K,0.41%
02-20-17,100.95,100.86,100.99,100.74,9.04K,0.00%
02-17-17,100.95,100.5,100.96,100.44,27.27K,0.52%
02-16-17,100.43,100.94,101.05,100.4,41.90K,-0.72%
02-15-17,101.16,101.31,101.75,100.97,42.91K,-0.07%
02-14-17,101.23,100.95,101.39,100.7,38.11K,0.28%
02-13-17,100.95,100.79,101.11,100.57,23.85K,0.16%
02-10-17,100.79,100.69,101.02,100.56,34.60K,0.14%
02-09-17,100.65,100.24,100.67,100.08,33.57K,0.39%
02-08-17,100.26,100.44,100.63,100.03,31.54K,0.01%
02-07-17,100.25,99.96,100.69,99.91,38.83K,0.39%
02-06-17,99.86,99.7,100.22,99.61,27.45K,0.02%
02-03-17,99.84,99.83,100.37,99.52,49.52K,0.05%
02-02-17,99.79,99.56,99.84,99.19,40.68K,0.18%
02-01-17,99.61,99.58,100.06,99.48,42.20K,0.13%
01-31-17,99.48,100.39,100.5,99.4,57.72K,-0.93%
01-30-17,100.41,100.43,101.02,100.14,38.52K,-0.12%
01-27-17,100.53,100.52,100.81,100.31,30.57K,0.15%
01-26-17,100.38,99.8,100.73,99.77,35.13K,0.36%
01-25-17,100.02,100.24,100.39,99.81,28.27K,-0.32%
01-24-17,100.34,99.98,100.39,99.89,29.39K,0.21%
01-23-17,100.13,100.75,100.75,99.92,40.27K,-0.56%
01-20-17,100.69,101.19,101.48,100.67,40.55K,-0.44%
01-19-17,101.14,101.36,101.71,100.95,53.38K,0.22%
01-18-17,100.92,100.33,101.33,100.31,39.87K,0.60%
01-17-17,100.32,101.56,101.61,100.23,61.48K,-0.86%
01-16-17,101.19,101.48,101.72,101.31,15.95K,0.00%
01-13-17,101.19,101.52,101.68,100.83,38.03K,-0.19%
01-12-17,101.38,101.72,101.77,100.7,54.03K,-0.36%
01-11-17,101.75,102.02,102.96,101.24,74.59K,-0.25%
01-10-17,102,101.85,102.09,101.48,33.33K,0.09%
01-09-17,101.91,102.25,102.49,101.84,31.02K,-0.29%
01-06-17,102.21,101.54,102.3,101.39,38.07K,0.67%
01-05-17,101.53,102.06,102.5,101.3,60.27K,-1.15%
01-04-17,102.71,103.35,103.42,102.39,36.18K,-0.47%
01-03-17,103.2,102.81,103.81,102.62,51.70K,0.89%
12-30-16,102.29,102.24,102.63,101.95,38.08K,-0.41%
12-29-16,102.71,103.19,103.21,102.65,31.94K,-0.51%
12-28-16,103.24,102.98,103.58,102.86,19.85K,0.22%
12-27-16,103.01,103.06,103.14,102.97,8.16K,0.01%
12-23-16,103,103.09,103.2,102.86,11.98K,-0.10%
12-22-16,103.1,102.97,103.15,102.59,22.64K,0.07%
12-21-16,103.03,103.28,103.38,102.75,21.10K,-0.25%
12-20-16,103.29,103.09,103.62,102.97,29.63K,0.38%
12-19-16,102.9,102.81,103.11,102.55,1.22K,-0.05%
12-16-16,102.95,103.13,103.27,102.62,13.42K,-0.10%
12-15-16,103.05,102.48,103.56,102.16,57.74K,1.26%
12-14-16,101.77,101.05,102.34,100.75,66.53K,0.65%
12-13-16,101.11,100.97,101.19,100.78,36.79K,0.06%
12-12-16,101.05,101.64,101.82,100.86,38.20K,-0.56%
12-09-16,101.62,101.15,101.77,101.04,30.12K,0.49%
12-08-16,101.12,100.24,101.28,99.49,75.79K,0.85%
12-07-16,100.27,100.57,100.63,100.18,26.70K,-0.26%
12-06-16,100.53,100.18,100.61,100.01,32.30K,0.42%
12-05-16,100.11,101.56,101.8,99.87,80.45K,-0.74%
12-02-16,100.86,100.95,101.17,100.7,41.18K,-0.24%
12-01-16,101.1,101.56,101.61,100.95,35.28K,-0.43%
11-30-16,101.54,100.98,101.88,100.92,45.37K,0.58%
11-29-16,100.95,101.27,101.69,100.94,38.83K,-0.41%
11-28-16,101.37,101.43,101.63,100.67,46.06K,-0.18%
11-25-16,101.55,101.84,101.97,101.25,31.66K,-0.21%
11-24-16,101.76,101.81,102.12,101.53,16.92K,0.00%
11-23-16,101.76,101.11,101.96,100.96,43.01K,0.64%
11-22-16,101.11,100.83,101.37,100.71,33.99K,0.00%
