date,close,open,high,low,diff
04-07-17,1205.03,1202.85,1215.66,1201,0.07%
04-06-17,1204.2,1201.9,1211.6,1201.16,0.09%
04-05-17,1203.13,1199.63,1205.17,1197.06,0.19%
04-04-17,1200.87,1190.95,1201.63,1189.76,0.75%
04-03-17,1191.96,1190.19,1194.21,1186.58,0.11%
03-31-17,1190.63,1192.92,1199.37,1188.76,-0.29%
03-30-17,1194.1,1195.53,1205.02,1191.05,-0.22%
03-29-17,1196.72,1205.98,1208.59,1193.65,-0.87%
03-28-17,1207.18,1205.8,1211.41,1201.92,-0.02%
03-27-17,1207.39,1205.14,1212.18,1203.07,0.04%
03-24-17,1206.85,1209.17,1213.91,1201.59,-0.31%
03-23-17,1210.59,1205.25,1213.19,1203.82,0.35%
03-22-17,1206.33,1212.69,1217.25,1204.26,-0.64%
03-21-17,1214.11,1195.58,1215.84,1194,1.44%
03-20-17,1196.88,1211.88,1216.5,1192.79,-1.28%
03-17-17,1212.36,1213.97,1221.81,1210.15,-0.24%
03-16-17,1215.28,1210.15,1217.23,1206.14,0.31%
03-15-17,1211.51,1218.14,1222.81,1207.03,-0.65%
03-14-17,1219.43,1221.46,1226.33,1217.59,-0.29%
03-13-17,1223.02,1224.74,1231.59,1220.06,-0.24%
03-10-17,1226.01,1225.74,1230.63,1221.82,-0.08%
03-09-17,1227.04,1215.98,1229.88,1214.29,0.77%
03-08-17,1217.69,1214.74,1221.41,1206.92,0.15%
03-07-17,1215.86,1220.86,1225.45,1212.32,-0.53%
03-06-17,1222.33,1222.1,1231.94,1218.95,-0.15%
03-03-17,1224.11,1207.89,1224.45,1205.18,1.25%
03-02-17,1209,1201.43,1210.67,1199.93,0.53%
03-01-17,1202.66,1201.51,1209.19,1197,-0.06%
02-28-17,1203.44,1199.97,1204.21,1190.52,0.18%
02-27-17,1201.26,1192.21,1202.55,1191.44,0.60%
02-24-17,1194.14,1197.75,1201.12,1192.03,-0.41%
02-23-17,1199.04,1200.61,1205.51,1193.06,-0.23%
02-22-17,1201.78,1203.21,1208.3,1198.01,-0.21%
02-21-17,1204.27,1214.06,1219.41,1202.05,-0.94%
02-20-17,1215.64,1220.07,1224.31,1213.65,-0.47%
02-17-17,1221.43,1217.78,1228.5,1216.66,0.21%
02-16-17,1218.91,1202.1,1220.64,1200.87,1.28%
02-15-17,1203.51,1203.55,1211.92,1199.14,-0.10%
02-14-17,1204.67,1217.29,1220.58,1202.52,-1.13%
02-13-17,1218.46,1217.99,1228.14,1215.6,-0.13%
02-10-17,1220.1,1225.23,1231.56,1217.15,-0.52%
02-09-17,1226.53,1223.73,1228.42,1218.57,0.10%
02-08-17,1225.26,1220.07,1227.05,1217.6,0.31%
02-07-17,1221.49,1218.5,1227.75,1216.08,0.11%
02-06-17,1220.12,1226.06,1230.23,1211.47,-0.90%
02-05-17,1231.24,1231.24,1231.24,1231.24,0.28%
02-03-17,1227.78,1229.74,1236.46,1222.44,-0.25%
02-02-17,1230.88,1241.24,1245.02,1227.67,-0.93%
02-01-17,1242.43,1242.36,1251.19,1238.5,-0.09%
01-31-17,1243.55,1250.65,1253.58,1237.55,-0.68%
01-30-17,1252.02,1258.08,1264.96,1248.87,-0.73%
01-27-17,1261.22,1250.73,1262.98,1247.04,0.70%
01-26-17,1252.47,1248.13,1252.7,1242.29,0.22%
01-25-17,1249.67,1254.58,1256.71,1246.53,-0.49%
01-24-17,1255.78,1250.68,1256.59,1247.48,0.28%
01-23-17,1252.22,1254.07,1259.74,1248.97,-0.46%
01-20-17,1258.03,1252.03,1259.24,1246.84,0.38%
01-19-17,1253.21,1251.54,1257.4,1246.63,0.04%
01-18-17,1252.67,1242.41,1256.51,1239.83,0.72%
01-17-17,1243.66,1253.08,1260.5,1240.75,-0.88%
01-16-17,1254.73,1245.77,1257.86,1243.2,0.32%
01-13-17,1250.67,1246.81,1254.37,1244.28,0.22%
01-12-17,1247.94,1255.71,1260.03,1245.11,-0.73%
01-11-17,1257.07,1267.31,1268.96,1253.39,-0.90%
01-10-17,1268.49,1271.12,1275.45,1263.91,-0.31%
01-09-17,1272.42,1264.96,1273.68,1263.74,0.50%
01-06-17,1266.07,1251.99,1267.84,1249.79,0.97%
01-05-17,1253.95,1253.35,1259.38,1244,-0.06%
01-04-17,1254.64,1254.52,1258.8,1248.07,-0.09%
01-03-17,1255.81,1257.9,1270.14,1250.51,-0.27%
01-02-17,1259.25,1269.47,1274.32,1255.81,-0.81%
12-30-16,1269.55,1264.45,1285.11,1261.71,0.31%
12-29-16,1265.68,1260.82,1268.87,1258.39,0.29%
12-28-16,1261.99,1261.57,1269.2,1256.85,-0.07%
12-27-16,1262.87,1254.11,1264.94,1252.55,0.57%
12-26-16,1255.76,1253.46,1259.05,1250.54,0.05%
