date,close,open,high,low,volume,diff
04-07-17,3.261,3.307,3.34,3.246,-,-2.10%
04-06-17,3.331,3.269,3.337,3.235,165.91K,1.99%
04-05-17,3.266,3.293,3.347,3.254,165.27K,-0.82%
04-04-17,3.293,3.145,3.301,3.121,232.92K,5.27%
04-03-17,3.128,3.217,3.239,3.125,124.59K,-1.94%
03-31-17,3.19,3.199,3.242,3.163,114.82K,-0.03%
03-30-17,3.191,3.21,3.237,3.141,133.29K,0.50%
03-29-17,3.175,3.089,3.183,3.082,8.02K,2.55%
03-28-17,3.096,3.046,3.104,3.011,53.20K,1.44%
03-27-17,3.052,3.119,3.133,3.043,59.54K,-0.78%
03-24-17,3.076,3.05,3.092,3.016,102.12K,0.82%
03-23-17,3.051,3.02,3.063,2.986,147.43K,1.33%
03-22-17,3.011,3.082,3.095,3.007,125.48K,-2.65%
03-21-17,3.093,3.08,3.113,3.033,138.76K,1.71%
03-20-17,3.041,2.913,3.085,2.902,133.71K,3.15%
03-17-17,2.948,2.908,2.965,2.882,102.59K,1.59%
03-16-17,2.902,2.974,2.976,2.888,175.33K,-2.65%
03-15-17,2.981,2.949,3.006,2.923,119.23K,1.46%
03-14-17,2.938,3.018,3.063,2.927,156.66K,-3.45%
03-13-17,3.043,3.083,3.089,2.99,140.78K,1.16%
03-10-17,3.008,2.987,3.043,2.966,162.57K,1.14%
03-09-17,2.974,2.913,2.99,2.889,178.68K,2.52%
03-08-17,2.901,2.835,2.949,2.833,200.06K,2.73%
03-07-17,2.824,2.872,2.89,2.815,166.48K,-2.65%
03-06-17,2.901,2.911,2.952,2.857,216.89K,2.62%
03-03-17,2.827,2.816,2.84,2.775,155.24K,0.82%
03-02-17,2.804,2.791,2.835,2.73,173.32K,0.18%
03-01-17,2.799,2.77,2.828,2.743,154.83K,0.90%
02-28-17,2.774,2.691,2.788,2.653,183.62K,3.01%
02-27-17,2.693,2.715,2.721,2.659,127.55K,2.51%
02-24-17,2.627,2.62,2.67,2.587,-,0.38%
02-23-17,2.617,2.598,2.704,2.569,67.94K,0.96%
02-22-17,2.592,2.584,2.64,2.522,69.60K,1.09%
02-21-17,2.564,2.791,2.826,2.556,205.02K,-10.91%
02-20-17,2.878,2.894,2.897,2.864,-,-0.55%
02-19-17,2.894,2.913,2.913,2.892,-,2.12%
02-17-17,2.834,2.84,2.899,2.83,126.49K,-0.70%
02-16-17,2.854,2.934,2.953,2.831,138.78K,-2.43%
02-15-17,2.925,2.939,2.994,2.913,126.12K,0.69%
02-14-17,2.905,2.923,2.953,2.887,142.94K,-1.32%
02-13-17,2.944,2.978,2.994,2.921,162.67K,-2.97%
02-10-17,3.034,3.105,3.121,3.005,188.16K,-3.41%
02-09-17,3.141,3.143,3.189,3.11,162.28K,0.48%
02-08-17,3.126,3.14,3.164,3.06,159.48K,-0.13%
02-07-17,3.13,3.06,3.156,3.051,177.01K,2.62%
02-06-17,3.05,3.015,3.086,3.006,124.25K,-0.42%
02-03-17,3.063,3.193,3.201,3.042,179.66K,-3.89%
02-02-17,3.187,3.174,3.209,3.118,149.33K,0.60%
02-01-17,3.168,3.134,3.228,3.113,136.18K,1.64%
01-31-17,3.117,3.224,3.235,3.11,198.01K,-3.56%
01-30-17,3.232,3.3,3.342,3.216,135.65K,-4.69%
01-27-17,3.391,3.35,3.418,3.245,-,0.27%
01-26-17,3.382,3.362,3.494,3.35,75.88K,1.50%
01-25-17,3.332,3.292,3.365,3.255,51.14K,1.62%
01-24-17,3.279,3.28,3.35,3.259,99.03K,1.11%
01-23-17,3.243,3.18,3.278,3.145,108.56K,1.22%
