date,close,open,high,low,volume,diff
04-07-17,956.8,960.05,981.75,951.45,-,-0.32%
04-06-17,959.9,965.3,965.6,954,-,-0.56%
04-05-17,965.3,962.95,972.1,956,-,0.23%
04-04-17,963.1,962.6,968.05,956.9,-,0.05%
04-03-17,962.65,956.95,962.75,949.25,-,0.60%
04-02-17,956.95,951.65,957.45,951.65,-,0.37%
03-31-17,953.4,952.15,953.9,942.9,-,0.13%
03-30-17,952.2,959.3,963.5,950.15,-,-0.73%
03-29-17,959.2,956.9,960.15,951.55,-,0.26%
03-28-17,956.75,970.7,974.5,952.9,-,-1.43%
03-27-17,970.6,973.65,987.05,970.4,-,-0.31%
03-26-17,973.6,967.95,974.4,967.95,-,0.75%
03-24-17,966.35,962.9,970.2,957.45,-,0.35%
03-23-17,962.95,962.4,971.85,957.35,-,0.06%
03-22-17,962.35,972.6,974.45,960.55,-,-1.05%
03-21-17,972.6,972.9,976.6,960.2,-,-0.03%
03-20-17,972.85,967,973.35,962.25,-,0.64%
03-19-17,966.65,966.45,967.2,964.75,-,0.09%
03-17-17,965.8,958.65,966.7,953.85,-,0.75%
03-16-17,958.65,959,973.75,956.45,-,-0.03%
03-15-17,958.9,939.15,958.95,932.95,-,2.11%
03-14-17,939.1,939.2,945.1,936.8,-,-0.01%
03-13-17,939.15,944,949.1,937.8,-,-0.51%
03-12-17,943.95,943.5,945.15,942.5,-,0.01%
03-10-17,943.9,936.45,947.85,935.85,-,0.79%
03-09-17,936.5,951.45,954.1,935.35,-,-1.57%
03-08-17,951.45,963.75,965.5,946.75,-,-1.28%
03-07-17,963.8,980.65,981.4,960.6,-,-1.71%
03-06-17,980.6,1001.75,1002.2,977.8,-,-2.11%
03-05-17,1001.75,1001.35,1001.95,999.4,-,0.11%
03-03-17,1000.6,993.95,1000.7,985.5,-,0.67%
03-02-17,993.95,1018.1,1020.6,984.3,-,-2.37%
03-01-17,1018.05,1022.2,1030.3,1014.6,-,-0.42%
02-28-17,1022.3,1031.95,1038.9,1021.9,-,-0.94%
02-27-17,1031.95,1028.15,1047.7,1027.4,-,0.34%
02-26-17,1028.5,1028.7,1029,1027.85,-,-0.25%
