date,close,open,high,low,volume,diff
04-25-17,52.10 ,51.60 ,52.39 ,51.30 ,272.76K,0.97%
04-24-17,51.60 ,52.11 ,52.57 ,51.42 ,267.28K,-0.69%
04-21-17,51.96 ,53.00 ,53.29 ,51.57 ,348.48K,-1.94%
04-20-17,52.99 ,53.09 ,53.55 ,52.68 ,401.85K,0.11%
04-19-17,52.93 ,54.78 ,55.20 ,52.58 ,435.41K,-3.57%
04-18-17,54.89 ,55.39 ,55.48 ,54.61 ,373.10K,-0.85%
04-17-17,55.36 ,55.55 ,55.98 ,55.29 ,158.97K,-0.95%
04-13-17,55.89 ,55.66 ,56.06 ,55.56 ,325.31K,0.05%
04-12-17,55.86,56.28,56.65,55.5,373.53K,-0.66%
04-11-17,56.23,56.08,56.3,55.45,340.42K,0.45%
04-10-17,55.98,55.19,56.05,55.19,298.90K,1.34%
04-07-17,55.24,54.88,56.08,54.57,317.78K,0.64%
04-06-17,54.89,54.13,55,54.02,239.47K,0.97%
04-05-17,54.36,54.22,55.09,53.97,353.02K,0.35%
04-04-17,54.17,53.18,54.38,52.73,302.11K,1.98%
04-03-17,53.12,53.62,53.74,53.03,241.75K,0.55%
03-31-17,52.83,52.83,53.45,52.35,27.46K,-0.25%
03-30-17,52.96,52.39,53.1,52.03,128.55K,1.03%
03-29-17,52.42,51.43,52.48,51.36,140.44K,2.12%
03-28-17,51.33,50.77,51.87,50.77,186.41K,1.14%
03-27-17,50.75,51.03,51.1,50.03,195.52K,-0.10%
03-24-17,50.8,50.64,51.06,50.4,215.34K,0.47%
03-23-17,50.56,50.83,51.1,50.25,320.21K,-0.16%
03-22-17,50.64,50.86,50.98,49.71,327.91K,-0.63%
03-21-17,50.96,51.7,52.22,50.73,291.71K,-1.28%
03-20-17,51.62,51.8,51.94,51.01,239.25K,-0.27%
03-17-17,51.76,51.74,52.18,51.53,220.35K,0.04%
03-16-17,51.74,52.08,52.65,51.5,281.53K,-0.14%
03-15-17,51.81,51.5,52.15,51.36,327.90K,1.75%
03-14-17,50.92,51.34,51.86,50.25,411.63K,-0.84%
03-13-17,51.35,51.49,51.7,50.85,276.76K,-0.04%
03-10-17,51.37,52.33,53.02,51.14,351.34K,-1.57%
03-09-17,52.19,53.49,53.86,51.5,504.12K,-1.73%
03-08-17,53.11,55.63,55.77,52.93,444.13K,-5.03%
03-07-17,55.92,55.95,56.65,55.56,269.52K,-0.16%
03-06-17,56.01,55.8,56.25,55.32,224.20K,0.20%
03-03-17,55.9,55.18,55.95,55.09,248.71K,1.49%
03-02-17,55.08,56.31,56.44,55.03,350.12K,-2.27%
03-01-17,56.36,56.45,57.05,56.24,261.74K,1.39%
02-28-17,55.59,56.02,56.15,55.23,28.35K,-0.61%
02-27-17,55.93,55.96,56.77,55.86,139.29K,-0.11%
02-24-17,55.99,56.4,56.66,55.74,164.96K,-1.04%
02-23-17,56.58,56.2,57.26,56.18,223.59K,1.33%
02-22-17,55.84,56.74,57.01,55.64,245.16K,-1.45%
02-21-17,56.66,56.17,57.31,56.1,335.44K,0.85%
02-20-17,56.18,55.9,56.42,55.7,209.63K,0.66%
02-17-17,55.81,55.73,55.88,55.1,270.49K,0.29%
02-16-17,55.65,55.74,56.24,55.13,310.84K,-0.18%
02-15-17,55.75,55.82,56.25,55.56,272.52K,-0.39%
02-14-17,55.97,55.75,56.46,55.53,254.98K,0.68%
02-13-17,55.59,56.68,56.81,55.41,234.31K,-1.96%
02-10-17,56.7,55.66,56.88,55.59,284.71K,1.92%
02-09-17,55.63,55.3,55.92,55.23,263.40K,0.93%
02-08-17,55.12,54.5,55.68,54.44,409.83K,0.13%
02-07-17,55.05,55.91,55.98,54.58,317.18K,-1.20%
02-06-17,55.72,56.85,57.13,55.65,252.70K,-1.92%
02-03-17,56.81,56.92,57.3,56.39,264.76K,0.44%
02-02-17,56.56,56.53,57.45,56.33,297.35K,-0.42%
02-01-17,56.8,55.55,56.83,55.36,301.24K,1.97%
01-31-17,55.7,55.25,56,54.9,28.80K,0.85%
01-30-17,55.23,55.47,55.7,54.97,104.90K,-0.52%
01-27-17,55.52,56.09,56.5,54.86,142.07K,-1.28%
01-26-17,56.24,55.39,56.55,55.21,265.72K,2.11%
01-25-17,55.08,55.24,55.65,54.75,275.73K,-0.65%
01-24-17,55.44,55.42,55.87,55.07,254.89K,0.38%
01-23-17,55.23,55.7,55.75,54.65,305.85K,-0.47%
01-20-17,55.49,54.33,55.8,54.18,293.54K,2.46%
01-19-17,54.16,54.29,54.77,53.9,346.87K,0.45%
01-18-17,53.92,55.48,55.9,53.77,360.15K,-2.79%
01-17-17,55.47,55.74,56.95,55.4,335.73K,-0.70%
01-16-17,55.86,55.64,55.92,55.19,112.58K,0.74%
01-13-17,55.45,56,56.21,55.28,247.09K,-1.00%
01-12-17,56.01,55.19,56.43,55.01,331.63K,1.65%
01-11-17,55.1,53.8,55.67,53.7,419.90K,2.72%
01-10-17,53.64,54.95,55.36,53.58,332.98K,-2.37%
01-09-17,54.94,56.81,57,54.74,266.39K,-3.78%
01-06-17,57.1,56.88,57.47,56.28,234.87K,0.37%
01-05-17,56.89,56.35,57.35,56.01,269.61K,0.76%
01-04-17,56.46,55.73,56.55,55.33,282.55K,1.78%
01-03-17,55.47,57.05,58.37,55.3,340.82K,-2.38%
12-30-16,56.82,57,57.2,56.46,129.10K,1.21%
12-29-16,56.14,56.01,56.63,55.91,49.08K,-0.14%
12-28-16,56.22,56.06,56.56,55.89,109.91K,0.23%
12-27-16,56.09,55.18,57.15,55.04,67.84K,1.69%
12-23-16,55.16,54.84,55.25,54.26,104.09K,0.20%
12-22-16,55.05,54.55,55.23,54.05,194.66K,1.08%
12-21-16,54.46,55.52,55.87,54.32,277.73K,-1.61%
12-20-16,55.35,55.02,55.92,54.75,257.02K,0.78%
12-19-16,54.92,55.4,55.8,54.69,228.39K,-0.53%
12-16-16,55.21,54.11,55.38,53.71,229.19K,2.20%
12-15-16,54.02,53.76,54.5,53.15,266.15K,0.22%
12-14-16,53.9,55.16,55.81,53.52,353.97K,-3.27%
12-13-16,55.72,55.7,56.44,55.13,283.43K,0.05%
12-12-16,55.69,55.88,57.89,55.11,372.17K,2.50%
12-09-16,54.33,53.97,54.46,53.77,264.80K,0.82%
12-08-16,53.89,53.15,54.05,52.81,334.18K,1.68%
12-07-16,53,53.94,54.23,52.92,298.57K,-1.72%
12-06-16,53.93,54.5,54.94,53.51,280.65K,-1.84%
12-05-16,54.94,54.4,55.33,53.77,288.55K,0.88%
12-02-16,54.46,53.88,54.5,52.84,312.78K,0.96%
12-01-16,53.94,51.72,54.53,51.51,460.86K,6.88%
11-30-16,50.47,46.54,50.49,46.51,43.12K,8.82%
11-29-16,46.38,48.07,48.1,45.92,133.11K,-3.86%
11-28-16,48.24,46.71,48.81,46.28,207.96K,2.12%
11-25-16,47.24,48.96,49.02,46.85,181.17K,-3.59%
11-24-16,49,49.03,49.21,48.76,71.19K,0.10%
11-23-16,48.95,49.2,49.5,48.56,275.29K,-0.35%
11-22-16,49.12,49.25,49.96,48.14,436.93K,0.45%
11-21-16,48.9,46.92,49.15,46.92,282.70K,4.35%
11-18-16,46.86,46.05,46.99,45.75,249.34K,0.80%
11-17-16,46.49,46.44,47.62,45.97,280.94K,-0.30%
11-16-16,46.63,46.88,47.56,46.25,335.48K,-0.68%
11-15-16,46.95,44.7,47.25,44.67,354.27K,5.67%
11-14-16,44.43,44.54,44.99,43.57,260.15K,-0.72%
11-11-16,44.75,45.8,45.89,44.19,286.71K,-2.38%
11-10-16,45.84,46.36,46.92,45.56,302.45K,-1.12%
11-09-16,46.36,46.04,46.95,44.4,448.12K,0.70%
11-08-16,46.04,46.3,46.69,45.6,320.98K,-0.24%
11-07-16,46.15,45.7,46.38,45.38,276.17K,1.25%
11-04-16,45.58,46.43,46.56,45.08,384.56K,-1.66%
11-03-16,46.35,47.15,47.52,45.99,283.66K,-1.09%
11-02-16,46.86,47.9,48.02,46.46,366.82K,-2.66%
11-01-16,48.14,48.72,49.26,47.72,462.80K,-0.33%
10-31-16,48.3,49.41,49.72,47.98,32.21K,-2.84%
10-28-16,49.71,50.41,50.58,49.31,94.84K,-1.51%
10-27-16,50.47,50.05,50.9,49.83,138.09K,0.98%
10-26-16,49.98,50.26,50.69,49.65,304.52K,-1.59%
10-25-16,50.79,51.44,51.83,50.22,237.73K,-1.30%
10-24-16,51.46,51.89,52.01,50.5,277.24K,-0.62%
10-21-16,51.78,51.4,51.94,51.12,249.16K,0.78%
10-20-16,51.38,52.6,52.72,51.17,279.31K,-2.45%
10-19-16,52.67,52.13,53.14,52.09,292.95K,1.92%
10-18-16,51.68,51.72,52.15,51.25,274.17K,0.31%
10-17-16,51.52,51.93,52.29,51.16,247.03K,-0.83%
10-14-16,51.95,52.06,52.55,51.5,248.44K,-0.15%
10-13-16,52.03,51.6,52.15,50.92,310.65K,0.42%
10-12-16,51.81,52.48,52.87,51.61,254.73K,-1.14%
10-11-16,52.41,53.11,53.32,52.12,373.85K,-1.37%
10-10-16,53.14,51.63,53.73,51.3,334.27K,2.33%
10-07-16,51.93,52.72,52.84,51.33,310.02K,-1.10%
10-06-16,52.51,51.76,52.75,51.32,293.87K,1.25%
10-05-16,51.86,51.22,52.09,51.22,302.09K,1.95%
10-04-16,50.87,50.93,51.55,50.34,269.27K,-0.04%
10-03-16,50.89,50.02,51.14,49.74,284.26K,3.73%
09-30-16,49.06,49.18,49.25,48.21,26.94K,-0.37%
09-29-16,49.24,48.87,49.81,47.99,114.83K,1.13%
09-28-16,48.69,46.14,48.96,45.7,188.67K,5.92%
09-27-16,45.97,47.06,47.28,45.63,241.18K,-2.91%
09-26-16,47.35,46.05,47.66,45.74,208.15K,3.18%
09-23-16,45.89,47.42,48.26,45.65,306.86K,-3.69%
09-22-16,47.65,46.99,47.83,46.99,290.33K,1.75%
09-21-16,46.83,46.45,47.14,46.38,249.08K,2.07%
09-20-16,45.88,45.91,46.3,45.09,298.80K,-0.15%
09-19-16,45.95,46.01,46.93,45.85,209.91K,0.39%
09-16-16,45.77,46.31,46.41,45.48,226.32K,-1.76%
09-15-16,46.59,46.06,47,45.67,320.72K,1.61%
09-14-16,45.85,47.33,47.48,45.7,332.96K,-2.65%
09-13-16,47.1,48.17,48.22,46.96,280.02K,-2.52%
09-12-16,48.32,47.81,48.63,46.9,258.76K,0.65%
09-09-16,48.01,49.63,49.7,47.76,262.15K,-3.96%
09-08-16,49.99,48.55,50.14,48.21,327.24K,4.19%
09-07-16,47.98,47.2,48.56,46.97,224.23K,1.52%
09-06-16,47.26,47.43,47.99,46.29,215.06K,-0.78%
09-05-16,47.63,46.7,49.4,46.4,287.95K,1.71%
09-02-16,46.83,45.79,47.02,45.41,279.34K,3.04%
09-01-16,45.45,46.98,47.24,45.32,290.04K,-3.38%
08-31-16,47.04,48.29,48.42,46.96,20.61K,-2.75%
08-30-16,48.37,49.25,49.76,48.23,124.52K,-1.81%
08-29-16,49.26,49.54,49.6,48.97,65.67K,-1.32%
08-26-16,49.92,49.66,50.76,49.12,209.62K,0.50%
08-25-16,49.67,49.03,49.78,48.7,217.13K,1.26%
08-24-16,49.05,49.57,49.87,48.68,280.92K,-1.82%
08-23-16,49.96,49.04,50.21,48.48,314.18K,1.63%
