date,close,open,high,low,volume,diff
04-25-17,17.591 ,17.910 ,17.975 ,17.525 ,107.04K,-1.50%
04-24-17,17.858 ,17.820 ,17.910 ,17.550 ,95.60K,-0.29%
04-23-17,17.910 ,17.850 ,17.910 ,17.680 ,-,0.30%
04-21-17,17.856 ,17.995 ,18.020 ,17.785 ,97.31K,-0.90%
04-20-17,18.018 ,18.160 ,18.220 ,17.845 ,118.56K,-0.79%
04-19-17,18.162 ,18.300 ,18.325 ,18.085 ,74.70K,-0.60%
04-18-17,18.272 ,18.430 ,18.435 ,18.065 ,114.19K,-1.31%
04-17-17,18.514 ,18.585 ,18.655 ,18.370 ,59.15K,-0.57%
04-16-17,18.620 ,18.580 ,18.630 ,18.560 ,-,0.40%
04-14-17,18.545 ,18.545 ,18.545 ,18.545 ,-,0.19%
04-13-17,18.510 ,18.510 ,18.605 ,18.415 ,83.59K,1.15%
04-12-17,18.300 ,18.350 ,18.585 ,18.245 ,77.03K,0.25%
04-11-17,18.254 ,17.950 ,18.345 ,17.910 ,80.61K,1.89%
04-10-17,17.915 ,17.930 ,18.025 ,17.735 ,72.88K,-0.43%
04-09-17,17.992 ,17.992 ,18.023 ,17.930 ,-,-0.88%
04-07-17,18.151 ,18.250 ,18.490 ,17.865 ,118.60K,-0.52%
04-06-17,18.246 ,18.295 ,18.355 ,18.165 ,50.60K,0.32%
04-05-17,18.187 ,18.320 ,18.325 ,18.145 ,74.38K,-0.74%
04-04-17,18.323 ,18.305 ,18.430 ,18.210 ,49.05K,0.61%
04-03-17,18.212 ,18.265 ,18.290 ,18.090 ,47.76K,-0.14%
04-02-17,18.237 ,18.280 ,18.280 ,18.237 ,-,-0.10%
03-31-17,18.256 ,18.135 ,18.290 ,18.060 ,53.64K,0.27%
03-30-17,18.206 ,18.250 ,18.315 ,18.070 ,63.77K,-0.25%
03-29-17,18.252 ,18.205 ,18.275 ,18.055 ,58.01K,0.00%
03-28-17,18.252 ,18.120 ,18.260 ,18.025 ,72.06K,0.80%
03-27-17,18.108 ,17.805 ,18.150 ,17.780 ,59.65K,1.42%
03-26-17,17.855 ,17.800 ,17.883 ,17.800 ,-,0.60%
03-24-17,17.748 ,17.595 ,17.800 ,17.540 ,42.18K,0.88%
03-23-17,17.593 ,17.555 ,17.710 ,17.525 ,51.80K,0.09%
03-22-17,17.578 ,17.565 ,17.605 ,17.460 ,42.98K,-0.03%
03-21-17,17.583 ,17.445 ,17.620 ,17.340 ,56.00K,0.83%
03-20-17,17.438 ,17.425 ,17.475 ,17.365 ,29.24K,0.06%
03-19-17,17.428 ,17.415 ,17.430 ,17.398 ,-,0.09%
03-17-17,17.413 ,17.340 ,17.425 ,17.230 ,39.67K,0.48%
03-16-17,17.330 ,17.345 ,17.585 ,17.255 ,77.18K,2.41%
03-15-17,16.923 ,16.890 ,17.370 ,16.825 ,72.91K,0.00%
03-14-17,16.923 ,16.985 ,17.065 ,16.875 ,48.42K,-0.29%
03-13-17,16.972 ,17.050 ,17.160 ,16.965 ,49.02K,-0.26%
03-12-17,17.017 ,17.050 ,17.062 ,17.000 ,-,0.56%
03-10-17,16.923 ,16.980 ,17.105 ,16.855 ,75.85K,-0.66%
03-09-17,17.036 ,17.255 ,17.310 ,16.955 ,67.23K,-1.51%
03-08-17,17.298 ,17.520 ,17.570 ,17.240 ,59.44K,-1.36%
03-07-17,17.536 ,17.800 ,17.820 ,17.495 ,55.27K,-1.33%
03-06-17,17.773 ,17.990 ,17.995 ,17.735 ,49.10K,-1.13%
03-05-17,17.977 ,17.980 ,17.980 ,17.938 ,-,1.34%
03-03-17,17.740 ,17.800 ,18.010 ,17.660 ,81.26K,-0.05%
03-02-17,17.748 ,18.465 ,18.480 ,17.705 ,98.44K,-4.01%
03-01-17,18.489 ,18.360 ,18.510 ,18.270 ,77.48K,0.11%
02-28-17,18.469 ,18.315 ,18.510 ,18.280 ,63.46K,0.28%
02-27-17,18.417 ,18.420 ,18.540 ,18.265 ,70.99K,0.16%
02-26-17,18.388 ,18.420 ,18.430 ,18.383 ,-,-0.10%
02-24-17,18.406 ,18.225 ,18.460 ,18.210 ,59.07K,1.22%
02-23-17,18.185 ,18.070 ,18.280 ,17.995 ,57.59K,0.90%
02-22-17,18.022 ,18.025 ,18.115 ,17.975 ,30.30K,-0.29%
02-21-17,18.074 ,18.060 ,18.145 ,17.885 ,45.45K,0.17%
02-20-17,18.043 ,18.002 ,18.060 ,17.910 ,-,0.23%
02-19-17,18.002 ,17.990 ,18.027 ,17.980 ,-,-0.56%
02-17-17,18.103 ,18.170 ,18.170 ,18.035 ,18.55K,-0.24%
02-16-17,18.146 ,18.045 ,18.210 ,18.005 ,19.43K,0.63%
02-15-17,18.033 ,18.020 ,18.050 ,17.825 ,25.84K,0.42%
02-14-17,17.958 ,17.885 ,18.160 ,17.800 ,15.50K,0.39%
02-13-17,17.888 ,18.000 ,18.070 ,17.820 ,11.47K,-0.25%
02-12-17,17.932 ,17.913 ,17.947 ,17.913 ,-,-0.37%
02-10-17,17.999 ,17.720 ,18.080 ,17.620 ,19.66K,1.07%
02-09-17,17.808 ,17.850 ,17.900 ,17.685 ,17.46K,0.19%
02-08-17,17.774 ,17.755 ,17.940 ,17.700 ,10.45K,-0.29%
02-07-17,17.825 ,17.815 ,17.860 ,17.635 ,8.93K,0.36%
02-06-17,17.761 ,17.570 ,17.825 ,17.550 ,2.34K,1.57%
02-05-17,17.487 ,17.520 ,17.545 ,17.468 ,-,-0.34%
02-03-17,17.479 ,17.485 ,17.540 ,17.260 ,65.77K,0.29%
02-02-17,17.429 ,17.565 ,17.745 ,17.415 ,63.07K,-0.12%
02-01-17,17.450 ,17.570 ,17.665 ,17.360 ,66.31K,-0.53%
01-31-17,17.543 ,17.130 ,17.635 ,17.105 ,73.62K,2.28%
01-30-17,17.152 ,17.170 ,17.295 ,17.080 ,57.16K,-0.38%
01-29-17,17.218 ,17.180 ,17.233 ,17.170 ,-,0.48%
01-27-17,17.136 ,16.800 ,17.260 ,16.635 ,64.59K,1.70%
01-26-17,16.850 ,17.010 ,17.050 ,16.680 ,53.18K,-0.77%
01-25-17,16.980 ,17.110 ,17.130 ,16.780 ,63.42K,-1.19%
01-24-17,17.185 ,17.250 ,17.310 ,17.025 ,51.74K,-0.01%
01-23-17,17.186 ,17.120 ,17.285 ,17.075 ,51.76K,0.02%
01-22-17,17.182 ,17.127 ,17.200 ,17.127 ,-,0.88%
01-20-17,17.032 ,17.025 ,17.195 ,16.840 ,64.63K,0.18%
01-19-17,17.002 ,17.075 ,17.125 ,16.745 ,79.09K,-1.57%
01-18-17,17.274 ,17.230 ,17.360 ,17.060 ,59.04K,0.73%
01-17-17,17.148 ,16.845 ,17.245 ,16.805 ,89.80K,1.88%
01-16-17,16.832 ,16.898 ,16.947 ,16.812 ,-,-0.39%
01-15-17,16.898 ,16.852 ,16.938 ,16.843 ,-,0.79%
01-13-17,16.765 ,16.805 ,16.855 ,16.610 ,60.84K,-0.36%
01-12-17,16.825 ,16.770 ,17.020 ,16.755 ,63.04K,-0.02%
01-11-17,16.828 ,16.840 ,16.905 ,16.560 ,82.62K,-0.12%
01-10-17,16.848 ,16.615 ,16.955 ,16.575 ,69.88K,0.99%
01-09-17,16.683 ,16.520 ,16.735 ,16.455 ,46.50K,0.76%
01-08-17,16.557 ,16.513 ,16.557 ,16.498 ,-,0.23%
01-06-17,16.519 ,16.635 ,16.715 ,16.260 ,68.14K,-0.71%
01-05-17,16.637 ,16.495 ,16.760 ,16.455 ,67.64K,0.51%
01-04-17,16.552 ,16.345 ,16.570 ,16.300 ,52.45K,0.87%
01-03-17,16.409 ,15.970 ,16.550 ,15.935 ,81.14K,2.46%
01-02-17,16.015 ,15.985 ,16.027 ,15.968 ,-,0.16%
12-30-16,15.989 ,16.225 ,16.345 ,15.880 ,44.62K,-1.41%
12-29-16,16.218 ,16.080 ,16.310 ,16.040 ,41.88K,1.12%
12-28-16,16.038 ,16.010 ,16.140 ,15.865 ,33.57K,0.31%
12-27-16,15.989 ,15.805 ,16.105 ,15.755 ,31.24K,1.04%
12-26-16,15.825 ,15.828 ,15.867 ,15.817 ,-,0.42%
12-23-16,15.759 ,15.855 ,15.900 ,15.735 ,25.17K,-0.71%
12-22-16,15.871 ,16.000 ,16.085 ,15.815 ,42.78K,-0.68%
12-21-16,15.979 ,16.150 ,16.240 ,15.950 ,44.95K,-0.86%
12-20-16,16.117 ,16.015 ,16.165 ,15.675 ,58.27K,0.17%
12-19-16,16.089 ,16.120 ,16.265 ,15.955 ,37.66K,-0.46%
12-18-16,16.163 ,16.145 ,16.172 ,16.140 ,-,-0.32%
12-16-16,16.215 ,15.990 ,16.330 ,15.975 ,56.46K,1.61%
12-15-16,15.958 ,16.855 ,17.000 ,15.925 ,106.12K,-7.33%
12-14-16,17.221 ,16.965 ,17.290 ,16.805 ,63.17K,1.44%
12-13-16,16.977 ,17.130 ,17.230 ,16.830 ,46.35K,-1.22%
12-12-16,17.187 ,16.915 ,17.265 ,16.735 ,53.32K,1.29%
12-11-16,16.968 ,16.932 ,16.973 ,16.900 ,-,0.42%
12-09-16,16.897 ,16.980 ,17.020 ,16.820 ,0.19K,-0.75%
12-08-16,17.025 ,17.100 ,17.110 ,16.995 ,0.08K,-1.03%
12-07-16,17.203 ,16.665 ,17.190 ,16.645 ,0.04K,2.77%
12-06-16,16.740 ,16.840 ,16.860 ,16.765 ,0.27K,-0.50%
12-05-16,16.824 ,16.905 ,16.960 ,16.525 ,0.20K,-0.23%
12-04-16,16.862 ,16.793 ,17.047 ,16.793 ,-,0.65%
12-02-16,16.753 ,16.615 ,16.775 ,16.305 ,0.14K,1.98%
12-01-16,16.427 ,16.495 ,16.630 ,16.250 ,0.78K,0.13%
11-30-16,16.406 ,16.545 ,16.715 ,16.395 ,1.21K,-1.53%
11-29-16,16.661 ,16.605 ,16.700 ,16.390 ,17.88K,0.47%
11-28-16,16.583 ,16.560 ,16.850 ,16.435 ,66.69K,0.69%
11-25-16,16.470 ,16.375 ,16.575 ,16.150 ,91.69K,0.78%
11-24-16,16.343 ,16.348 ,16.390 ,16.218 ,-,-0.29%
11-23-16,16.391 ,16.645 ,16.725 ,16.155 ,78.77K,-1.45%
11-22-16,16.632 ,16.580 ,16.885 ,16.520 ,65.28K,0.67%
11-21-16,16.521 ,16.600 ,16.755 ,16.505 ,56.23K,-0.19%
11-20-16,16.553 ,16.600 ,16.600 ,16.527 ,-,-0.43%
11-18-16,16.624 ,16.670 ,16.745 ,16.430 ,79.49K,-0.88%
11-17-16,16.772 ,16.960 ,17.080 ,16.575 ,71.54K,-0.92%
11-16-16,16.927 ,17.085 ,17.235 ,16.855 ,61.53K,-0.68%
11-15-16,17.043 ,16.920 ,17.135 ,16.820 ,69.76K,0.89%
11-14-16,16.893 ,17.390 ,17.490 ,16.620 ,129.85K,-3.23%
11-13-16,17.457 ,17.332 ,17.487 ,17.332 ,-,0.43%
11-11-16,17.382 ,18.605 ,18.850 ,17.170 ,171.37K,-7.23%
11-10-16,18.737 ,18.475 ,18.990 ,18.380 ,115.36K,1.95%
11-09-16,18.378 ,18.400 ,19.005 ,18.275 ,156.62K,0.12%
11-08-16,18.356 ,18.200 ,18.730 ,18.175 ,82.83K,1.13%
11-07-16,18.151 ,18.270 ,18.290 ,18.005 ,60.42K,-0.13%
11-06-16,18.175 ,18.260 ,18.260 ,18.130 ,-,-1.07%
11-04-16,18.371 ,18.360 ,18.480 ,18.185 ,56.40K,-0.24%
11-03-16,18.416 ,18.500 ,18.645 ,17.995 ,81.28K,-1.48%
11-02-16,18.693 ,18.375 ,18.750 ,18.360 ,78.45K,1.49%
11-01-16,18.418 ,17.890 ,18.510 ,17.850 ,92.62K,3.50%
10-31-16,17.796 ,17.800 ,17.925 ,17.755 ,48.49K,-0.25%
10-30-16,17.840 ,17.800 ,17.865 ,17.800 ,-,0.25%
10-28-16,17.796 ,17.600 ,17.935 ,17.505 ,69.83K,0.89%
10-27-16,17.639 ,17.615 ,17.725 ,17.545 ,44.88K,0.07%
10-26-16,17.626 ,17.770 ,17.870 ,17.575 ,50.24K,-0.87%
10-25-16,17.780 ,17.605 ,17.820 ,17.510 ,50.47K,1.00%
