date,close,open,high,low,diff
04-25-17,145.03 ,145.68 ,146.22 ,144.29 ,-0.55%
04-24-17,145.82 ,145.80 ,146.51 ,144.65 ,-0.07%
04-21-17,145.92 ,146.25 ,146.75 ,145.56 ,-0.32%
04-20-17,146.39 ,146.97 ,147.33 ,145.90 ,-0.49%
04-19-17,147.11 ,146.85 ,147.24 ,146.22 ,0.08%
04-18-17,146.99 ,145.64 ,147.75 ,145.57 ,0.83%
04-17-17,145.78 ,146.03 ,146.61 ,145.44 ,-0.29%
04-14-17,146.21 ,146.03 ,146.94 ,145.91 ,0.02%
04-13-17,146.17,145.91,146.53,144.77,0.09%
04-12-17,146.05,147.3,148.04,145.85,-0.93%
04-11-17,147.42,147.03,148.05,146.73,0.18%
04-10-17,147.16,146.33,147.34,146.21,0.47%
04-07-17,146.47,145.46,146.83,145.36,0.60%
04-06-17,145.6,145.09,146.08,144.9,0.25%
04-05-17,145.23,144.65,145.33,144.26,0.31%
04-04-17,144.79,143.63,145.07,143.57,0.71%
04-03-17,143.77,143.68,144.07,142.98,-0.04%
03-31-17,143.825,143.84,144.485,143.48,-0.10%
03-30-17,143.97,142.92,144.09,142.76,0.64%
03-29-17,143.06,143.58,143.84,142.84,-0.46%
03-28-17,143.715,142.94,143.815,142.88,0.45%
03-27-17,143.075,143.7,143.895,142.33,-0.57%
03-24-17,143.9,144.41,144.92,143.24,-0.45%
03-23-17,144.545,143.74,144.795,143.67,0.47%
03-22-17,143.87,144.47,145.19,143.66,-0.51%
03-21-17,144.61,143.39,144.78,143.33,0.76%
03-20-17,143.52,145.39,145.74,143.14,-1.33%
03-17-17,145.46,145.26,146.08,145.07,0.04%
03-16-17,145.395,145.19,146.115,144.86,0.04%
03-15-17,145.33,147.91,148.14,145.06,-1.84%
03-14-17,148.05,147.67,148.2,147.32,0.14%
03-13-17,147.85,147.8,148.49,147.16,-0.07%
03-10-17,147.955,149.28,149.655,147.74,-0.98%
03-09-17,149.415,148.56,149.545,148.33,0.45%
03-08-17,148.745,148.07,148.945,147.1,0.37%
03-07-17,148.2,148.64,149.17,147.48,-0.39%
03-06-17,148.775,148.29,149.335,148.26,0.23%
03-03-17,148.435,148.11,149.395,147.72,0.13%
03-02-17,148.24,146.75,148.47,146.69,0.93%
03-01-17,146.88,146.39,147.68,146.33,0.21%
02-28-17,146.575,146.06,146.635,144.74,0.26%
02-27-17,146.19,145.45,146.28,145.37,0.36%
02-24-17,145.665,145.88,146.245,145.22,-0.25%
02-23-17,146.025,146.57,147.245,145.39,-0.46%
02-22-17,146.7,147.13,147.65,146.48,-0.38%
02-21-17,147.26,147.44,148.15,146.96,-0.22%
02-20-17,147.58,148.1,148.38,147.39,-0.46%
02-17-17,148.265,147.04,148.515,146.98,0.74%
02-16-17,147.175,146.17,147.415,145.97,0.59%
02-15-17,146.305,146.64,147.695,145.9,-0.32%
02-14-17,146.77,148.04,148.39,146.08,-0.95%
02-13-17,148.175,147.65,148.905,147.59,0.26%
02-10-17,147.795,148.23,148.935,147.54,-0.38%
02-09-17,148.36,147.45,148.53,147.18,0.52%
02-08-17,147.59,147.24,148.16,147.06,0.15%
02-07-17,147.37,146.11,148.05,145.93,0.73%
02-06-17,146.295,146.58,147.075,145.67,-0.32%
02-03-17,146.76,147.31,148.15,146.04,-0.46%
02-02-17,147.44,148.55,148.88,146.48,-0.83%
02-01-17,148.68,148.3,149.43,148.08,0.17%
01-31-17,148.43,150.76,150.94,147.83,-1.63%
01-30-17,150.895,151.69,152.025,150.62,-0.68%
01-27-17,151.925,150.94,152.225,150.77,0.53%
01-26-17,151.12,149.75,151.21,148.91,0.83%
01-25-17,149.88,150.72,150.87,149.61,-0.65%
01-24-17,150.855,149.84,150.925,149.5,0.59%
01-23-17,149.97,151.36,151.58,149.78,-1.02%
01-20-17,151.515,151.36,151.905,150.51,0.01%
01-19-17,151.495,151.79,152.305,151.26,-0.28%
01-18-17,151.925,149.54,151.995,149.48,1.50%
01-17-17,149.675,152.45,153.205,149.45,-1.91%
01-16-17,152.59,151.32,152.87,151.32,0.71%
01-13-17,151.515,151.52,152.345,150.97,-0.09%
01-12-17,151.65,153.05,153.22,150.91,-1.00%
01-11-17,153.18,154.85,155.16,152.61,-1.16%
01-10-17,154.98,155.02,155.27,153.84,-0.11%
01-09-17,155.15,154.86,155.96,154.71,0.11%
01-06-17,154.985,152.27,155.035,152.06,1.66%
01-05-17,152.455,154.11,154.315,152.13,-1.16%
01-04-17,154.24,155.46,156.02,153.95,-0.87%
01-03-17,155.59,155.07,156.33,154.77,0.25%
01-02-17,155.205,155.45,156.095,154.98,-0.31%
12-30-16,155.685,155.43,155.835,154.69,0.08%
12-29-16,155.565,156.08,156.295,155.32,-0.42%
12-28-16,156.215,155.51,156.615,155.24,0.37%
12-27-16,155.645,154.52,155.865,154.49,0.59%
12-26-16,154.73,154.56,154.99,154.26,0.02%
12-23-16,154.7,155.14,155.39,154.49,-0.37%
12-22-16,155.275,153.7,155.595,153.62,0.94%
12-21-16,153.835,153.37,154.405,153.34,0.21%
12-20-16,153.51,152.79,154.06,152.77,0.35%
12-19-16,152.98,152.56,153.45,152.31,0.13%
12-16-16,152.785,152.35,153.155,152.08,0.20%
12-15-16,152.485,151.91,153.075,151.63,0.28%
12-14-16,152.055,149.99,152.215,149.83,1.29%
12-13-16,150.12,150.01,150.77,149.69,-0.01%
12-12-16,150.14,151.04,151.41,149.73,-0.67%
12-09-16,151.16,149.74,151.44,149.74,0.82%
12-08-16,149.935,149.2,150.385,149.01,0.40%
12-07-16,149.335,150.91,151.305,149.15,-1.14%
12-06-16,151.05,150.37,151.31,150.27,0.36%
12-05-16,150.505,150.32,151.725,150.25,-0.01%
12-02-16,150.515,150.42,151.535,150.04,-0.03%
12-01-16,150.555,151.66,152.105,150.29,-0.85%
11-30-16,151.845,150.41,152.065,150.23,0.86%
11-29-16,150.55,150.95,151.52,150.29,-0.35%
11-28-16,151.085,151.39,151.735,150.48,-0.33%
11-25-16,151.59,152.26,152.62,151.29,-0.53%
11-24-16,152.405,152.18,152.865,151.66,0.03%
11-23-16,152.365,150.73,152.905,150.54,0.99%
11-22-16,150.865,152.03,152.275,150.65,-0.85%
11-21-16,152.165,152.11,153.155,151.5,-0.07%
11-18-16,152.265,151.98,153.015,151.19,0.10%
11-17-16,152.115,150.77,152.275,150.5,0.80%
11-16-16,150.905,150.38,151.875,150.02,0.26%
11-15-16,150.51,150.52,151.25,149.89,-0.10%
11-14-16,150.66,150.02,151.72,150.02,0.28%
11-11-16,150.235,150.24,151.055,149.43,-0.10%
11-10-16,150.38,149.1,150.6,147.72,0.73%
11-09-16,149.29,145.44,149.43,145.4,2.55%
11-08-16,145.58,147.08,147.32,145.32,-1.11%
11-07-16,147.215,147.04,147.665,146.65,0.03%
11-04-16,147.17,147.44,147.94,146.74,-0.28%
11-03-16,147.58,147.51,147.85,146.43,-0.05%
11-02-16,147.65,147.63,148.69,147.12,-0.07%
11-01-16,147.76,147.21,148.08,146.76,0.28%
10-31-16,147.35,147.81,148.28,146.92,-0.40%
10-28-16,147.945,147.82,148.315,147.35,-0.01%
10-27-16,147.955,146.66,148.175,146.42,0.79%
10-26-16,146.8,145.57,146.87,145.39,0.75%
10-25-16,145.71,146.24,147.02,145.52,-0.46%
10-24-16,146.385,146.31,146.695,145.49,-0.05%
10-21-16,146.455,145.66,147.065,145.46,0.45%
10-20-16,145.795,144.29,145.965,144.07,0.95%
10-19-16,144.42,144.87,145.19,144.22,-0.40%
10-18-16,145.005,146.34,146.595,144.73,-1.01%
10-17-16,146.485,146.33,147.525,146.26,0.01%
10-14-16,146.47,145.49,146.62,145.37,0.57%
10-13-16,145.635,144.95,146.765,144.78,0.38%
10-12-16,145.09,144.86,145.59,144.41,0.06%
10-11-16,145.005,142.76,145.275,142.61,1.48%
10-10-16,142.895,143.67,144.005,142.62,-0.64%
10-07-16,143.815,143.64,144.215,143.01,0.02%
10-06-16,143.78,143.61,144.22,142.92,0.03%
10-05-16,143.74,143.81,144.12,143.15,-0.15%
10-04-16,143.95,142.22,144.12,141.98,1.12%
10-03-16,142.36,141.92,142.58,141.61,0.20%
09-30-16,142.07,142.04,142.74,141.43,-0.07%
09-29-16,142.175,140.73,142.525,140.64,0.90%
09-28-16,140.91,141.31,141.88,140.73,-0.38%
09-27-16,141.45,142.85,143.64,140.97,-1.08%
09-26-16,142.99,142.24,143.23,142.01,0.46%
09-23-16,142.335,142.12,142.825,141.61,0.05%
09-22-16,142.26,142.19,142.75,141.32,-0.05%
09-21-16,142.33,143.88,144.88,141.99,-1.17%
09-20-16,144.02,144.16,144.67,143.8,-0.19%
09-19-16,144.3,144.99,145.19,143.81,-0.58%
09-16-16,145.135,144.85,145.485,144.18,0.10%
09-15-16,144.99,145.07,146.21,144.56,-0.15%
09-14-16,145.21,145.28,145.62,144.6,-0.14%
09-13-16,145.415,142.64,145.675,142.6,1.85%
09-12-16,142.775,142.79,144.185,142.55,-0.11%
09-09-16,142.93,141.49,143.03,141.25,0.92%
09-08-16,141.63,140.5,141.69,140.21,0.71%
09-07-16,140.63,141.01,141.47,139.99,-0.36%
09-06-16,141.145,142.29,142.965,140.91,-0.90%
09-05-16,142.43,143.81,144.07,142.16,-1.06%
09-02-16,143.96,143.99,144.47,142.8,-0.11%
09-01-16,144.125,143.76,144.995,143.54,0.15%
08-31-16,143.905,144.27,144.605,143.43,-0.35%
08-30-16,144.41,144.27,144.61,143.41,0.00%
08-29-16,144.41,144.65,145.6,144.27,-0.21%
08-26-16,144.715,143.74,144.905,142.65,0.58%
08-25-16,143.875,144.49,145.045,143.63,-0.52%
08-24-16,144.625,144.39,145.155,144.1,0.07%
08-23-16,144.53,144.8,144.96,143.64,-0.28%
08-22-16,144.94,143.82,145.7,143.73,0.73%
08-19-16,143.885,142.78,144.925,142.69,0.68%
08-18-16,142.92,142.76,143.49,142.15,0.02%
08-17-16,142.895,141.19,143.985,141.01,1.11%
08-16-16,141.33,141.43,141.76,140.36,-0.17%
08-15-16,141.565,142.12,142.515,141.19,-0.50%
08-12-16,142.27,141.36,142.74,141.27,0.52%
08-11-16,141.54,141.17,142.39,140.91,0.13%
08-10-16,141.36,142.03,142.41,140.68,-0.60%
08-09-16,142.21,142.64,143.3,141.76,-0.40%
08-08-16,142.78,143.7,144.14,142.49,-0.72%
08-05-16,143.81,143.43,143.98,142.73,0.14%
08-04-16,143.615,143.83,144.045,143.23,-0.24%
08-03-16,143.965,143.11,144.415,143,0.50%
08-02-16,143.25,142.64,143.43,142.37,0.29%
08-01-16,142.83,143.19,143.8,142.01,-0.38%
07-29-16,143.375,144.86,145.245,143.08,-1.12%
07-28-16,144.995,145.76,145.905,144.7,-0.61%
07-27-16,145.89,146.49,146.69,145.74,-0.54%
07-26-16,146.68,147.1,147.55,146.15,-0.41%
07-25-16,147.285,146.35,147.515,146.15,0.55%
07-22-16,146.48,146.58,147.09,145.99,-0.16%
07-21-16,146.72,147.3,147.46,146.21,-0.46%
07-20-16,147.405,147.01,147.535,146.68,0.17%
07-19-16,147.155,146.22,147.415,146.14,0.51%
07-18-16,146.405,146.68,147.005,146.13,-0.29%
07-15-16,146.835,145.89,146.885,145.64,0.53%
07-14-16,146.065,147.59,148.115,145.61,-1.13%
07-13-16,147.73,147.23,148.1,147.03,0.21%
07-12-16,147.415,148.22,148.745,147.02,-0.64%
07-11-16,148.36,148.09,148.54,147.51,0.10%
