date,close,open,high,low,diff
04-25-17,1448.77 ,1449.93 ,1453.39 ,1437.37 ,-0.18%
04-24-17,1451.33 ,1456.35 ,1459.21 ,1441.01 ,-0.16%
04-21-17,1453.72 ,1456.41 ,1460.47 ,1447.52 ,-0.32%
04-20-17,1458.38 ,1460.02 ,1463.82 ,1450.83 ,-0.22%
04-19-17,1461.53 ,1465.41 ,1469.35 ,1457.68 ,-0.37%
04-18-17,1466.92 ,1421.92 ,1477.75 ,1420.13 ,3.04%
04-17-17,1423.58 ,1422.34 ,1431.37 ,1419.96 ,0.02%
04-14-17,1423.30 ,1419.24 ,1430.99 ,1418.11 ,0.18%
04-13-17,1420.74,1421.75,1430.8,1413.01,-0.17%
04-12-17,1423.23,1429.41,1436.71,1419.92,-0.55%
04-11-17,1431.07,1418.26,1436.21,1416.22,0.81%
04-10-17,1419.62,1407.38,1421.52,1404.99,0.83%
04-07-17,1407.97,1409.02,1421.61,1402.61,-0.19%
04-06-17,1410.67,1406.83,1417.77,1405.02,0.16%
04-05-17,1408.42,1398.26,1410.3,1394.96,0.63%
04-04-17,1399.67,1393.77,1404.05,1389.87,0.32%
04-03-17,1395.14,1400.24,1402.17,1391.22,-0.57%
03-31-17,1403.16,1393.08,1404.25,1388.9,0.59%
03-30-17,1394.89,1380.54,1399.56,1379.4,0.93%
03-29-17,1382.01,1388.46,1391.41,1378.36,-0.57%
03-28-17,1389.93,1393.99,1402.66,1384.78,-0.41%
03-27-17,1395.7,1393.45,1401.1,1391.65,0.14%
03-24-17,1393.7,1404.23,1405.8,1389.77,-0.85%
03-23-17,1405.65,1393.34,1406.59,1391.07,0.78%
03-22-17,1394.81,1399.96,1406.9,1389.59,-0.47%
03-21-17,1401.37,1375.85,1404.29,1375,1.75%
03-20-17,1377.32,1399.23,1401.22,1371.71,-1.57%
03-17-17,1399.33,1393.75,1404.07,1390.64,0.30%
03-16-17,1395.21,1385.95,1396.27,1381.12,0.57%
03-15-17,1387.3,1396.23,1402.94,1383.69,-0.74%
03-14-17,1397.67,1400.79,1405.02,1390.13,-0.36%
03-13-17,1402.73,1395.75,1406.26,1393.27,0.32%
03-10-17,1398.28,1410.15,1413.32,1395.05,-0.93%
03-09-17,1411.43,1403.93,1414.16,1401.71,0.40%
03-08-17,1405.87,1402.48,1408.23,1394.03,0.15%
03-07-17,1403.82,1412.1,1417.89,1398.42,-0.69%
03-06-17,1413.51,1415.42,1424.58,1410.48,-0.23%
03-03-17,1416.77,1410,1421.86,1407.65,0.38%
03-02-17,1411.46,1400.46,1412.89,1397.71,0.68%
03-01-17,1401.92,1406.85,1418.58,1397.58,-0.48%
02-28-17,1408.64,1410.26,1413.62,1396.13,-0.22%
02-27-17,1411.74,1407.29,1412.39,1399.15,0.16%
02-24-17,1409.45,1421.11,1424.15,1406.2,-0.92%
02-23-17,1422.6,1415.03,1423.32,1411.36,0.36%
02-22-17,1417.52,1424.17,1430.77,1414.8,-0.55%
02-21-17,1425.42,1425.89,1433.69,1419.84,-0.13%
02-20-17,1427.26,1426.4,1432.31,1420.53,-0.10%
02-17-17,1428.63,1424.75,1435.68,1422.67,0.18%
02-16-17,1426.12,1413.07,1429.38,1411.62,0.82%
02-15-17,1414.49,1418.61,1427.27,1409.18,-0.40%
02-14-17,1420.14,1438.64,1442.64,1413.46,-1.37%
02-13-17,1439.89,1428.89,1444.04,1428.31,0.53%
02-10-17,1432.27,1436.83,1445.01,1427.02,-0.42%
02-09-17,1438.37,1434.5,1441.68,1428.64,0.16%
02-08-17,1436.1,1429.13,1438.68,1426.07,0.40%
02-07-17,1430.33,1413.47,1431.98,1410.83,1.06%
02-06-17,1415.28,1420.66,1424.52,1408.67,-0.45%
02-03-17,1421.72,1431.15,1439.29,1416.45,-0.81%
02-02-17,1433.33,1458.99,1464.78,1427.08,-1.84%
02-01-17,1460.26,1447.24,1465.52,1445.35,0.80%
01-31-17,1448.66,1460.03,1464.74,1438.28,-0.90%
01-30-17,1461.76,1476.89,1485.46,1457.53,-1.23%
01-27-17,1480.01,1473.81,1482.18,1465.72,0.24%
01-26-17,1476.46,1467.23,1478.02,1460.11,0.51%
01-25-17,1469.02,1463.88,1473.73,1453.93,0.26%
01-24-17,1465.19,1456.39,1465.38,1446.03,0.48%
01-23-17,1458.17,1450.69,1459.65,1443.87,0.25%
01-20-17,1454.55,1449.06,1456.18,1440.9,0.29%
01-19-17,1450.41,1443.1,1455.39,1440.48,0.40%
01-18-17,1444.57,1439.7,1447.5,1432.87,0.25%
01-17-17,1441.01,1423.69,1444.74,1411.6,1.07%
01-16-17,1425.79,1415.11,1432.31,1406.08,-0.36%
01-13-17,1430.97,1428.34,1441.81,1424.01,0.07%
01-12-17,1429.91,1449.29,1451.92,1424.41,-1.43%
01-11-17,1450.63,1462.08,1464.43,1445.26,-0.87%
01-10-17,1463.42,1462.06,1465.55,1447.78,-0.01%
01-09-17,1463.58,1472.52,1479.5,1457.36,-0.90%
01-06-17,1476.9,1464.89,1480.92,1463.39,0.59%
01-05-17,1468.17,1472.54,1475.51,1453.53,-0.39%
01-04-17,1473.9,1475.55,1481.52,1467.34,-0.21%
01-03-17,1477.02,1476.6,1490.89,1474,-0.06%
01-02-17,1477.88,1488.3,1494.65,1474.97,-0.78%
12-30-16,1489.57,1477.45,1491.99,1472.09,0.69%
12-29-16,1479.4,1479.88,1484.42,1473.06,-0.15%
12-28-16,1481.65,1480.58,1489.48,1476.42,-0.02%
12-27-16,1481.93,1473.71,1485.37,1470.52,0.41%
12-26-16,1475.85,1470.67,1479.29,1468.13,0.02%
12-23-16,1475.54,1478.7,1482.62,1469.15,-0.33%
12-22-16,1480.36,1473.83,1489.92,1472.26,0.34%
12-21-16,1475.31,1473.41,1481.16,1470.79,0.08%
12-20-16,1474.06,1471.26,1480.33,1468.01,0.05%
12-19-16,1473.3,1480.05,1487.93,1466.67,-0.65%
12-16-16,1482.87,1467.94,1488.2,1462.79,0.90%
12-15-16,1469.66,1480.47,1487.99,1467.23,-0.85%
12-14-16,1482.26,1472.27,1486.72,1470.62,0.58%
12-13-16,1473.77,1475.14,1487.23,1471.48,-0.18%
12-12-16,1476.42,1473.08,1480.31,1466.94,0.09%
12-09-16,1475.09,1461.47,1478.88,1460.13,0.79%
12-08-16,1463.48,1460.47,1474.98,1458.96,0.08%
12-07-16,1462.32,1483.65,1486.93,1455.94,-1.55%
12-06-16,1485.27,1484.74,1496.72,1480.34,-0.06%
12-05-16,1486.19,1483.6,1495.16,1471.7,0.02%
12-02-16,1485.82,1468.45,1487.92,1463.06,1.06%
12-01-16,1470.18,1470.96,1483.16,1460.3,-0.19%
11-30-16,1472.95,1457.04,1475.3,1453.59,0.99%
11-29-16,1458.53,1453.43,1466.98,1445.11,0.24%
11-28-16,1454.97,1464.1,1467.64,1450.42,-0.82%
11-25-16,1466.95,1470.28,1472.91,1458.28,-0.35%
11-24-16,1472.06,1468.29,1475.28,1463.61,0.13%
11-23-16,1470.11,1452.1,1475.54,1449.8,1.13%
11-22-16,1453.7,1472.81,1476.24,1449.96,-1.41%
11-21-16,1474.48,1456.59,1475.14,1449.69,1.12%
11-18-16,1458.1,1463.74,1473.93,1446.39,-0.48%
11-17-16,1465.16,1454.98,1470.46,1451.08,0.59%
11-16-16,1456.63,1452.8,1465.58,1450.65,0.15%
11-15-16,1454.45,1458.14,1466.39,1443.15,-0.39%
11-14-16,1460.15,1465.58,1473.96,1456.62,-0.59%
11-11-16,1468.8,1463.03,1481.54,1455.77,0.30%
11-10-16,1464.41,1434.51,1468.18,1421.69,1.94%
11-09-16,1436.48,1396.04,1452.79,1393.63,2.80%
11-08-16,1397.29,1413.97,1417.15,1393.77,-1.28%
11-07-16,1415.44,1426.82,1429.88,1412.89,-0.94%
11-04-16,1428.93,1424.76,1437.37,1420.98,0.20%
11-03-16,1426.13,1406.84,1430.22,1399.68,1.23%
11-02-16,1408.76,1401.41,1412.66,1399.84,0.42%
11-01-16,1402.87,1397.71,1406.51,1391.37,0.27%
10-31-16,1399.16,1395.86,1402.37,1388.85,0.08%
10-28-16,1398.01,1394.15,1403.43,1385.38,0.18%
10-27-16,1395.55,1393.29,1403.93,1388.05,0.07%
10-26-16,1394.52,1376.08,1394.92,1372.74,1.23%
10-25-16,1377.53,1388.17,1393.57,1366.81,-0.89%
10-24-16,1389.86,1387.18,1391.16,1378.65,-0.03%
10-21-16,1390.28,1384.41,1393.51,1382.18,0.32%
10-20-16,1385.87,1374.67,1387.68,1372.3,0.67%
10-19-16,1376.63,1381.78,1385.62,1371.48,-0.50%
10-18-16,1383.58,1383.21,1390.56,1375.64,-0.08%
10-17-16,1384.72,1383.61,1392.84,1378.27,-0.02%
10-14-16,1384.95,1382.76,1390.06,1375.89,0.04%
10-13-16,1384.45,1372.35,1390.43,1368.19,0.76%
10-12-16,1373.97,1361.94,1385.61,1360.16,0.75%
10-11-16,1363.77,1368.81,1385.87,1360.13,-0.50%
10-10-16,1370.61,1385.52,1389.94,1367.43,-1.21%
10-07-16,1387.33,1405.64,1408.5,1317.35,-1.39%
10-06-16,1406.91,1420.14,1422.16,1403.75,-1.02%
10-05-16,1421.47,1419.67,1424.65,1412.07,0.02%
10-04-16,1421.18,1416.53,1425.07,1409.01,0.22%
10-03-16,1417.99,1424.22,1428.14,1411.91,-0.83%
09-30-16,1429.89,1428.54,1434.57,1421.38,-0.02%
09-29-16,1430.12,1420.53,1435.05,1419.6,0.54%
09-28-16,1422.45,1426.9,1431.25,1419.85,-0.42%
09-27-16,1428.43,1437.51,1443.51,1418.28,-0.73%
09-26-16,1438.87,1429.17,1442.21,1428,0.46%
09-23-16,1432.29,1441.08,1447.22,1420.23,-0.74%
09-22-16,1442.95,1436.44,1446.05,1433.42,0.35%
09-21-16,1437.97,1449.71,1457.54,1434.55,-0.90%
09-20-16,1451.07,1456.78,1463.67,1445.97,-0.52%
09-19-16,1458.59,1461.78,1467.13,1455.22,-0.37%
09-16-16,1464.04,1487.69,1492.92,1461.79,-1.68%
09-15-16,1489.13,1489.47,1499.28,1480.8,-0.13%
09-14-16,1491.03,1487.05,1491.84,1478.95,0.17%
09-13-16,1488.55,1475.52,1494.01,1474.56,0.75%
09-12-16,1477.41,1469.74,1485.47,1467.63,0.44%
09-09-16,1470.95,1458.97,1473.75,1458.53,0.70%
09-08-16,1460.74,1453.66,1462.95,1448.99,0.39%
09-07-16,1455.11,1469.51,1472.12,1450.5,-1.09%
09-06-16,1471.13,1467.72,1485.27,1466.65,0.11%
09-05-16,1469.56,1482.99,1485.97,1465.45,-0.98%
09-02-16,1484.11,1482.04,1489.18,1475.02,0.04%
09-01-16,1483.49,1465.16,1494.36,1462.67,1.15%
08-31-16,1466.59,1463.95,1468,1458.37,0.08%
08-30-16,1465.49,1466.22,1468.62,1456.29,-0.15%
08-29-16,1467.64,1473.54,1481.17,1464.37,-0.47%
08-26-16,1474.53,1470.32,1476.84,1459.05,0.18%
08-25-16,1471.87,1482.39,1488.97,1466.61,-0.81%
08-24-16,1483.93,1476.84,1489.68,1471.97,0.34%
08-23-16,1478.95,1474.93,1479.49,1464.42,0.17%
08-22-16,1476.47,1456.29,1477.53,1453.45,1.22%
08-19-16,1458.66,1457.65,1474.24,1454.01,-0.04%
08-18-16,1459.2,1443.51,1463.78,1438.29,0.97%
08-17-16,1445.21,1428.12,1455.27,1424.53,1.09%
08-16-16,1429.65,1412.71,1430.06,1404.61,1.10%
08-15-16,1414.12,1424.26,1430.11,1409.15,-0.84%
08-12-16,1426.05,1420.39,1440.09,1419.28,0.27%
08-11-16,1422.26,1424.6,1436.97,1419.33,-0.30%
08-10-16,1426.59,1432.2,1441.82,1422.42,-0.53%
08-09-16,1434.24,1442.72,1447.63,1426.78,-0.69%
08-08-16,1444.19,1455.05,1462.39,1440.8,-0.94%
08-05-16,1457.94,1457.83,1463.03,1447.76,-0.15%
08-04-16,1460.11,1487.18,1489.89,1456.05,-1.92%
08-03-16,1488.74,1483.41,1495.7,1478.03,0.25%
08-02-16,1485.02,1458.37,1486.69,1457.18,1.66%
08-01-16,1460.71,1469.6,1478.01,1453.65,-0.70%
07-29-16,1471.06,1478.99,1485.84,1463.52,-0.64%
07-28-16,1480.53,1494.69,1497.63,1476.25,-1.04%
07-27-16,1496.12,1491.74,1499.32,1482.65,0.14%
07-26-16,1494.1,1499.39,1504.27,1482.67,-0.48%
07-25-16,1501.29,1488.69,1502.8,1487.97,0.77%
07-22-16,1489.8,1504.49,1511.3,1482.8,-1.08%
07-21-16,1505.99,1508.83,1517.18,1493.27,-0.28%
07-20-16,1510.23,1494.92,1511.78,1487.97,0.93%
07-19-16,1496.35,1502.97,1511.56,1490.47,-0.57%
07-18-16,1504.93,1497.81,1513.64,1497.24,0.19%
07-15-16,1502.09,1508.78,1525.16,1491.69,-0.60%
07-14-16,1511.1,1504.93,1529,1494.62,0.31%
07-13-16,1506.47,1512.62,1528.8,1502.45,-0.53%
07-12-16,1514.53,1494.17,1524.71,1489.92,1.27%
07-11-16,1495.59,1487.78,1497.32,1475.05,0.40%
07-08-16,1489.68,1493.66,1508.01,1483.49,-0.37%
07-07-16,1495.24,1497.76,1507.84,1488.27,-0.27%
07-06-16,1499.28,1507.9,1513.93,1490.32,-0.67%
07-05-16,1509.43,1529.28,1533.38,1503.6,-1.43%
07-04-16,1531.37,1522.08,1532.74,1518.08,0.41%
07-01-16,1525.13,1531.85,1538.91,1517.97,-0.57%
06-30-16,1533.88,1548.22,1558.75,1521.65,-1.03%
06-29-16,1549.79,1555.54,1565.11,1540.9,-0.47%
06-28-16,1557.11,1558.65,1568.63,1550.23,-0.29%
06-27-16,1561.57,1588.57,1592.02,1551.23,-2.60%
06-24-16,1603.23,1697.21,1714.28,1556.94,-5.63%
06-23-16,1698.81,1688.32,1713.21,1687.86,0.50%
06-22-16,1690.3,1687.38,1701.49,1681.54,0.03%
06-21-16,1689.71,1702.43,1707.59,1683.81,-0.89%
