date,close,open,high,low,diff
04-25-17,163.88 ,164.60 ,165.25 ,163.17 ,-0.53%
04-24-17,164.76 ,164.61 ,165.56 ,163.39 ,-0.01%
04-21-17,164.77 ,165.17 ,165.75 ,164.45 ,-0.36%
04-20-17,165.37 ,165.85 ,166.28 ,164.80 ,-0.40%
04-19-17,166.04 ,165.79 ,166.28 ,165.09 ,0.01%
04-18-17,166.03 ,164.43 ,166.93 ,164.35 ,0.85%
04-17-17,164.63 ,164.84 ,165.60 ,164.19 ,-0.25%
04-14-17,165.05 ,164.69 ,165.90 ,164.56 ,0.08%
04-13-17,164.92,164.48,165.66,163.55,0.14%
04-12-17,164.69,166.02,166.88,164.42,-0.92%
04-11-17,166.22,165.4,166.85,165.07,0.34%
04-10-17,165.65,164.7,165.84,164.56,0.45%
04-07-17,164.91,163.81,165.4,163.69,0.55%
04-06-17,164.01,163.43,164.57,163.21,0.23%
04-05-17,163.64,163.12,163.8,162.71,0.17%
04-04-17,163.36,161.99,163.67,161.92,0.70%
04-03-17,162.23,161.94,162.56,161.26,-0.03%
03-31-17,162.28,162.16,162.87,161.83,-0.06%
03-30-17,162.37,161.12,162.56,160.94,0.66%
03-29-17,161.31,162.06,162.38,161.02,-0.59%
03-28-17,162.26,161.45,162.38,161.24,0.35%
03-27-17,161.69,162.06,162.44,160.77,-0.40%
03-24-17,162.34,162.85,163.38,161.53,-0.42%
03-23-17,163.03,162.08,163.31,162.01,0.43%
03-22-17,162.33,162.83,163.72,161.98,-0.45%
03-21-17,163.07,161.1,163.25,161.04,1.08%
03-20-17,161.32,163.32,163.9,160.82,-1.36%
03-17-17,163.54,163.43,164.38,163.16,-0.07%
03-16-17,163.65,163.04,164.66,162.93,0.26%
03-15-17,163.22,166.11,166.42,162.89,-1.85%
03-14-17,166.3,165.75,166.5,165.4,0.16%
03-13-17,166.03,166,166.88,165.39,-0.14%
03-10-17,166.26,167.64,168.18,165.92,-0.95%
03-09-17,167.85,166.85,168.12,166.61,0.45%
03-08-17,167.1,166.5,167.35,165.54,0.23%
03-07-17,166.71,167.29,167.93,165.98,-0.46%
03-06-17,167.48,166.9,168.16,166.88,0.25%
03-03-17,167.07,166.79,168.03,166.36,0.04%
03-02-17,167.01,165.48,167.28,165.42,0.80%
03-01-17,165.69,165.44,166.71,165.1,0.01%
02-28-17,165.68,164.93,165.74,163.58,0.33%
02-27-17,165.14,164.32,165.3,164.15,0.34%
02-24-17,164.58,164.78,165.29,164.02,-0.27%
02-23-17,165.03,165.36,166.21,164.22,-0.30%
02-22-17,165.53,165.8,166.59,165.21,-0.30%
02-21-17,166.02,166.31,167.17,165.61,-0.29%
02-20-17,166.51,167.36,167.71,166.24,-0.64%
02-17-17,167.59,166.43,167.87,166.36,0.58%
02-16-17,166.62,165.01,166.78,164.79,0.85%
02-15-17,165.22,165.63,166.88,164.71,-0.37%
02-14-17,165.84,166.83,167.29,165.12,-0.74%
02-13-17,167.07,166.52,167.93,166.46,0.23%
02-10-17,166.69,167.35,168.16,166.39,-0.53%
02-09-17,167.57,166.44,167.75,166.22,0.56%
02-08-17,166.64,165.89,167.08,165.77,0.33%
02-07-17,166.09,165.1,167,164.9,0.43%
02-06-17,165.38,165.45,166.19,164.6,-0.21%
02-03-17,165.73,165.99,167.4,164.84,-0.31%
02-02-17,166.25,167.33,167.87,165.05,-0.84%
02-01-17,167.66,167.1,168.47,166.83,0.19%
01-31-17,167.35,169.86,170.17,166.56,-1.63%
01-30-17,170.12,170.97,171.38,169.69,-0.69%
01-27-17,171.3,170.04,171.61,169.85,0.55%
01-26-17,170.37,168.7,170.47,167.85,0.86%
01-25-17,168.91,170.33,170.6,168.56,-1.00%
01-24-17,170.62,169.51,170.69,169.15,0.53%
01-23-17,169.72,170.69,170.99,169.44,-0.71%
01-20-17,170.94,170.8,171.51,169.85,-0.05%
01-19-17,171.03,172.08,172.61,170.73,-0.74%
01-18-17,172.3,169.14,172.38,169.08,1.74%
01-17-17,169.35,171.28,172.17,169.04,-1.24%
01-16-17,171.48,170.09,171.8,170.09,0.70%
01-13-17,170.28,170.43,171.41,169.81,-0.21%
01-12-17,170.63,171.04,171.62,169.76,-0.34%
01-11-17,171.22,173.4,173.68,170.56,-1.39%
01-10-17,173.63,173.25,173.84,172.26,0.10%
01-09-17,173.46,173.46,174.5,172.92,-0.13%
01-06-17,173.68,171.32,173.73,171.07,1.22%
01-05-17,171.58,172.26,173.11,171.15,-0.52%
01-04-17,172.48,173.14,174.06,172.08,-0.51%
01-03-17,173.37,173.16,174.67,172.6,0.01%
01-02-17,173.35,173.58,174.32,173.05,-0.28%
12-30-16,173.84,173.26,173.97,172.62,0.22%
12-29-16,173.45,173.91,174.17,173.15,-0.40%
12-28-16,174.15,173.47,174.6,173.18,0.26%
12-27-16,173.7,172.57,174,172.51,0.50%
12-26-16,172.84,172.58,173.09,172.19,0.02%
12-23-16,172.81,173.21,173.65,172.51,-0.35%
12-22-16,173.41,171.8,173.78,171.71,0.81%
12-21-16,172.02,171.3,172.45,171.23,0.29%
12-20-16,171.53,170.57,172.18,170.55,0.39%
12-19-16,170.86,170.24,171.45,170.01,0.23%
12-16-16,170.47,170.19,170.88,169.87,0.04%
12-15-16,170.41,170.64,171.47,169.56,-0.26%
12-14-16,170.85,168.47,171.02,168.31,1.28%
12-13-16,168.69,168.43,169.51,168.09,0.04%
12-12-16,168.63,169.57,170.06,168.13,-0.69%
12-09-16,169.8,168.74,170.11,168.55,0.47%
12-08-16,169.01,168.13,169.54,168,0.40%
12-07-16,168.34,170.01,170.49,168.08,-1.11%
12-06-16,170.23,169.39,170.95,169.28,0.36%
12-05-16,169.62,170.06,170.87,169.25,0.06%
12-02-16,169.51,169.34,170.77,168.9,-0.04%
12-01-16,169.57,170.74,171.31,169.15,-0.85%
11-30-16,171.02,169.09,171.26,168.87,1.00%
11-29-16,169.32,169.4,170.36,168.65,-0.18%
11-28-16,169.62,169.7,170.34,168.97,-0.17%
11-25-16,169.91,170.61,171.03,169.65,-0.54%
11-24-16,170.84,170.57,171.4,169.92,0.03%
11-23-16,170.79,169.63,171.4,169.42,0.57%
11-22-16,169.82,171.05,171.37,169.54,-0.82%
11-21-16,171.22,171.27,172.21,170.45,-0.13%
11-18-16,171.45,171.33,172.31,170.28,-0.06%
11-17-16,171.56,169.92,171.78,169.6,0.83%
11-16-16,170.15,170,171.32,169.49,-0.05%
11-15-16,170.23,170.52,171.11,169.6,-0.29%
11-14-16,170.72,170.83,172.3,170.38,-0.22%
11-11-16,171.09,171.25,172.16,170.14,-0.23%
11-10-16,171.48,170.5,171.73,168.69,0.41%
11-09-16,170.78,166.1,171.43,166.05,2.68%
11-08-16,166.33,168.26,168.62,165.97,-1.27%
11-07-16,168.47,168.72,169.19,168.16,-0.28%
11-04-16,168.94,168.95,169.78,168.38,-0.15%
11-03-16,169.19,169.25,169.69,167.99,-0.17%
11-02-16,169.47,169.11,170.51,168.73,0.08%
11-01-16,169.34,168.44,169.71,167.97,0.41%
10-31-16,168.65,169.02,169.74,168.31,-0.35%
10-28-16,169.25,168.88,169.63,168.49,0.08%
10-27-16,169.11,168.02,169.35,167.69,0.55%
10-26-16,168.18,166.45,168.25,166.24,0.90%
10-25-16,166.68,167.4,168.34,166.38,-0.56%
10-24-16,167.62,167.72,168.26,166.66,-0.17%
10-21-16,167.91,167.51,168.63,167.28,0.13%
10-20-16,167.69,166.1,167.91,165.86,0.85%
10-19-16,166.27,166.74,167.15,166.04,-0.38%
10-18-16,166.91,168.48,168.79,166.63,-1.06%
10-17-16,168.69,168.74,170.04,168.38,-0.12%
10-14-16,168.89,167.71,169.16,167.56,0.57%
