2016-02-20	1	5	9	3.5                                                                                                                                                                                                                                                                                                              
2016-02-20	2	5	6	3.2                                                                                                                                                                                                                                                                                                              
2016-02-20	3	3	2	15.9                                                                                                                                                                                                                                                                                                              
2016-02-20	4	11	9	47.5                                                                                                                                                                                                                                                                                                              
2016-02-20	5	10	1	13.0                                                                                                                                                                                                                                                                                                              
2016-02-20	6	12	13	24.7                                                                                                                                                                                                                                                                                                              
2016-02-20	7	1	13	24.5                                                                                                                                                                                                                                                                                                              
2016-02-20	8	1	5	212.4                                                                                                                                                                                                                                                                                                              
2016-02-20	9	9	7	98.1                                                                                                                                                                                                                                                                                                              
2016-02-20	10	6	8	36.2                                                                                                                                                                                                                                                                                                              
2016-02-20	11	11	3	8.7                                                                                                                                                                                                                                                                                                              
2016-02-20	12	8	5	9.1                                                                                                                                                                                                                                                                                                              
