Date,Open,High,Low,Close,Volume
2017-05-04,226000,230500,226000,228500,157153
2017-05-02,222000,230500,222000,230000,296722
2017-04-28,222500,225000,221500,222000,173345
2017-04-27,228500,229000,223500,227000,264899
2017-04-26,229500,232500,227000,230000,297765
2017-04-25,224000,231000,224000,229000,372406
2017-04-24,222500,225500,220500,225500,167569
2017-04-21,222000,224000,220500,221500,165128
2017-04-20,215000,221500,215000,220500,236955
2017-04-19,217500,218500,212000,215000,360168
2017-04-18,221000,222000,217500,219000,182672
2017-04-17,222000,223000,219500,220500,152355
2017-04-14,222500,224500,222500,223000,78932
2017-04-13,224500,225000,220000,222000,283988
2017-04-12,220000,222000,219500,222000,161886
2017-04-11,222500,223500,216500,218500,290805
2017-04-10,224000,225000,221000,222000,143682
2017-04-07,225500,228000,223000,224000,212451
2017-04-06,228500,229000,223500,224000,310631
2017-04-05,235000,235500,227500,229000,353692
2017-04-04,237500,238000,233500,235500,265665
2017-04-03,242000,242500,237000,239500,209260
2017-03-31,237000,240500,236500,240500,263714
2017-03-30,234500,238000,234000,235000,176049
2017-03-29,243000,243000,235000,236000,408757
2017-03-28,243500,244000,241500,243000,184440
2017-03-27,245000,245500,241000,243000,279299
2017-03-24,251500,254000,244500,247500,287078
2017-03-23,256000,256500,251000,253000,263343
2017-03-22,255500,258000,251000,255500,301058
2017-03-21,243000,258000,243000,253500,513624
2017-03-20,242000,246000,241000,246000,126181
2017-03-17,243500,244000,240500,242500,176445
2017-03-16,245000,245500,240500,242500,169267
2017-03-15,245000,245500,241500,242500,177687
2017-03-14,243000,247000,242500,246000,227353
2017-03-13,245500,245500,241500,242500,130418
2017-03-10,243500,245500,242000,244000,156261
2017-03-09,239000,243500,239000,243500,255710
2017-03-08,242500,244000,239500,240500,159672
2017-03-07,241000,244000,238500,244000,144100
2017-03-06,241000,241500,235500,241500,199465
2017-03-03,248500,250000,240500,241500,313114
2017-03-02,258000,258000,247000,250500,344344
2017-02-28,257000,259000,253000,255000,195667
2017-02-27,260000,261500,257500,259000,94352
2017-02-24,256000,260500,255500,259500,156160
2017-02-23,259000,261500,254500,258000,275650
2017-02-22,259500,261000,257500,259500,168293
2017-02-21,262000,262500,258000,260000,139231
2017-02-20,258000,261000,255500,261000,149128
2017-02-17,253000,260000,251000,259500,230817
2017-02-16,253000,255000,251000,254500,242657
2017-02-15,249000,255000,247000,251000,288609
2017-02-14,244500,248000,243000,248000,194504
2017-02-13,244500,245000,242000,243000,147528
2017-02-10,241000,244500,240000,241000,155073
2017-02-09,242500,243000,239500,239500,173392
2017-02-08,242500,243500,239000,242000,230090
2017-02-07,242000,244500,241500,243500,112295
2017-02-06,246000,246500,239500,241000,126175
2017-02-03,241500,246500,241500,242500,140744
2017-02-02,244500,246500,240000,241000,281557
2017-02-01,244000,247500,243000,245000,341385
2017-01-31,253500,257000,242000,242000,804850
2017-01-26,263000,267500,262000,266000,198431
2017-01-25,272000,272000,263000,265000,231294
2017-01-24,271500,273000,267500,272000,129273
2017-01-23,276000,282000,271500,272500,129837
2017-01-20,277500,280500,275000,278500,76705
2017-01-19,280000,282000,274000,277000,115310
2017-01-18,279500,283500,277000,282500,95983
2017-01-17,281000,282500,278500,280000,101445
2017-01-16,279500,282000,274000,279500,118373
2017-01-13,278500,282500,275500,279500,108440
2017-01-12,275000,280500,274000,279000,117881
2017-01-11,273500,278000,271500,274500,128398
2017-01-10,271500,277000,270500,276500,95594
2017-01-09,272500,277000,272000,275000,121474
2017-01-06,277000,279000,272000,272500,101216
2017-01-05,272500,281000,272500,280500,121419
2017-01-04,273500,280500,273000,276000,206374
2017-01-03,271500,277000,269500,275500,152374
2017-01-02,264000,274000,261500,271500,123559
2016-12-29,258000,264000,258000,264000,148210
2016-12-28,261500,264000,258500,259000,195727
2016-12-27,264000,267500,264000,267500,77141
2016-12-26,266500,270000,264000,264000,70909
2016-12-23,269000,269500,265500,266500,101957
2016-12-22,263000,270500,262000,267000,177281
2016-12-21,261500,266000,260500,265000,146612
2016-12-20,257000,261000,257000,259000,80213
2016-12-19,257000,261500,256500,257500,88703
2016-12-16,261500,263000,255000,258000,186340
2016-12-15,262000,265500,260000,263500,107237
2016-12-14,262500,266000,262000,264500,102692
2016-12-13,264000,264500,260000,262000,85838
2016-12-12,263500,264000,259500,261500,95082
2016-12-09,262000,264000,258500,259000,168566
2016-12-08,254000,260500,252000,260500,232905
2016-12-07,253500,256000,250500,250500,122158
