Date,Open,High,Low,Close,Volume
2017-05-04,150500,153000,149500,152000,552140
2017-05-02,143000,152000,143000,151000,880399
2017-04-28,144000,146000,142500,144000,678238
2017-04-27,150000,151000,146500,147000,734501
2017-04-26,145000,152000,144500,151000,1282296
2017-04-25,142500,146500,142000,144500,652769
2017-04-24,141000,141500,139500,141500,358360
2017-04-21,142000,143000,141000,141500,453632
2017-04-20,137000,142000,137000,141500,594703
2017-04-19,140000,140500,136500,137000,1024424
2017-04-18,144500,144500,141000,141000,508335
2017-04-17,142500,144000,141000,144000,339866
2017-04-14,141500,143000,141000,142500,233041
2017-04-13,143000,144500,141000,142500,530766
2017-04-12,143000,144500,141500,141500,463822
2017-04-11,145000,145000,142500,142500,456966
2017-04-10,145000,147500,144500,146000,346394
2017-04-07,148000,149500,144000,144500,795886
2017-04-06,149500,150000,147500,148000,478493
2017-04-05,152500,152500,147000,150000,714472
2017-04-04,154000,155000,150000,152000,691797
2017-04-03,156500,157000,153000,156500,567772
2017-03-31,159500,160500,156000,157500,507878
2017-03-30,156500,160000,156500,158500,513125
2017-03-29,159500,160500,155500,156000,592053
2017-03-28,162000,163000,158500,160000,524800
2017-03-27,162000,163000,159000,162000,554969
2017-03-24,164000,167000,162000,164000,616848
2017-03-23,168500,169000,165000,165000,748597
2017-03-22,167500,170500,165500,170000,1088050
2017-03-21,158000,171000,157500,170000,2055756
2017-03-20,152500,157000,151500,156500,752799
2017-03-17,152500,152500,150000,151500,383526
2017-03-16,151500,152500,149000,151500,495220
2017-03-15,148500,149500,147500,149500,415548
2017-03-14,147000,149500,146500,149000,402648
2017-03-13,145500,147000,145000,146000,236225
2017-03-10,145000,146500,143500,146000,406457
2017-03-09,144500,145500,143500,145000,501071
2017-03-08,144000,144500,141500,144500,429988
2017-03-07,143000,146000,143000,144000,341305
2017-03-06,141500,145000,140000,145000,567975
2017-03-03,147000,148000,141000,142000,772457
2017-03-02,149000,150500,148500,148500,653894
2017-02-28,148500,150000,146500,149500,453743
2017-02-27,148500,149000,146500,148500,181737
2017-02-24,147000,148500,146500,148000,235421
2017-02-23,150500,150500,145000,146000,748729
2017-02-22,150000,151000,147000,149500,423806
2017-02-21,150000,151500,149000,151000,324586
2017-02-20,149500,151000,149500,150000,239406
2017-02-17,149500,151000,148000,150500,482779
2017-02-16,146500,151500,146500,150500,984584
2017-02-15,141500,146500,141500,145500,681371
2017-02-14,140000,140500,139500,140000,292784
2017-02-13,141500,141500,139000,139500,319437
2017-02-10,141000,141500,139000,141000,329547
2017-02-09,139500,141000,137500,140000,512582
2017-02-08,138500,139500,137000,139000,413016
2017-02-07,138000,140000,137500,139000,393417
2017-02-06,139000,139500,136000,136500,293071
2017-02-03,136500,139000,136000,137500,449497
2017-02-02,140000,140000,135500,136000,587790
2017-02-01,140000,141000,139000,139500,395880
2017-01-31,141500,142500,139000,139500,571540
2017-01-26,143500,143500,139500,142500,629876
2017-01-25,146500,147500,141500,142000,735330
2017-01-24,149500,149500,145500,146500,429336
2017-01-23,151500,152000,148500,149000,405455
2017-01-20,150500,153500,150000,153000,309944
2017-01-19,153000,153500,151000,152000,248668
2017-01-18,153000,155500,151000,154000,394532
2017-01-17,150000,154000,149500,153500,466900
2017-01-16,148500,151000,148500,150500,316035
2017-01-13,149000,150000,148500,149000,291371
2017-01-12,148000,151000,147500,148000,431494
2017-01-11,150500,150500,147500,148500,596520
2017-01-10,150500,153000,150500,152000,383517
2017-01-09,151000,151500,149500,150500,281551
2017-01-06,152000,153000,149500,151000,339962
2017-01-05,154000,154500,152000,153500,364561
2017-01-04,152500,155000,152000,154000,544183
2017-01-03,151000,154000,150000,153000,701543
2017-01-02,146000,150500,145500,150000,529452
2016-12-29,142500,146000,142000,146000,380574
2016-12-28,142500,144000,141500,143500,290947
2016-12-27,144500,145000,144000,144500,290497
2016-12-26,143500,145000,143500,144500,197701
2016-12-23,143000,144000,142000,144000,334619
2016-12-22,143000,143000,141000,142000,313088
2016-12-21,144500,144500,142500,143500,295712
2016-12-20,141500,144000,141500,143500,353491
2016-12-19,140000,142500,139500,142000,293406
2016-12-16,141000,142000,139000,139500,522932
2016-12-15,142000,143000,141000,142000,282148
2016-12-14,144500,145000,142000,143500,260630
2016-12-13,144500,145000,142500,145000,283577
2016-12-12,146000,148000,143500,144500,377312
2016-12-09,142000,145000,141000,144000,641081
2016-12-08,138500,142000,138000,142000,878157
2016-12-07,138000,138000,136500,136500,278870
2016-12-06,135500,137000,135000,136500,374450
2016-12-05,134500,135500,133000,134000,243792
2016-12-02,134000,136000,133000,133500,403180
2016-12-01,133000,135500,132000,132000,477165
2016-11-30,133500,134500,132500,133000,1177013
2016-11-29,133000,135500,133000,134500,311506
2016-11-28,135000,136000,133500,135000,256184
2016-11-25,135500,136000,134500,136000,179532
2016-11-24,133500,136000,133000,135000,309001
2016-11-23,134500,135000,132500,134000,292414
2016-11-22,133500,134500,132500,133500,364326
2016-11-21,130000,133500,129500,133500,392583
2016-11-18,131500,132000,129500,129500,280388
2016-11-17,131000,133000,131000,132000,215258
2016-11-16,130500,133500,130000,131000,377955
2016-11-15,131500,132000,129500,130500,415472
2016-11-14,132000,134000,131000,132000,369455
2016-11-11,130000,132000,130000,131500,568290
