Date,Open,High,Low,Close,Volume
2017-05-04,44500,44700,44300,44450,976645
2017-05-02,45350,45700,44700,44750,1199081
2017-04-28,45350,45600,44700,45350,1236070
2017-04-27,44850,45900,44750,45650,2111624
2017-04-26,44600,44850,44400,44700,1001845
2017-04-25,44600,44850,44400,44450,899372
2017-04-24,44400,44750,44200,44300,688747
2017-04-21,44350,44350,44000,44150,1029167
2017-04-20,44450,44550,44000,44250,1113688
2017-04-19,45200,45300,44400,44400,1328926
2017-04-18,45200,45750,45150,45300,1080109
2017-04-17,44750,44900,44350,44900,645730
2017-04-14,45250,45250,44500,44650,626811
2017-04-13,44550,45450,44300,45400,1535260
2017-04-12,44850,44900,44100,44550,1432985
2017-04-11,44600,44900,44000,44900,1615421
2017-04-10,44700,44750,44350,44550,1231811
2017-04-07,45750,45850,44700,45050,1595114
2017-04-06,46250,46500,45500,45650,954925
2017-04-05,46000,46300,45400,46100,994674
2017-04-04,46600,46650,45600,45700,1469058
2017-04-03,46800,47050,46150,46700,911352
2017-03-31,46650,47100,46100,46450,1390902
2017-03-30,46350,47150,46300,46600,1253132
2017-03-29,46650,47100,45900,46500,1438210
2017-03-28,47650,48300,46600,46700,1484387
2017-03-27,47300,48300,46250,47450,1836251
2017-03-24,48850,48900,47250,47450,2926726
2017-03-23,47600,49000,47500,48750,3822638
2017-03-22,45750,47450,45600,47200,3811535
2017-03-21,45800,46100,44800,45900,2944986
2017-03-20,44900,45950,44650,45600,3598597
2017-03-17,43800,45000,43750,44350,4863736
2017-03-16,43550,43800,43250,43700,1986807
2017-03-15,43050,43500,42950,43200,1513642
2017-03-14,43050,43250,42550,42850,1507645
2017-03-13,42100,43350,41700,42800,2143810
2017-03-10,41700,41750,41050,41600,1144915
2017-03-09,41600,42300,41500,41500,1293083
2017-03-08,42000,42050,41100,41550,1823190
2017-03-07,42400,42500,41800,42050,1135793
2017-03-06,42750,43200,42500,42500,1142904
2017-03-03,42900,43050,42500,42950,1158802
2017-03-02,43500,43850,42800,43150,1742285
2017-02-28,44050,44100,43200,43600,1620386
2017-02-27,43850,44600,43550,44100,1863537
2017-02-24,43350,43800,43050,43550,1454358
2017-02-23,43200,43500,42750,43350,1101122
2017-02-22,43000,43900,43000,43200,1605534
2017-02-21,43350,43400,42600,43000,1877357
2017-02-20,40900,43050,40850,43050,3486614
2017-02-17,40500,40900,40450,40600,948692
2017-02-16,40900,41000,40350,40450,1425219
2017-02-15,41150,41250,40800,40900,1139597
2017-02-14,41550,41600,41000,41150,1172294
2017-02-13,41550,41800,41050,41800,910140
2017-02-10,40650,41600,40400,41300,1333232
2017-02-09,40700,40950,40350,40350,1335140
2017-02-08,41350,41350,40350,40600,1778199
2017-02-07,40550,41900,40550,41300,1548920
2017-02-06,41900,42600,40050,41350,2366147
2017-02-03,42050,42500,41950,41950,1175119
2017-02-02,42500,42600,42000,42050,1170783
2017-02-01,42550,43000,42450,42450,1191756
2017-01-31,42950,43000,42450,42450,1106463
2017-01-26,43600,43600,43150,43250,934304
2017-01-25,43900,44000,43150,43600,980607
2017-01-24,42900,43900,42750,43750,1051389
2017-01-23,43250,43400,42650,42900,1166779
2017-01-20,43250,43800,43050,43250,740208
2017-01-19,43600,43850,43050,43350,1013249
2017-01-18,43950,44050,43400,43600,1128374
2017-01-17,44100,44450,43900,44150,601999
2017-01-16,44650,44800,43800,44400,1066349
2017-01-13,43800,44650,43550,44600,1509263
2017-01-12,43050,44200,43050,43850,1601712
2017-01-11,42250,43200,42250,43200,1610560
2017-01-10,42900,42950,41900,42250,2755478
2017-01-09,43950,44050,43050,43150,1955107
2017-01-06,44250,44300,43900,44150,890840
2017-01-05,44100,44300,43800,44250,804630
2017-01-04,44450,44600,43700,43900,1560280
2017-01-03,43900,44150,43800,44100,795890
2017-01-02,44200,44600,43850,43900,735975
2016-12-29,44950,45050,44050,44050,1367902
2016-12-28,45400,45450,44900,45050,1865880
2016-12-27,46550,47100,46400,47000,1956961
2016-12-26,46100,46500,45900,46350,1106675
2016-12-23,45250,46000,45250,45950,964598
2016-12-22,45550,45850,45200,45350,854324
2016-12-21,45600,45800,45400,45400,995893
2016-12-20,45650,46050,45300,45450,933841
2016-12-19,45800,46150,45500,45700,888974
2016-12-16,46100,46400,45650,46100,1068664
2016-12-15,46450,46450,45650,46300,1006221
2016-12-14,45800,46900,45650,46400,1684962
2016-12-13,45150,45650,44550,45650,1587246
2016-12-12,45550,45600,45150,45250,1601397
2016-12-09,44500,46200,44500,45900,2774147
2016-12-08,44400,44450,43600,44300,1655245
2016-12-07,44400,44500,43400,43800,948385
2016-12-06,43600,44550,43500,44350,1302107
2016-12-05,43350,43800,43050,43200,1207934
2016-12-02,43950,44050,43000,43450,2269226
2016-12-01,46100,46150,44300,44500,2547471
2016-11-30,47000,47400,46500,46500,1480830
2016-11-29,47400,47550,47100,47100,1063833
2016-11-28,47450,47700,47000,47600,1078713
2016-11-25,47700,47850,47050,47250,817912
2016-11-24,47100,47650,46800,47200,956265
2016-11-23,47000,47400,46900,47200,1138677
2016-11-22,47450,47700,46550,46650,1314346
2016-11-21,46850,48000,46750,47350,1895727
2016-11-18,46650,47050,46200,46450,1438113
2016-11-17,47150,47450,46650,46800,1519867
2016-11-16,48200,48400,47250,47300,2405080
2016-11-15,45250,47900,45250,47850,2321194
2016-11-14,45700,46300,45600,45750,1112815
2016-11-11,45000,45950,45000,45800,1950068
2016-11-10,46500,47100,46150,46200,1829377
2016-11-09,46600,46700,45400,46000,2479134
2016-11-08,46350,47100,46100,46250,1647214
2016-11-07,47350,47650,46000,46000,2123328
2016-11-04,48650,48650,47300,47350,1855661
2016-11-03,48850,49200,48650,48700,860680
2016-11-02,48950,49100,48450,48950,1175717
2016-11-01,49950,50200,48900,49400,1212855
2016-10-31,49500,49700,48250,49250,1446729
2016-10-28,50400,50400,49550,49550,1477699
2016-10-27,50900,51200,50200,51000,796189
2016-10-26,50600,51100,50000,50800,924917
2016-10-25,50700,50900,49550,50100,1910567
2016-10-24,52200,52300,50700,51100,1587623
2016-10-21,53000,53100,51700,52700,2594897
2016-10-20,51900,52300,51300,51800,1084254
2016-10-19,52700,52700,51500,52000,1001242
2016-10-18,53200,53300,52200,52700,989487
2016-10-17,51800,53200,51600,52900,1664749
2016-10-14,51000,51900,50800,51600,1845914
2016-10-13,51300,51700,50300,50600,2101617
2016-10-12,51100,52000,50500,50500,1712545
2016-10-11,50300,51200,50000,51000,1948316
2016-10-10,51600,52500,50300,50500,2489771
2016-10-07,52100,52700,51600,51600,1798175
2016-10-06,53200,54500,52100,52500,2369511
2016-10-05,53600,54500,53000,53800,1136351
2016-10-04,53600,54500,53000,54500,1227877
2016-09-30,55500,55600,54000,54000,1796901
2016-09-29,57500,57600,55200,55600,2366265
2016-09-28,58500,58900,57300,57400,1203661
2016-09-27,58700,59100,58200,58600,812913
2016-09-26,60400,60500,58100,58500,947827
2016-09-23,60200,60200,59300,60000,770398
2016-09-22,60100,60300,59100,59100,963824
2016-09-21,58800,59500,57900,59500,946485
2016-09-20,57500,58600,57400,58600,827011
2016-09-19,57500,58200,57500,57800,681048
2016-09-13,58600,58800,57400,57900,1191311
2016-09-12,59500,59800,58200,58900,1030615
2016-09-09,58800,59800,58500,59700,1187954
2016-09-08,58700,59100,58500,58700,945429
2016-09-07,57200,58600,57200,58500,912702
2016-09-06,57100,57600,57000,57400,597257
2016-09-05,57500,57600,56900,57200,702267
2016-09-02,57200,57300,56700,57100,798267
2016-09-01,58300,58500,57200,57500,841714
2016-08-31,57800,58300,57500,58000,871567
2016-08-30,57900,58600,57300,57600,826226
2016-08-29,58500,58500,57600,58100,623728
2016-08-26,59000,59300,58600,59100,647517
2016-08-25,57500,58800,57400,58700,1175657
2016-08-24,57700,58300,57200,57200,729154
2016-08-23,57500,57800,57000,57600,877705
2016-08-22,57800,57900,57000,57400,705346
2016-08-19,58900,59000,57100,57400,1414356
2016-08-18,59000,59800,58000,58200,1177441
2016-08-17,59300,59400,57800,58400,1065502
2016-08-16,59800,60400,58700,58900,1724137
2016-08-12,60600,60700,58400,59200,3224139
2016-08-11,61900,62100,60600,60600,1216013
2016-08-10,61500,63000,61200,62600,1115170
2016-08-09,61000,61600,60500,61200,783776
2016-08-08,61300,61500,60500,61200,901670
2016-08-05,61400,61500,60500,61100,1126952
2016-08-04,63100,63100,60900,61300,1335675
2016-08-03,62600,63600,62100,62900,1070575
2016-08-02,61100,63400,61100,62800,1150157
2016-08-01,61200,62300,61000,61200,645257
2016-07-29,61700,62000,60900,61300,709542
2016-07-28,61800,62100,61000,61600,746193
2016-07-27,61900,62600,61500,61800,613059
2016-07-26,62000,62600,61700,62300,828582
2016-07-25,61700,61900,61100,61500,705955
2016-07-22,61000,61700,60800,61000,419913
2016-07-21,60800,61500,60200,61200,747720
2016-07-20,60500,60900,60100,60400,451290
2016-07-19,61100,61100,60200,60500,687070
2016-07-18,60400,60700,59800,60400,580972
2016-07-15,59600,60400,59100,60300,981552
2016-07-14,59200,59800,59100,59600,856303
2016-07-13,59600,59800,58800,59600,986508
2016-07-12,60300,60400,59400,59600,653123
2016-07-11,60300,60400,59900,60300,457773
2016-07-08,59300,59900,58500,59600,601190
2016-07-07,59100,59300,58500,59000,436479
2016-07-06,59800,60300,58500,59100,892204
2016-07-05,59300,59400,58500,59100,504747
2016-07-04,59300,59300,58500,59000,883570
2016-07-01,60300,60300,59200,59400,589190
2016-06-30,60100,60400,59500,60400,723448
2016-06-29,59200,60200,59100,60100,601518
2016-06-28,58200,59900,57700,59300,904791
2016-06-27,57400,58900,57100,58200,885368
2016-06-24,58300,59400,56400,57400,1235645
2016-06-23,58700,59100,58200,58500,521473
2016-06-22,58300,59200,57500,59200,911761
2016-06-21,59700,59800,58500,58600,787264
2016-06-20,59500,60200,59100,59900,782026
2016-06-17,58700,58800,58300,58600,639821
2016-06-16,57900,58600,57800,58200,766730
2016-06-15,59300,59500,57400,57800,1802819
2016-06-14,60300,60800,59600,59700,811993
2016-06-13,61300,62000,60100,60200,1096573
2016-06-10,61400,62300,61000,62100,823423
2016-06-09,60900,61000,60400,60900,1354007
2016-06-08,59700,60500,59600,60500,1026583
2016-06-07,59700,60600,59200,60000,1294420
2016-06-03,59700,60400,59700,60100,884744
2016-06-02,60300,60900,59300,59800,1371825
2016-06-01,62300,62600,59600,60400,1768538
2016-05-31,62600,63000,62500,62900,1214789
2016-05-30,62600,63100,62000,63000,879931
2016-05-27,62600,62600,61400,62600,820531
2016-05-26,62000,62500,61300,62200,657344
2016-05-25,60400,61900,60200,61800,1321670
2016-05-24,59600,60900,59400,59600,677309
2016-05-23,60100,60300,59200,59900,492139
2016-05-20,60500,60600,59300,60100,1264915
2016-05-19,60300,61000,59900,61000,818447
2016-05-18,60700,60800,60000,60200,815191
2016-05-17,60700,61000,60200,60400,769511
2016-05-16,60900,61200,60100,60300,901006
2016-05-13,61600,62700,61200,61400,593032
2016-05-12,61400,61700,60600,61000,1142153
2016-05-11,61500,62400,60600,61200,1293155
2016-05-10,62100,62800,61500,61800,971690
2016-05-09,61800,63700,61100,62800,2011390
2016-05-04,60900,61900,60900,61500,677511
2016-05-03,61200,61800,60500,61800,806952
2016-05-02,61300,61800,60800,61200,448038
2016-04-29,61700,62400,61200,61800,765971
2016-04-28,62800,62800,61400,61400,893759
2016-04-27,61800,63600,61400,62300,1515383
2016-04-26,59900,62000,59300,61400,1416259
2016-04-25,59800,60100,59200,59500,588318
2016-04-22,59200,59700,59100,59200,656379
2016-04-21,59700,60300,59200,59400,943245
2016-04-20,60000,60500,59600,59900,734068
2016-04-19,59500,59700,59100,59500,529357
2016-04-18,59100,60200,58700,59000,521461
2016-04-15,60000,60000,59000,59100,800003
2016-04-14,59600,59800,59100,59500,1243009
2016-04-12,58800,59100,58500,59000,561899
2016-04-11,58500,58700,57700,58700,590293
2016-04-08,58800,59000,58300,58700,768576
2016-04-07,58300,59300,58100,59000,785327
2016-04-06,57900,58500,57400,58300,691246
2016-04-05,58400,58800,58000,58000,746409
2016-04-04,59500,59500,58200,58900,550540
2016-04-01,59500,59600,58700,59100,940318
2016-03-31,59900,60200,58700,60200,1223292
2016-03-30,59800,60400,59600,59900,750943
2016-03-29,58900,60000,58700,59800,943858
2016-03-28,59500,59500,58500,58600,389928
2016-03-25,59200,59700,58800,59300,411146
