Date,Open,High,Low,Close,Volume
2017-05-04,806000,823000,803000,823000,87939
2017-05-02,800000,807000,790000,801000,106095
2017-04-28,791000,803000,791000,800000,112219
2017-04-27,796000,800000,785000,791000,155343
2017-04-26,815000,816000,804000,807000,114079
2017-04-25,815000,815000,803000,815000,94751
2017-04-24,811000,813000,805000,810000,75884
2017-04-21,801000,813000,796000,813000,79983
2017-04-20,785000,800000,781000,796000,70196
2017-04-19,778000,785000,777000,777000,60178
2017-04-18,791000,791000,777000,778000,51170
2017-04-17,780000,793000,773000,785000,38198
2017-04-14,798000,811000,786000,787000,59647
2017-04-13,773000,803000,770000,802000,151807
2017-04-12,773000,777000,757000,768000,182745
2017-04-11,810000,811000,767000,770000,243306
2017-04-10,823000,828000,811000,818000,70283
2017-04-07,837000,842000,825000,828000,56184
2017-04-06,838000,840000,826000,840000,70529
2017-04-05,857000,859000,835000,843000,96625
2017-04-04,868000,869000,846000,850000,59105
2017-04-03,855000,878000,843000,873000,54851
2017-03-31,861000,870000,854000,855000,49878
2017-03-30,865000,874000,856000,861000,54210
2017-03-29,859000,865000,854000,864000,47772
2017-03-28,885000,886000,851000,853000,82251
2017-03-27,865000,892000,865000,885000,60305
2017-03-24,864000,880000,864000,872000,53539
2017-03-23,860000,872000,851000,864000,65379
2017-03-22,870000,871000,846000,849000,79059
2017-03-21,828000,872000,825000,871000,146775
2017-03-20,830000,830000,810000,818000,40544
2017-03-17,825000,833000,819000,827000,58949
2017-03-16,834000,835000,817000,819000,53246
2017-03-15,817000,826000,810000,820000,40736
2017-03-14,827000,833000,811000,815000,79812
2017-03-13,800000,833000,799000,826000,83355
2017-03-10,789000,802000,783000,800000,48852
2017-03-09,801000,806000,789000,789000,67905
2017-03-08,798000,807000,791000,800000,56326
2017-03-07,800000,806000,794000,799000,47402
2017-03-06,810000,817000,795000,800000,57966
2017-03-03,816000,839000,794000,809000,98180
2017-03-02,799000,819000,790000,815000,149667
2017-02-28,794000,800000,776000,776000,97264
2017-02-27,800000,807000,792000,796000,33870
2017-02-24,803000,807000,793000,803000,63693
2017-02-23,805000,815000,804000,808000,96698
2017-02-22,788000,800000,786000,797000,103328
2017-02-21,778000,793000,776000,790000,91283
2017-02-20,773000,784000,772000,781000,70713
2017-02-17,773000,785000,772000,780000,93928
2017-02-16,770000,777000,769000,777000,71296
2017-02-15,769000,777000,768000,773000,60801
2017-02-14,785000,790000,766000,770000,119662
2017-02-13,800000,803000,788000,795000,54779
2017-02-10,795000,795000,787000,795000,55917
2017-02-09,788000,796000,783000,787000,98380
2017-02-08,799000,799000,791000,795000,77503
2017-02-07,778000,802000,775000,800000,100473
2017-02-06,781000,781000,772000,779000,68253
2017-02-03,770000,776000,767000,774000,55193
2017-02-02,776000,780000,770000,772000,107351
2017-02-01,761000,774000,760000,771000,92507
2017-01-31,750000,767000,743000,758000,125773
2017-01-26,751000,763000,736000,753000,252996
2017-01-25,763000,768000,760000,763000,102115
2017-01-24,771000,771000,760000,761000,92803
2017-01-23,778000,779000,763000,771000,89943
2017-01-20,797000,798000,785000,785000,69794
2017-01-19,787000,806000,787000,801000,67768
2017-01-18,800000,800000,787000,788000,52333
2017-01-17,787000,797000,782000,795000,50392
2017-01-16,792000,801000,774000,794000,55037
2017-01-13,802000,805000,787000,790000,66754
2017-01-12,799000,815000,796000,802000,56285
2017-01-11,786000,802000,786000,796000,48675
2017-01-10,787000,793000,779000,792000,46498
2017-01-09,791000,799000,777000,779000,72543
2017-01-06,791000,801000,786000,799000,45649
2017-01-05,810000,810000,791000,791000,68552
2017-01-04,775000,810000,771000,810000,120114
2017-01-03,777000,777000,767000,767000,45676
2017-01-02,778000,787000,775000,777000,30729
2016-12-29,758000,777000,754000,775000,56249
2016-12-28,785000,785000,763000,763000,57617
2016-12-27,766000,773000,763000,772000,31942
2016-12-26,766000,773000,765000,765000,20488
2016-12-23,771000,777000,762000,768000,48179
2016-12-22,779000,786000,767000,773000,55789
2016-12-21,795000,797000,779000,779000,43841
2016-12-20,800000,802000,785000,787000,56725
2016-12-19,801000,806000,796000,800000,40079
2016-12-16,797000,806000,789000,806000,86949
2016-12-15,785000,794000,784000,786000,64098
