Date,Open,High,Low,Close,Volume
2017-05-04,270500,273000,267500,268500,308917
2017-05-02,267500,277000,266500,275000,322316
2017-04-28,265500,270000,264000,267500,250942
2017-04-27,273000,276000,270000,271000,153689
2017-04-26,273000,275000,271000,272500,251901
2017-04-25,274500,275000,269500,272000,210605
2017-04-24,274000,276000,272500,274000,233935
2017-04-21,265000,271000,265000,270000,264595
2017-04-20,262000,266000,261500,263500,242541
2017-04-19,266000,267000,261500,261500,325249
2017-04-18,265000,270000,262000,267000,266335
2017-04-17,264000,267000,263000,264000,125812
2017-04-14,262500,268000,261000,265500,138320
2017-04-13,271000,271500,262500,265000,507659
2017-04-12,271000,277000,271000,273000,206053
2017-04-11,272500,275500,271000,271500,205801
2017-04-10,272000,273500,269000,272500,194405
2017-04-07,271500,274000,271000,272000,195881
2017-04-06,275500,276500,271000,273000,304537
2017-04-05,277000,280500,272500,280000,281658
2017-04-04,277500,280000,274000,275000,354002
2017-04-03,291000,292000,281500,282500,324977
2017-03-31,291500,294000,287000,291000,540912
2017-03-30,286000,286000,282000,284000,244399
2017-03-29,279500,287500,279500,286500,465661
2017-03-28,275500,276500,269000,275500,309765
2017-03-27,275500,276000,268000,270000,480574
2017-03-24,282000,283000,275000,278500,328674
2017-03-23,283500,286000,279500,281000,271687
2017-03-22,277500,284000,276500,280500,532338
2017-03-21,298000,298000,292500,293000,241811
2017-03-20,292500,297500,291500,296500,242012
2017-03-17,292000,297000,288000,291500,275042
2017-03-16,284000,291500,283500,291500,415134
2017-03-15,278500,281500,276500,277500,237854
2017-03-14,282500,285500,279000,280000,271885
2017-03-13,281500,285000,278000,281000,272214
2017-03-10,285000,285500,280000,283000,265735
2017-03-09,290500,292000,286000,286000,307680
2017-03-08,287000,295000,286500,290000,342787
2017-03-07,290000,290500,287000,288000,163830
2017-03-06,289000,290000,284500,288500,201012
2017-03-03,288500,289500,285500,287500,260980
2017-03-02,291000,293500,287500,291500,459952
2017-02-28,282000,288500,282000,283500,335012
2017-02-27,278500,285500,277500,280000,246367
2017-02-24,289000,289000,278500,280000,478995
2017-02-23,291500,293000,289000,292000,213383
2017-02-22,288000,293500,286500,293500,325619
2017-02-21,286000,290000,285000,288500,291563
2017-02-20,283000,286000,282000,284500,153039
2017-02-17,279500,285500,278500,285000,312958
2017-02-16,280000,281500,277500,281000,180345
2017-02-15,282000,285000,279500,282000,268054
2017-02-14,281500,286000,280000,282500,406116
2017-02-13,279000,282000,277000,278500,302791
2017-02-10,274500,276500,274000,275500,250939
2017-02-09,270500,274000,267000,271500,246240
2017-02-08,266000,270000,263500,268000,178267
2017-02-07,260000,268000,258500,268000,226015
2017-02-06,265000,267500,259000,262500,194465
2017-02-03,274500,276500,262000,265500,406394
2017-02-02,276000,278000,272500,272500,206130
2017-02-01,269000,278500,268000,278000,302565
2017-01-31,271500,278000,269000,271000,261084
2017-01-26,262500,280500,262000,276000,516917
2017-01-25,271000,273500,265500,267500,277971
2017-01-24,269500,272000,267000,271000,242360
2017-01-23,273000,274500,268000,270500,249084
2017-01-20,274500,275500,270500,273000,262481
2017-01-19,271000,279000,270500,278000,601540
2017-01-18,266000,268500,263000,268000,263142
2017-01-17,268000,271000,264000,265000,244551
2017-01-16,269000,269500,264000,267500,177373
2017-01-13,264000,271500,264000,267500,312489
2017-01-12,270000,273000,266500,266500,435832
2017-01-11,257000,269000,255000,269000,763831
2017-01-10,244000,250500,243500,249500,310247
2017-01-09,249000,249500,241500,244000,303239
2017-01-06,250000,250000,245000,250000,291748
2017-01-05,254500,256500,246500,247500,451858
2017-01-04,256000,257500,253000,254500,245008
2017-01-03,260000,260500,254000,256000,267446
2017-01-02,256500,260500,255000,260500,143765
2016-12-29,258000,259000,254000,257500,245439
2016-12-28,256000,258000,255000,255500,199020
2016-12-27,256000,259000,256000,258500,147700
2016-12-26,263500,263500,255000,256000,269989
2016-12-23,268000,269000,262000,264500,274361
2016-12-22,266000,269500,260500,261500,289547
2016-12-21,262000,266500,262000,264000,282939
2016-12-20,258000,262000,257500,259000,272431
2016-12-19,263500,264500,257500,258500,390255
2016-12-16,266500,268500,263000,265500,343732
2016-12-15,270000,271000,266000,268500,260259
2016-12-14,266000,272000,264500,271000,369510
2016-12-13,278000,280500,266000,268000,621519
2016-12-12,277000,282500,274000,282500,400429
2016-12-09,278000,279000,274000,279000,283744
2016-12-08,270000,279000,268000,279000,761883
2016-12-07,262000,264500,260500,263000,582931
2016-12-06,252000,261000,251500,258500,425889
2016-12-05,252000,253500,248500,249500,173823
2016-12-02,252000,253500,249500,253000,226438
2016-12-01,249500,254000,249500,251000,313264
2016-11-30,250500,254000,248000,249500,598523
2016-11-29,253000,254000,250000,252000,663287
2016-11-28,261000,263500,258000,258500,235340
2016-11-25,264000,265000,260500,263500,173175
2016-11-24,262500,265000,259000,264500,234206
2016-11-23,261000,264000,258500,263000,293392
2016-11-22,254000,259500,251500,258500,265782
2016-11-21,253000,253000,249500,253000,198048
2016-11-18,251000,254000,249000,253000,185548
2016-11-17,250000,254500,247500,253000,314306
2016-11-16,255000,258000,251500,253500,388454
2016-11-15,254000,260000,252500,254000,473613
2016-11-14,248000,253000,241500,252000,491439
2016-11-11,244500,251000,241000,249500,471156
2016-11-10,236500,248500,236000,247000,657027
2016-11-09,243500,244000,226500,231500,589918
2016-11-08,245500,245500,242000,242500,138909
2016-11-07,241000,245000,240000,244000,215597
2016-11-04,238000,238000,234500,238000,164378
2016-11-03,234500,237000,234000,237000,201639
2016-11-02,237000,237000,231000,234000,293209
2016-11-01,236000,239000,234500,238000,212724
2016-10-31,234000,238000,234000,237000,236214
2016-10-28,236000,238000,234000,235500,515268
2016-10-27,248500,248500,238000,243000,634484
2016-10-26,247500,249000,245000,248000,317085
2016-10-25,247000,250500,244500,249000,386024
2016-10-24,242500,247000,242000,246500,382163
2016-10-21,242000,244000,239500,241500,348769
2016-10-20,240500,241500,239000,239500,159239
2016-10-19,240000,242500,238500,240000,298047
2016-10-18,233500,240500,232000,240000,370120
2016-10-17,233000,235000,231000,232000,198946
2016-10-14,228500,232500,228000,231000,217224
2016-10-13,234000,234500,227500,227500,302207
2016-10-12,234000,236000,233000,234500,189377
2016-10-11,233000,234000,232000,233500,248968
2016-10-10,229500,233500,228500,229000,243751
2016-10-07,230000,232000,225000,226000,197731
2016-10-06,231500,233500,228500,230500,174277
2016-10-05,227500,231500,226500,230000,253196
2016-10-04,227000,232000,226000,231500,273660
2016-09-30,228500,229000,225500,227000,264082
2016-09-29,231500,234500,229000,230000,229027
2016-09-28,229500,231500,228000,229500,176980
2016-09-27,224000,233000,223500,230500,276220
2016-09-26,225000,226500,223000,224000,165292
2016-09-23,226500,227500,225000,227000,192950
2016-09-22,228500,229000,225000,226000,181207
2016-09-21,220000,225500,218500,225000,203336
2016-09-20,221000,223000,216500,221500,255603
2016-09-19,219000,221000,217500,220000,356983
2016-09-13,227500,228500,222000,224000,300456
2016-09-12,225500,228500,223500,224500,293731
2016-09-09,227500,232500,227000,231500,315570
2016-09-08,237000,237500,231500,231500,407613
2016-09-07,236000,243500,236000,238500,442259
2016-09-06,237500,238000,235000,237000,255468
2016-09-05,231500,238000,231000,236500,285901
2016-09-02,232000,234500,229000,231000,266869
2016-09-01,230500,234500,228500,232000,253043
2016-08-31,228000,234500,228000,231000,478640
2016-08-30,229000,231000,226500,229500,295586
2016-08-29,221500,227500,220000,226500,330620
2016-08-26,224500,225500,222000,222500,204402
2016-08-25,224500,227000,221000,224500,317705
2016-08-24,217000,225500,217000,224000,321486
2016-08-23,217000,219000,214500,217000,168800
2016-08-22,218500,219000,215000,218000,116571
2016-08-19,219500,221500,216500,218000,167029
2016-08-18,222500,224500,219500,220000,168302
2016-08-17,222500,223500,220000,223000,132777
2016-08-16,223000,226000,221000,224500,346420
2016-08-12,217000,222500,216500,221000,254756
2016-08-11,219500,219500,215500,215500,189968
2016-08-10,218000,222000,216500,220500,194058
2016-08-09,214000,222000,213500,221000,247210
2016-08-08,215000,217000,208000,214000,618856
2016-08-05,218000,222000,216500,221500,180773
2016-08-04,223500,224500,217000,218000,244904
2016-08-03,224000,227000,222000,223000,244195
2016-08-02,223500,228500,221500,227500,233822
2016-08-01,225500,229500,224500,228000,181974
2016-07-29,226500,229000,223000,226500,219729
2016-07-28,229000,231000,227500,228500,198430
2016-07-27,227000,230500,225500,227500,284822
2016-07-26,220500,227000,218500,227000,402135
2016-07-25,218500,222500,215500,222500,335080
2016-07-22,216500,222500,215500,219500,326706
2016-07-21,219500,219500,214000,215500,198976
2016-07-20,217000,219000,215000,218500,348783
2016-07-19,227500,228000,218000,220000,382882
2016-07-18,227500,229500,224500,228000,400609
2016-07-15,227000,229000,223500,224500,283922
2016-07-14,226000,230000,223000,225500,492615
2016-07-13,221000,227000,220000,227000,804986
2016-07-12,209500,213000,208500,212500,378742
2016-07-11,203500,208000,202500,207000,284605
2016-07-08,200500,202000,197500,200500,302571
2016-07-07,202500,203500,200500,202500,169715
2016-07-06,206000,206000,199000,201000,298486
2016-07-05,211000,211000,206500,207500,195063
