Date,Open,High,Low,Close,Volume
2017-05-04,55900,55900,55000,55900,2770076
2017-05-02,55300,55900,54800,55400,4334444
2017-04-28,53600,54700,53400,54000,3557700
2017-04-27,53800,53900,52700,53600,2731796
2017-04-26,53100,54200,53000,53700,5583694
2017-04-25,52800,52800,51300,52400,5285507
2017-04-24,52700,53200,52100,52400,3141351
2017-04-21,51800,52500,51300,52000,3799650
2017-04-20,49750,51700,49700,51400,3403811
2017-04-19,50300,50400,49850,49850,1552671
2017-04-18,49600,50400,49300,50200,1889953
2017-04-17,50200,50300,49100,49200,1986987
2017-04-14,49750,50700,49450,49800,2838392
2017-04-13,49100,50200,48650,49750,2357985
2017-04-12,48800,49200,48550,49000,1673288
2017-04-11,48550,49350,48400,48850,2375188
2017-04-10,49700,49750,48950,49000,1731422
2017-04-07,49450,49800,48700,49800,2636747
2017-04-06,50300,50500,49100,49400,2968648
2017-04-05,50600,51000,49950,50300,2739751
2017-04-04,52100,52200,50800,51000,2183843
2017-04-03,50800,51900,50700,51800,2342420
2017-03-31,50800,50800,49900,50500,2637609
2017-03-30,51100,51500,50200,50900,2198334
2017-03-29,51000,52200,50800,51300,4086819
2017-03-28,51200,51300,50000,50800,2849277
2017-03-27,50000,51100,49950,50700,5573802
2017-03-24,50000,50200,49300,49500,5147373
2017-03-23,48950,49300,48150,48450,2460516
2017-03-22,47000,48800,47000,48650,4140071
2017-03-21,47900,48250,47000,47550,3689137
2017-03-20,46950,47650,46550,47600,3905029
2017-03-17,48400,48400,46600,46750,7909423
2017-03-16,49350,49650,48500,49150,3410328
2017-03-15,49350,49500,48550,48800,4663582
2017-03-14,51800,51900,50300,50300,4006783
2017-03-13,49550,51100,49300,51000,4934450
2017-03-10,48100,49550,47500,49200,3812248
2017-03-09,48200,48850,48000,48000,2834812
2017-03-08,48800,49300,47900,48000,3634052
2017-03-07,49100,49300,48050,48800,3420325
2017-03-06,47600,49400,47550,49350,4953309
2017-03-03,47650,48250,46700,47100,3920243
2017-03-02,46850,47850,46800,47700,6856802
2017-02-28,46600,47600,46200,46700,5422561
2017-02-27,46850,47000,45650,46000,7572279
2017-02-24,49850,50000,47400,47500,7619437
2017-02-23,50000,50400,49050,50200,3344667
2017-02-22,51600,51700,50600,50600,2666264
2017-02-21,49950,51000,49350,50900,2172178
2017-02-20,50900,51000,49600,49900,2253652
2017-02-17,50400,51100,50200,50400,4886661
2017-02-16,48350,49600,48200,49600,4813847
2017-02-15,48300,48700,47550,47900,8553202
2017-02-14,51100,51600,48100,48450,8558987
2017-02-13,49550,51000,49500,50700,4071356
2017-02-10,52000,52200,50000,50000,8863497
2017-02-09,53100,53700,52500,52700,6511411
2017-02-08,53700,54600,52400,54600,3473473
2017-02-07,53800,54500,53100,53300,2391301
2017-02-06,54200,54400,53300,53700,1887305
2017-02-03,52500,53700,51800,53700,3526426
2017-02-02,53500,54000,52700,52800,3466141
2017-02-01,54300,54900,53700,54000,2770880
2017-01-31,53300,54500,52700,53700,4100327
2017-01-26,52500,53500,52400,53300,4497864
2017-01-25,52200,52500,51600,51700,2707845
2017-01-24,51300,52000,51100,51600,3436347
2017-01-23,49950,51000,49900,50800,4118314
2017-01-20,49700,50100,49150,49150,1929327
2017-01-19,49550,50100,49100,49600,2308961
2017-01-18,48950,49400,48300,48850,2966553
2017-01-17,49300,50200,49250,49300,2295590
2017-01-16,50100,50300,48800,49300,4550530
2017-01-13,49850,50700,49850,50300,4208320
2017-01-12,51600,51600,50400,50600,4997577
2017-01-11,50000,51900,50000,51600,4298061
2017-01-10,49850,50200,49200,49750,2552647
2017-01-09,48500,49750,48200,49550,3700513
2017-01-06,47700,48450,47600,48000,3077566
2017-01-05,47000,47500,46850,46950,2370891
2017-01-04,47000,47150,46200,46500,2625142
2017-01-03,46200,47300,46200,47250,2645111
2017-01-02,44750,46000,44600,45800,1539274
2016-12-29,45150,45200,44600,44700,1796849
2016-12-28,45350,45750,45100,45350,1287439
2016-12-27,45550,45950,45400,45650,1169024
2016-12-26,46200,46600,45250,45650,1596316
2016-12-23,46200,46400,45950,46300,2491878
2016-12-22,46000,46650,45150,45500,4013015
2016-12-21,45500,45750,45000,45000,1653333
2016-12-20,45400,45550,44950,45150,1099196
2016-12-19,46250,46300,45050,45150,1976723
2016-12-16,45800,46450,45700,46400,2084206
2016-12-15,45850,46050,45000,45600,1810938
2016-12-14,45350,46100,45350,45850,2005198
2016-12-13,44700,45700,44700,44950,1804693
2016-12-12,45750,45850,44850,45300,1431743
2016-12-09,46450,46750,45450,45500,2989022
2016-12-08,46200,46650,46100,46250,3293855
2016-12-07,45750,45800,45200,45250,1979213
2016-12-06,44700,45500,44600,45200,3093689
2016-12-05,44050,44600,43800,44400,1696972
2016-12-02,43350,44500,43300,44400,3998141
2016-12-01,43000,44400,43000,44200,3427242
2016-11-30,42900,43800,42650,42900,4231039
2016-11-29,42400,43100,41800,42400,1768292
2016-11-28,42400,43250,42100,42600,1508554
2016-11-25,43050,43300,42250,42600,1324153
2016-11-24,43350,43850,42500,42650,1784350
2016-11-23,43000,43900,42550,43050,3767754
2016-11-22,41250,42800,41200,42700,3294962
2016-11-21,41800,41900,40650,40750,1854485
2016-11-18,42300,42400,41700,42000,3103160
2016-11-17,41500,41900,41200,41900,2379766
2016-11-16,40450,41000,40250,40850,2098668
2016-11-15,39700,40400,39500,39700,2014723
2016-11-14,40000,40450,39700,39700,1572087
2016-11-11,40000,40450,39550,39850,2935160
2016-11-10,41000,41050,40500,41000,2512604
2016-11-09,41650,41750,38700,39650,5744045
2016-11-08,42100,42150,41250,41500,1869698
2016-11-07,41800,42050,41200,41500,2019919
2016-11-04,41150,41400,40850,41200,1934760
2016-11-03,40900,41700,40700,41150,2537498
2016-11-02,41250,41400,40450,41000,2806770
2016-11-01,41700,42350,41600,42000,2658688
2016-10-31,42500,42900,41000,41000,3246316
2016-10-28,42700,42950,42100,42450,1982594
