Date,Open,High,Low,Close,Volume
2017-05-04,124000,125000,122500,124000,353290
2017-05-02,122000,123500,122000,122500,512492
2017-04-28,121000,124000,120500,123500,610345
2017-04-27,128000,128000,121000,122500,2287175
2017-04-26,131000,133000,131000,131500,435192
2017-04-25,130500,131000,129500,130500,243575
2017-04-24,131000,132000,129500,130500,268014
2017-04-21,130000,131500,128500,130500,484503
2017-04-20,127500,129000,127000,128500,346236
2017-04-19,128500,129000,126500,127000,240176
2017-04-18,126000,130000,126000,127500,684934
2017-04-17,125000,126000,124500,126000,164674
2017-04-14,124500,125500,124000,125000,121986
2017-04-13,125000,125500,123500,125500,283451
2017-04-12,123500,125000,123500,125000,165005
2017-04-11,124500,124500,123000,123500,313268
2017-04-10,126500,127000,124000,124500,412815
2017-04-07,126000,127000,126000,127000,211836
2017-04-06,127000,127500,125000,126000,281254
2017-04-05,129000,129000,127000,127500,244139
2017-04-04,128000,130000,127000,129000,339460
2017-04-03,127500,128500,126500,127500,211215
2017-03-31,127500,128000,126000,127500,311016
2017-03-30,127500,128500,127000,128000,234786
2017-03-29,127000,128500,126000,128500,383883
2017-03-28,126000,127000,124500,126500,518738
2017-03-27,127000,128500,125000,125500,650459
2017-03-24,129000,131000,126000,127500,1828633
2017-03-23,135500,139000,135000,137500,805309
2017-03-22,132500,134500,131500,134000,477195
2017-03-21,133000,134500,131500,133500,587365
2017-03-20,133000,134500,131500,133000,524930
2017-03-17,130500,132500,129500,132500,536878
2017-03-16,132000,132500,128500,130500,655775
2017-03-15,132000,134500,130500,131000,1602827
2017-03-14,121500,132000,120500,132000,1837592
2017-03-13,121000,122500,120500,121000,306730
2017-03-10,120000,123000,119500,120500,461091
2017-03-09,120000,121500,119500,119500,306057
2017-03-08,121000,122000,120000,120500,230607
2017-03-07,120500,122000,119500,121500,302910
2017-03-06,121000,121500,118000,119500,411230
2017-03-03,121000,122500,120500,121500,243098
2017-03-02,123500,124500,121500,121500,381832
2017-02-28,125500,125500,123000,123000,408832
2017-02-27,124500,125500,124000,125000,163297
2017-02-24,124500,125000,123500,125000,231542
2017-02-23,124500,125500,123000,124000,288480
2017-02-22,126500,127000,124000,124000,299070
2017-02-21,123500,126000,123000,126000,291249
2017-02-20,123500,125500,123000,123000,302098
2017-02-17,122500,124500,121500,124000,601120
2017-02-16,126500,129000,125500,126500,361316
2017-02-15,125500,126500,125000,126000,197330
2017-02-14,125000,126500,124500,126000,217654
2017-02-13,126000,126500,123500,125500,402682
2017-02-10,127000,128500,125500,127500,274609
2017-02-09,127500,127500,126000,126000,297001
2017-02-08,128500,128500,126000,127500,257592
2017-02-07,128000,128500,127000,128500,160052
2017-02-06,129000,129500,127500,128000,187285
2017-02-03,129000,129500,127500,128500,344764
2017-02-02,126500,129500,126500,128500,469951
2017-02-01,127000,127500,126000,127000,302885
2017-01-31,125500,127500,125000,126000,347246
2017-01-26,126000,127500,124000,126500,430046
2017-01-25,124000,126000,123000,125000,403539
2017-01-24,120000,124000,120000,123500,325404
2017-01-23,121000,122500,120000,120500,307678
2017-01-20,123500,125000,121500,122000,428393
2017-01-19,128000,128500,124000,124000,617393
2017-01-18,124500,125000,122000,123000,749704
2017-01-17,127000,128500,124500,125000,585752
2017-01-16,128500,129000,126500,127500,335654
2017-01-13,128000,129000,126500,128500,256771
2017-01-12,126500,129000,126000,128000,539350
2017-01-11,127000,128000,125500,126000,532884
2017-01-10,127500,128000,126500,126500,244330
2017-01-09,128500,129000,127500,128000,229562
2017-01-06,128500,129000,127000,129000,206093
2017-01-05,129500,130500,128000,128000,370071
2017-01-04,129000,130500,128000,129000,317201
2017-01-03,126500,129500,126000,129000,505786
2017-01-02,125500,126500,124000,125500,215660
2016-12-29,124500,126500,124500,125500,293516
2016-12-28,124500,127000,124000,125500,455726
2016-12-27,127000,127500,124000,124500,550877
2016-12-26,128000,128500,126500,126500,353514
2016-12-23,130000,130500,128000,128500,428338
2016-12-22,132500,134000,130000,130500,457812
2016-12-21,128500,133500,128000,132500,865647
2016-12-20,128500,129500,127500,127500,259759
2016-12-19,126000,128500,125500,128000,287687
2016-12-16,129500,129500,126000,126500,432154
2016-12-15,128000,130000,127500,129500,288826
2016-12-14,130500,130500,128000,129000,293928
2016-12-13,127500,130000,127000,129500,349577
2016-12-12,126500,128500,126000,127000,255964
2016-12-09,127500,127500,125000,126500,333276
2016-12-08,130500,131000,126000,127500,627477
2016-12-07,129500,132000,128000,129500,483296
2016-12-06,128000,129500,127000,129000,464515
2016-12-05,124000,127000,122000,126000,447495
2016-12-02,127500,128000,124000,125500,521662
2016-12-01,128000,130000,127500,128000,462004
2016-11-30,127500,131000,127000,128000,929698
2016-11-29,136500,136500,126000,127000,2436853
2016-11-28,139000,142000,137000,139000,797271
2016-11-25,132500,136500,132000,134000,421105
2016-11-24,135500,137000,130500,131500,726911
2016-11-23,140000,141000,135500,136500,660249
2016-11-22,141500,144000,139000,140500,392276
2016-11-21,138500,146500,135500,141500,523724
2016-11-18,140500,141000,137500,138500,473789
2016-11-17,143500,144000,140000,141500,414112
2016-11-16,145000,146500,143500,144000,388427
2016-11-15,145500,147000,143000,143500,347102
2016-11-14,147000,148000,145000,145000,346902
2016-11-11,148500,152000,146000,146500,560967
2016-11-10,147000,151500,145500,150000,630678
2016-11-09,150000,151000,140500,144500,1031890
2016-11-08,151500,152500,148000,150500,357698
2016-11-07,149000,151500,148500,150500,449945
2016-11-04,150500,152000,147000,147500,446159
2016-11-03,152500,153000,147000,152000,966300
2016-11-02,155000,157000,153500,154000,379899
2016-11-01,160500,161000,156000,157000,467821
2016-10-31,165000,165000,160000,161500,346234
2016-10-28,164000,167000,163000,165000,245334
2016-10-27,165000,168000,161500,164000,524754
2016-10-26,168000,168000,163000,166000,520963
2016-10-25,168000,169500,165500,169000,489060
2016-10-24,162000,168000,162000,167500,790425
2016-10-21,160000,161000,158500,160500,259544
2016-10-20,165500,166500,160500,161500,370706
2016-10-19,163500,167000,162500,164500,449912
2016-10-18,162000,164000,161500,163500,289041
2016-10-17,163000,164500,161000,163000,295460
2016-10-14,161000,165000,161000,163500,472857
2016-10-13,162000,163500,160000,161500,469711
2016-10-12,155000,162000,154000,161500,688169
2016-10-11,159500,164000,155000,155500,1064985
2016-10-10,162000,163000,159000,162000,971379
2016-10-07,166500,168000,161000,165500,1336284
2016-10-06,158000,165000,156500,164000,2158600
2016-10-05,150000,152000,149000,152000,324760
2016-10-04,151500,151500,150000,150500,267452
2016-09-30,148000,151500,147500,149000,416617
2016-09-29,145500,149500,145500,148500,405303
2016-09-28,145500,146500,145000,145500,138228
2016-09-27,143000,146500,142000,145500,225262
2016-09-26,146000,146000,143000,144000,204627
2016-09-23,147500,147500,144500,146000,279231
2016-09-22,147500,148500,146500,147000,240945
2016-09-21,146000,146500,145500,146500,171670
2016-09-20,143500,147500,143500,146000,342540
2016-09-19,145500,147000,143000,144500,319242
2016-09-13,145000,146500,142500,146000,843088
2016-09-12,141500,143000,139000,141500,566477
2016-09-09,147000,147500,144000,146000,528665
2016-09-08,150500,151000,147000,148500,352575
2016-09-07,151500,152500,150500,150500,186862
2016-09-06,152000,152500,151000,152000,255996
2016-09-05,151000,152500,151000,152500,228547
2016-09-02,150500,151500,149000,151000,200630
2016-09-01,150500,151500,148000,150500,385040
2016-08-31,152500,153000,150000,151500,288047
2016-08-30,150500,153000,150500,152500,422476
2016-08-29,148000,150000,147500,148500,195376
2016-08-26,151000,152000,148000,149500,257588
2016-08-25,149500,152500,148000,151000,411494
2016-08-24,151000,152500,146500,148000,550383
2016-08-23,152000,152500,149000,151500,378290
2016-08-22,152500,153500,151000,152500,496082
2016-08-19,147500,153000,147000,152500,1175843
