Date,Open,High,Low,Close,Volume
2017-05-04,2285000,2285000,2243000,2276000,225381
2017-05-02,2275000,2275000,2238000,2245000,280480
2017-04-28,2289000,2290000,2226000,2231000,428392
2017-04-27,2135000,2226000,2098000,2192000,429264
2017-04-26,2135000,2140000,2126000,2140000,212594
2017-04-25,2073000,2137000,2066000,2135000,284616
2017-04-24,2063000,2063000,2046000,2062000,133163
2017-04-21,2024000,2070000,2024000,2038000,243007
2017-04-20,2029000,2040000,2004000,2014000,389092
2017-04-19,2065000,2071000,2045000,2045000,202091
2017-04-18,2084000,2091000,2064000,2075000,126816
2017-04-17,2100000,2104000,2076000,2078000,83644
2017-04-14,2108000,2113000,2088000,2101000,89091
2017-04-13,2083000,2123000,2083000,2121000,169266
2017-04-12,2093000,2097000,2085000,2095000,135181
2017-04-11,2097000,2097000,2079000,2080000,106949
2017-04-10,2097000,2097000,2075000,2097000,121247
2017-04-07,2090000,2091000,2058000,2080000,166284
2017-04-06,2100000,2104000,2080000,2092000,155317
2017-04-05,2095000,2112000,2085000,2107000,174867
2017-04-04,2080000,2109000,2076000,2104000,202107
2017-04-03,2070000,2086000,2065000,2072000,155826
2017-03-31,2091000,2101000,2060000,2060000,194270
2017-03-30,2094000,2122000,2094000,2099000,161786
2017-03-29,2087000,2098000,2079000,2089000,201511
2017-03-28,2078000,2092000,2069000,2074000,162757
2017-03-27,2060000,2094000,2059000,2060000,190976
2017-03-24,2080000,2099000,2054000,2075000,252722
2017-03-23,2110000,2118000,2085000,2090000,299343
2017-03-22,2080000,2123000,2079000,2123000,304661
2017-03-21,2089000,2134000,2088000,2128000,219953
2017-03-20,2100000,2106000,2087000,2095000,198326
2017-03-17,2090000,2125000,2086000,2120000,226529
2017-03-16,2090000,2109000,2077000,2092000,196163
2017-03-15,2040000,2072000,2040000,2070000,165838
2017-03-14,2031000,2077000,2025000,2068000,226233
2017-03-13,2002000,2049000,2002000,2030000,148234
2017-03-10,1998000,2021000,1993000,2009000,202235
2017-03-09,2010000,2015000,2001000,2010000,228043
2017-03-08,2010000,2031000,2007000,2010000,216680
2017-03-07,1990000,2016000,1990000,2010000,210620
2017-03-06,1961000,2011000,1961000,2004000,243717
2017-03-03,1967000,1986000,1958000,1981000,253695
2017-03-02,1921000,1993000,1921000,1986000,415658
2017-02-28,1903000,1938000,1898000,1922000,299622
2017-02-27,1901000,1907000,1885000,1903000,174814
2017-02-24,1948000,1955000,1903000,1911000,175650
2017-02-23,1951000,1972000,1951000,1959000,200399
2017-02-22,1950000,1967000,1949000,1965000,170622
2017-02-21,1927000,1978000,1921000,1947000,209320
2017-02-20,1911000,1939000,1908000,1933000,149445
2017-02-17,1878000,1902000,1864000,1893000,301506
2017-02-16,1890000,1918000,1889000,1901000,204049
2017-02-15,1854000,1898000,1854000,1886000,277510
2017-02-14,1898000,1913000,1866000,1879000,260584
2017-02-13,1887000,1903000,1886000,1898000,207670
2017-02-10,1920000,1938000,1915000,1918000,213887
2017-02-09,1939000,1942000,1911000,1920000,262976
2017-02-08,1937000,1939000,1910000,1920000,257394
2017-02-07,1978000,1979000,1938000,1941000,243302
2017-02-06,1979000,1983000,1957000,1978000,176407
2017-02-03,1970000,1975000,1959000,1973000,169092
2017-02-02,1980000,1983000,1960000,1968000,237562
2017-02-01,1977000,1983000,1952000,1956000,259847
2017-01-31,1995000,1995000,1973000,1973000,283156
2017-01-26,1971000,2000000,1971000,1995000,257769
2017-01-25,1917000,1970000,1916000,1970000,262299
2017-01-24,1906000,1929000,1894000,1908000,194483
