Date,Open,High,Low,Close,Volume
2017-05-04,110500,113000,110500,112500,201280
2017-05-02,110000,112000,110000,110500,203902
2017-04-28,109000,111000,109000,109500,310319
2017-04-27,108000,110500,107500,110000,323769
2017-04-26,108000,109000,108000,108000,260323
2017-04-25,109500,110000,108000,108000,313730
2017-04-24,108500,110500,108500,110000,172968
2017-04-21,109000,110500,108000,109000,232480
2017-04-20,109000,109500,108000,108500,175560
2017-04-19,110000,110000,108000,109000,201911
2017-04-18,110500,111000,109500,110000,117088
2017-04-17,108000,111500,108000,110000,231764
2017-04-14,108500,109000,107500,108000,83277
2017-04-13,108000,109000,107500,109000,236419
2017-04-12,107500,109000,107500,107500,139170
2017-04-11,107500,108500,107500,107500,82425
2017-04-10,108500,109000,107500,107500,155439
2017-04-07,108000,110000,108000,109000,91053
2017-04-06,109500,110000,108000,108500,186535
2017-04-05,109500,110500,108500,110000,183875
2017-04-04,108500,109000,108000,109000,110663
2017-04-03,109000,109500,108000,109000,103811
2017-03-31,107000,109000,107000,108500,120878
2017-03-30,108500,108500,106500,107500,159564
2017-03-29,108000,108500,107500,108000,157177
2017-03-28,109500,110000,107500,108000,227173
2017-03-27,110000,110500,108500,109500,148922
2017-03-24,112000,112000,110500,111000,172444
2017-03-23,112000,113500,111500,112500,116245
2017-03-22,112000,112500,111000,111000,167041
2017-03-21,114000,114000,111000,111500,172962
2017-03-20,114500,115000,112500,113500,102383
2017-03-17,112000,114000,111500,114000,224733
2017-03-16,114000,114500,111000,111500,195317
2017-03-15,114000,115000,112500,113500,278517
2017-03-14,109000,114000,109000,114000,543891
2017-03-13,107500,109500,107000,109000,164604
2017-03-10,107500,108000,107000,107500,123201
2017-03-09,108000,109000,107500,108000,186541
2017-03-08,108000,109500,107500,108500,119694
2017-03-07,109000,109000,108000,108000,103635
2017-03-06,108000,110000,108000,108500,177785
2017-03-03,109500,109500,108000,108000,117707
2017-03-02,108500,110000,107500,109500,434349
2017-02-28,106000,108000,105000,107000,326837
2017-02-27,106500,106500,105000,105500,149189
2017-02-24,106500,107500,105000,106000,252430
2017-02-23,105500,107500,105500,106500,227940
2017-02-22,106500,107000,105500,106000,130747
2017-02-21,105500,107500,105000,107000,296938
2017-02-20,106000,106500,104500,105000,205285
2017-02-17,107000,107500,105000,106000,241593
2017-02-16,109000,109500,106500,107500,239300
2017-02-15,111000,111500,109500,109500,93531
2017-02-14,110500,111500,109000,111000,166027
2017-02-13,109500,110500,108000,110000,106622
2017-02-10,110000,111000,109000,109500,159699
2017-02-09,110500,111500,108500,109000,166330
2017-02-08,110000,111500,109500,111000,155651
2017-02-07,110000,110000,108500,110000,104382
2017-02-06,109000,110500,108500,109000,132006
2017-02-03,107500,109000,107000,108000,156491
2017-02-02,108500,110000,107500,107500,184728
2017-02-01,112000,112000,108500,109000,192262
2017-01-31,110000,112000,109500,111000,148360
2017-01-26,112000,112500,110000,110000,162892
2017-01-25,112500,113000,112000,112000,147313
2017-01-24,112000,113000,111500,111500,105404
2017-01-23,114000,115000,112000,112000,129827
2017-01-20,115000,115500,114500,114500,66885
2017-01-19,116000,116000,114000,115000,159339
2017-01-18,115000,116500,114500,115500,140213
2017-01-17,112000,115500,111500,115500,192103
2017-01-16,112000,114500,112000,112000,217647
2017-01-13,110500,112000,110500,112000,110454
2017-01-12,113000,113500,111000,111000,184028
2017-01-11,110000,113500,109500,113000,173582
2017-01-10,111500,112500,110500,110500,133410
2017-01-09,111500,113000,111000,112500,150264
2017-01-06,114000,114000,111500,112500,221277
2017-01-05,112500,113500,112500,113500,154615
2017-01-04,109500,113500,109000,113000,173858
2017-01-03,110000,111500,109000,110000,181690
2017-01-02,112000,113000,109000,110000,94970
2016-12-29,114500,114500,112500,112500,175495
2016-12-28,114000,115000,113000,113500,160830
2016-12-27,114500,116000,114500,115000,151920
2016-12-26,114000,115000,114000,114500,84264
2016-12-23,113500,115000,113000,114500,107885
2016-12-22,111500,115000,111500,114000,224334
2016-12-21,115000,115500,111000,111500,247106
2016-12-20,114500,115000,114000,115000,101352
2016-12-19,115500,115500,114000,115000,94559
2016-12-16,115000,116000,114000,115000,238818
2016-12-15,115000,117000,114500,115500,166006
2016-12-14,117000,117500,115500,116000,139930
2016-12-13,117500,118000,116000,117500,129500
2016-12-12,118000,118000,116000,117500,117750
2016-12-09,117000,117500,116000,117000,99573
2016-12-08,116500,118000,115500,118000,274928
2016-12-07,117000,117500,115000,116500,179714
2016-12-06,118000,118500,116000,117500,182792
2016-12-05,115500,117500,115500,117500,113391
2016-12-02,116000,116500,114500,116000,136597
2016-12-01,113500,116000,113500,116000,140686
2016-11-30,113500,115500,113500,114000,315299
2016-11-29,116000,118000,113500,115500,356160
2016-11-28,117000,119000,116500,116500,195788
2016-11-25,117000,117500,116000,116500,99625
2016-11-24,116500,117500,115000,116500,144105
2016-11-23,114500,117500,114500,116500,237244
2016-11-22,116500,116500,114000,114000,190615
2016-11-21,116000,116500,115000,116000,231234
2016-11-18,116000,116500,114500,115500,244856
2016-11-17,114000,117000,113500,116000,433132
2016-11-16,113000,113500,110500,112000,244271
2016-11-15,115500,115500,112500,113500,340081
2016-11-14,111500,115000,110500,115000,600766
2016-11-11,106000,111500,106000,110500,625414
2016-11-10,106500,107000,105000,105500,268476
2016-11-09,105000,106500,103500,104500,466626
2016-11-08,108000,108500,103500,104500,592703
2016-11-07,108000,108500,107500,108000,140747
2016-11-04,109500,109500,107000,107000,103093
2016-11-03,109000,109500,108000,108500,162008
2016-11-02,108500,108500,107000,108000,160217
2016-11-01,109500,110000,108000,109000,149356
2016-10-31,109500,113000,109500,110500,242350
2016-10-28,109500,111500,109500,110000,134532
2016-10-27,108500,111000,108000,110500,253741
2016-10-26,111000,111500,107500,108000,229822
2016-10-25,110500,112000,110000,111500,279869
2016-10-24,108000,111000,107500,110500,257730
2016-10-21,110000,110000,107500,107500,176940
2016-10-20,108500,110000,107500,109500,204303
2016-10-19,108500,109000,107000,108500,179523
2016-10-18,107000,109500,107000,108500,222459
2016-10-17,107000,107500,105500,106500,154341
2016-10-14,105000,107000,105000,106000,195187
2016-10-13,105500,106500,104500,105000,241577
2016-10-12,106500,106500,105000,105500,215549
2016-10-11,107500,108000,105000,106000,326680
2016-10-10,110000,110000,106500,106500,277252
2016-10-07,109000,111500,107500,110500,443900
2016-10-06,106000,109500,105500,109000,574385
2016-10-05,104500,105500,103500,104500,154490
2016-10-04,106500,107000,104500,105000,122010
2016-09-30,105500,106500,105000,105500,149522
2016-09-29,104500,106500,104000,105500,137381
2016-09-28,104000,105000,104000,104000,107493
2016-09-27,105500,105500,104000,104000,155008
2016-09-26,106500,106500,105000,105500,110560
2016-09-23,105000,106500,104500,106500,168960
2016-09-22,104000,106000,103500,103500,127964
2016-09-21,102500,105000,102000,104500,166548
2016-09-20,103000,104000,102000,103000,246578
2016-09-19,102000,105500,102000,104500,171652
2016-09-13,106000,106000,102500,103500,280176
2016-09-12,105500,107000,104500,105500,237990
2016-09-09,105500,106000,104000,105500,140639
2016-09-08,106500,107000,105000,106500,223577
2016-09-07,106000,107500,105500,106500,140747
2016-09-06,105500,106500,105500,105500,132946
2016-09-05,106000,107000,105000,106000,104387
2016-09-02,106000,106500,104500,106000,120826
2016-09-01,103500,108500,103500,106000,488060
2016-08-31,104000,105000,103000,103000,254062
2016-08-30,104500,106000,104000,105000,192863
2016-08-29,105000,106000,103500,104000,270567
2016-08-26,102000,104500,101500,103500,243568
2016-08-25,101500,103500,101000,102000,263249
2016-08-24,99800,102000,99800,101500,214183
2016-08-23,102000,102500,99800,99800,408778
2016-08-22,103000,103000,100000,102000,424572
2016-08-19,108500,108500,102500,103000,546994
2016-08-18,103500,109500,103500,108000,1015487
2016-08-17,100500,103000,100000,102500,239606
2016-08-16,100000,101000,100000,100000,145750
2016-08-12,102000,102000,100500,100500,253141
2016-08-11,103000,103000,101500,103000,168474
2016-08-10,101500,103000,101000,103000,348837
2016-08-09,100000,101500,99700,101000,248109
2016-08-08,98300,100000,98200,99900,206120
2016-08-05,95900,98700,95900,98300,237251
2016-08-04,96600,97200,96000,96100,150138
2016-08-03,97000,97600,96500,96600,122851
2016-08-02,97900,98400,97300,97600,99377
2016-08-01,97300,98700,97300,98200,151212
2016-07-29,97700,99000,97300,97300,188897
2016-07-28,99200,99500,97600,97700,175845
2016-07-27,99600,100000,99300,99400,93431
2016-07-26,98600,99900,98500,99500,90131
2016-07-25,98500,99300,97900,99300,139183
2016-07-22,97000,98900,97000,98200,149551
2016-07-21,96500,97600,96400,97500,121622
2016-07-20,98300,98300,96200,96500,251620
2016-07-19,98100,98500,97700,98200,126334
2016-07-18,97600,98500,97400,98400,150798
2016-07-15,96600,98800,96500,98000,244918
2016-07-14,97400,97400,96200,96200,174244
