Date,Open,High,Low,Close,Volume
2017-05-04,48600,48700,48000,48450,623722
2017-05-02,48100,48800,47600,48150,1266584
2017-04-28,46850,47650,46850,47550,788746
2017-04-27,48300,49250,47600,48000,792739
2017-04-26,48800,49050,48450,48650,814184
2017-04-25,48700,48950,48150,48900,1201169
2017-04-24,48100,48800,47900,48800,1156270
2017-04-21,48150,48450,47450,47650,1241355
2017-04-20,47250,47700,46800,47650,892999
2017-04-19,47350,47400,46550,47200,773792
2017-04-18,47200,47400,46950,47050,540978
2017-04-17,46500,47200,46500,47000,645814
2017-04-14,45700,46250,45600,46250,368700
2017-04-13,45500,46600,45400,46550,657537
2017-04-12,46100,46100,45450,45600,472885
2017-04-11,46250,46450,45650,45800,595530
2017-04-10,46850,46900,45900,46000,616290
2017-04-07,48000,48000,46500,46850,1060043
2017-04-06,47800,47800,47050,47700,919396
2017-04-05,47200,47750,46650,47300,810066
2017-04-04,46900,46900,46250,46700,604180
2017-04-03,46450,47200,46350,46800,754125
2017-03-31,47350,47350,46550,46600,951534
2017-03-30,47450,47450,46600,46950,1088042
2017-03-29,48000,48050,47000,47300,1031325
2017-03-28,47750,48050,47050,47800,1029520
2017-03-27,48400,48600,47700,48050,891902
2017-03-24,48500,49400,48450,49000,465923
2017-03-23,48250,48950,47700,48350,655389
2017-03-22,47700,48250,47450,47750,1085041
2017-03-21,49100,49150,48200,48500,962653
2017-03-20,49700,49700,48650,49000,718673
2017-03-17,49400,49750,49100,49750,967919
2017-03-16,49750,49800,49000,49450,939952
2017-03-15,49300,49900,48850,49400,732363
2017-03-14,50000,50300,49150,49700,1618008
2017-03-13,47800,49150,47700,49050,1709279
2017-03-10,46950,47350,46400,47350,573978
2017-03-09,47700,47950,46650,46650,790261
2017-03-08,46600,47500,46600,47150,743126
2017-03-07,46650,47300,46550,46950,470982
2017-03-06,47100,47450,46650,46800,836446
2017-03-03,47050,47750,46850,47150,827927
2017-03-02,47500,47800,46650,47050,1494453
2017-02-28,45900,46700,45850,46700,1001464
2017-02-27,47100,47150,45700,45800,1024813
2017-02-24,46900,47500,46650,46800,803847
2017-02-23,46600,47300,46600,47250,629396
2017-02-22,47400,47450,46850,47200,691410
2017-02-21,46600,47300,46450,47050,636275
2017-02-20,47300,47300,46200,46450,607830
2017-02-17,46900,47250,46550,47050,529530
2017-02-16,47150,47250,46500,46900,643027
2017-02-15,47150,47350,46650,46750,621563
2017-02-14,47250,47500,46850,47250,774616
2017-02-13,47500,47550,46800,47100,661120
2017-02-10,47100,47900,47100,47500,1294535
2017-02-09,46100,48000,45800,46650,1643607
2017-02-08,45900,46300,45650,46050,915494
2017-02-07,46700,46700,45800,46200,429690
2017-02-06,46900,47200,46450,46450,914769
2017-02-03,46100,46750,45850,46200,916674
2017-02-02,46350,46350,45500,46050,656510
2017-02-01,46100,46350,45300,46100,872263
2017-01-31,46100,46800,45900,45900,828855
2017-01-26,45700,46600,45600,46250,861545
2017-01-25,45650,46000,45250,45800,838755
2017-01-24,45250,45700,45100,45300,582224
2017-01-23,46000,46300,45550,45600,668907
2017-01-20,46400,46600,45950,46300,506622
2017-01-19,45850,46600,45850,46500,710729
2017-01-18,46350,46700,46050,46500,1065831
2017-01-17,45950,46600,45600,46350,1057340
2017-01-16,44950,46100,44900,45650,1186561
2017-01-13,45000,45250,44700,44800,700439
2017-01-12,45300,45450,45000,45400,583854
2017-01-11,45150,45450,44800,45300,776425
2017-01-10,44800,45050,44700,44900,850433
2017-01-09,44950,45250,44850,44850,796493
2017-01-06,44900,45300,44550,45300,916941
2017-01-05,45700,46000,45050,45100,1591345
2017-01-04,45900,47000,45800,47000,806562
2017-01-03,45600,46450,45000,46450,724301
2017-01-02,45400,45850,45000,45300,242148
2016-12-29,46200,46200,44950,45250,727515
2016-12-28,46250,46550,45750,45750,675320
2016-12-27,47500,47850,47150,47550,416190
2016-12-26,46800,47350,46650,47250,309229
2016-12-23,47600,47700,46650,46800,567526
2016-12-22,48000,48200,47000,47300,752670
2016-12-21,47950,48400,47600,47700,707365
2016-12-20,47000,47550,46700,47250,460079
2016-12-19,46550,47900,46500,47350,671688
2016-12-16,46650,48000,46500,47600,1601008
2016-12-15,46150,46750,46100,46200,782299
2016-12-14,46350,47550,46150,47550,735601
2016-12-13,46150,46750,45650,46150,942947
2016-12-12,47050,47500,46650,47100,759393
2016-12-09,47250,47250,46550,47050,1199512
2016-12-08,46450,47300,45750,47300,2455115
2016-12-07,43800,45000,43500,44800,1490547
2016-12-06,43200,43600,42900,43000,844739
2016-12-05,43500,43800,42950,43000,634077
2016-12-02,44250,44300,43800,43850,594663
2016-12-01,44550,44750,43600,43900,891413
2016-11-30,43450,44450,43450,44100,1554035
2016-11-29,43750,43900,43350,43700,755691
2016-11-28,43300,44150,43150,43650,694187
2016-11-25,44300,44450,43700,43950,539312
2016-11-24,44500,44600,43700,44100,647769
2016-11-23,43250,44400,43200,44350,1599232
2016-11-22,42900,43650,42800,43150,1391099
2016-11-21,44350,44350,42950,43950,611784
2016-11-18,43950,44450,43600,44150,695661
2016-11-17,43700,43900,43450,43750,978137
2016-11-16,45500,45500,44450,44500,1042911
2016-11-15,45350,45650,44250,45150,908996
2016-11-14,45700,45700,44550,45050,1188720
2016-11-11,45000,46250,44700,45600,2190633
2016-11-10,42950,44400,42850,44000,1108194
2016-11-09,42750,43300,41600,42100,1331548
2016-11-08,43800,43800,42450,42550,644950
2016-11-07,44150,44150,43100,43400,435041
2016-11-04,43550,43550,43050,43300,560498
2016-11-03,43400,43950,43000,43400,632141
2016-11-02,42750,43450,42750,42950,733217
2016-11-01,44500,44500,43100,43600,565134
2016-10-31,45000,45000,43650,43850,1181772
2016-10-28,43300,43800,43250,43600,590063
2016-10-27,43450,44050,43100,43850,675636
2016-10-26,44000,44000,42800,43350,929219
2016-10-25,43700,44200,43550,44150,925112
2016-10-24,43800,44450,43600,43950,1076534
2016-10-21,43900,44000,43550,43800,613163
2016-10-20,43400,43950,43400,43900,539400
2016-10-19,43950,44100,43150,44050,846540
2016-10-18,42500,43950,42400,43900,1145885
2016-10-17,42000,42600,41750,42550,993160
2016-10-14,41550,42250,41500,41950,869742
2016-10-13,41600,41900,41350,41350,590115
2016-10-12,41950,42300,41600,42100,850252
2016-10-11,41400,41800,41100,41750,879190
2016-10-10,40350,41000,40200,40900,778575
2016-10-07,40000,40200,39800,39950,526759
2016-10-06,40600,40700,39800,40400,855083
2016-10-05,40150,40750,40000,40700,441010
2016-10-04,40650,40750,40300,40700,699073
2016-09-30,40200,40700,39750,40150,770146
2016-09-29,40250,40800,40250,40600,471176
2016-09-28,40400,40700,40200,40350,592059
2016-09-27,40050,40850,39900,40550,551894
2016-09-26,40100,40500,39950,40450,464887
2016-09-23,40300,40300,39700,40100,609393
2016-09-22,40350,40350,39700,39700,382762
2016-09-21,39300,40250,39150,40050,771400
2016-09-20,40100,40100,39300,39500,607848
2016-09-19,39250,40050,39250,39850,650684
2016-09-13,40800,40950,39650,40050,1044631
2016-09-12,41250,41450,40700,40750,533292
2016-09-09,40700,41400,40700,41300,490001
2016-09-08,41300,41400,40700,41050,657096
2016-09-07,41150,41400,41000,41300,426174
2016-09-06,41500,41550,40750,41100,477194
2016-09-05,41500,41650,41200,41400,446868
2016-09-02,41350,41350,40450,41000,596503
2016-09-01,41250,41500,40600,41500,649822
2016-08-31,41000,41100,40350,41000,871370
2016-08-30,41000,41250,40650,40750,345262
2016-08-29,39700,40850,39700,40550,760091
2016-08-26,40250,40350,39800,40050,465559
2016-08-25,40200,40650,40000,40600,689144
2016-08-24,39800,40050,39300,39850,527360
2016-08-23,40300,40450,39900,40200,262165
2016-08-22,39850,40300,39300,40150,468884
2016-08-19,40650,40700,39850,39950,614310
2016-08-18,41100,41100,40400,40650,565415
2016-08-17,40600,41100,40450,40900,460455
2016-08-16,40750,41250,40400,40550,615091
2016-08-12,40950,41450,40750,41050,622987
2016-08-11,40750,41100,40350,40800,676882
2016-08-10,40450,40900,40400,40550,475615
2016-08-09,40900,41150,40400,40850,661980
2016-08-08,40200,40900,40150,40900,1004828
2016-08-05,39550,40150,39550,40100,453345
2016-08-04,39500,39700,39150,39700,459823
2016-08-03,40000,40300,39450,39450,587956
2016-08-02,40500,40600,40000,40450,516671
2016-08-01,40600,40950,40150,40650,870924
2016-07-29,40450,40450,39600,39950,699957
2016-07-28,40050,40450,39650,40200,584476
2016-07-27,40050,40600,39900,40350,779641
2016-07-26,39950,40300,39550,40000,913543
2016-07-25,39400,40100,39250,40100,1082793
2016-07-22,39550,39850,39200,39400,1035067
2016-07-21,38600,39000,38400,38900,627532
2016-07-20,38950,38950,38150,38600,645799
2016-07-19,38800,38900,38300,38850,522355
2016-07-18,38900,39100,38300,38700,680240
2016-07-15,38450,39300,38350,39100,1064281
2016-07-14,38500,38500,38050,38250,491343
2016-07-13,38300,38600,38100,38550,639768
2016-07-12,37850,38350,37800,38300,618028
2016-07-11,37950,37950,37550,37800,487356
2016-07-08,37200,37500,36750,37500,447758
2016-07-07,37550,37850,37500,37500,448983
2016-07-06,37700,38100,37250,37300,579596
2016-07-05,37950,38450,37750,37900,383534
2016-07-04,38350,38400,37800,38050,533814
2016-07-01,37150,38400,37150,38300,719503
2016-06-30,37950,38250,37500,38000,757782
2016-06-29,37550,37850,37150,37450,734324
2016-06-28,36400,37400,36350,37300,992240
2016-06-27,37350,37650,36600,37200,1120753
2016-06-24,39100,39200,36900,37050,1397469
2016-06-23,39000,39050,38650,38800,726625
2016-06-22,38450,38850,38250,38700,559527
2016-06-21,38450,38600,38050,38400,422321
2016-06-20,38550,38750,38000,38650,759762
2016-06-17,38100,38100,37650,37800,532536
2016-06-16,38000,38250,37500,37800,577935
2016-06-15,38250,38400,37450,37700,1056121
2016-06-14,39150,39200,38450,38450,873532
2016-06-13,39150,39450,38800,39400,788980
2016-06-10,39700,40150,39500,39550,859287
2016-06-09,40250,40800,39900,40100,1251109
2016-06-08,39150,40300,39150,40300,904343
2016-06-07,39100,39600,38600,39600,971059
2016-06-03,38750,39150,38750,38800,620813
2016-06-02,39000,39100,38750,38800,682084
2016-06-01,39100,39500,39100,39100,735107
2016-05-31,39300,39850,39200,39550,1223834
2016-05-30,39500,39800,39300,39400,333510
2016-05-27,39450,39900,39200,39850,559532
2016-05-26,40150,40350,39350,39400,504953
2016-05-25,39550,40200,39400,40200,619286
2016-05-24,39250,39550,39100,39150,497633
2016-05-23,39600,39750,39300,39550,399053
2016-05-20,40300,40450,39500,39550,910577
2016-05-19,39300,40850,39300,40700,1042962
2016-05-18,39300,39600,39000,39400,676007
2016-05-17,39600,39850,39300,39700,331645
2016-05-16,39250,39950,39200,39700,517751
2016-05-13,39200,39650,39200,39650,460391
2016-05-12,39900,39900,39300,39300,565789
2016-05-11,40000,40150,39550,39700,607681
2016-05-10,39400,40200,39400,40200,456679
2016-05-09,39400,39850,39400,39550,907810
2016-05-04,39900,40250,39800,40200,828788
2016-05-03,40550,40700,40200,40450,610676
2016-05-02,41400,41500,40350,40500,806528
2016-04-29,41750,41850,41400,41800,696794
2016-04-28,43050,43050,42000,42350,1072916
2016-04-27,41900,42750,41800,42750,1011497
2016-04-26,41200,42100,41050,41900,976373
2016-04-25,42750,42800,42000,42300,692163
2016-04-22,42800,43150,42450,42750,842857
